"Time","RPS-testing","CPU-testing","p90-testing","replicas-testing","memory-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p90-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p90-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo"
2023-06-01 17:35:50,67.4,18.3,,1,1.82e-8,168,29.5,126,1,2.93e-8,66.3,23.8,,1
2023-06-01 17:35:55,67.4,22.7,,1,2.26e-8,168,29.7,126,1,2.95e-8,184,28.9,,1
2023-06-01 17:36:00,67.4,23.8,,1,2.37e-8,168,29.0,126,1,2.88e-8,184,28.9,,1
2023-06-01 17:36:05,167,30.2,69.5,1,3e-8,444,74.4,80.4,1,7.39e-8,184,63.1,,1
2023-06-01 17:36:10,167,50.4,69.5,1,5.01e-8,444,77.9,80.4,1,7.74e-8,540,66.2,88.1,1
2023-06-01 17:36:15,167,53.3,69.5,1,5.29e-8,444,77.9,80.4,1,7.74e-8,540,66.2,88.1,1
2023-06-01 17:36:20,506,82.8,95.2,1,8.23e-8,723,90.4,78.8,1,8.98e-8,540,73.2,88.1,1
2023-06-01 17:36:25,506,87.1,95.2,1,8.66e-8,723,112,78.8,1,1.11e-7,832,102,83.7,1
2023-06-01 17:36:30,506,90.2,95.2,1,8.96e-8,723,116,78.8,1,1.15e-7,832,105,83.7,1
2023-06-01 17:36:35,816,114,95.2,1,1.13e-7,846,116,77.1,1,1.15e-7,832,122,83.7,1
2023-06-01 17:36:40,816,121,95.2,1,1.2e-7,846,134,77.1,1,1.33e-7,950,133,83.4,1
2023-06-01 17:36:45,816,123,95.2,1,1.22e-7,846,142,77.1,1,1.41e-7,950,133,83.4,1
2023-06-01 17:36:50,992,152,94.1,1,1.51e-7,805,142,71.8,1,1.41e-7,950,137,83.4,1
2023-06-01 17:36:55,992,152,94.1,1,1.51e-7,805,154,71.8,1,1.53e-7,866,141,76.2,1
2023-06-01 17:37:00,992,162,94.1,1,1.61e-7,805,160,71.8,1,1.59e-7,866,165,76.2,1
2023-06-01 17:37:05,883,165,95.5,1,1.64e-7,757,186,64.5,1,1.85e-7,866,172,76.2,1
2023-06-01 17:37:10,883,181,95.5,1,1.79e-7,757,183,64.5,1,1.82e-7,868,197,84.0,1
2023-06-01 17:37:15,883,187,95.5,1,1.86e-7,757,190,64.5,1,1.89e-7,868,201,84.0,1
2023-06-01 17:37:20,779,190,97.5,1,1.88e-7,726,199,63.8,1,1.98e-7,868,210,84.0,1
2023-06-01 17:37:25,779,209,97.5,1,2.07e-7,726,214,63.8,1,2.12e-7,859,213,89.1,1
2023-06-01 17:37:30,779,212,97.5,1,2.1e-7,726,213,63.8,1,2.12e-7,859,237,89.1,1
