"Time","Average pod, testing","istio-proxy, testing","server, testing"
2023-06-01 09:30:25,7.29,13.1,1.47
2023-06-01 09:30:30,8.21,14.8,1.65
2023-06-01 09:30:35,9.13,16.4,1.82
2023-06-01 09:30:40,7.30,12.7,1.88
2023-06-01 09:30:45,7.96,13.9,2.04
2023-06-01 09:30:50,8.63,15.0,2.20
2023-06-01 09:30:55,7.46,12.8,2.11
2023-06-01 09:31:00,7.99,13.7,2.25
2023-06-01 09:31:05,8.52,14.6,2.40
2023-06-01 09:31:10,9.05,15.6,2.54
2023-06-01 09:31:15,7.86,13.4,2.31
2023-06-01 09:31:20,8.56,14.1,2.95
2023-06-01 09:31:25,8.19,13.3,3.10
2023-06-01 09:31:30,8.60,13.9,3.25
2023-06-01 09:31:35,8.90,14.6,3.20
2023-06-01 09:31:40,9.30,15.3,3.34
2023-06-01 09:31:45,8.75,14.1,3.38
2023-06-01 09:31:50,4.16,5.15,3.17
2023-06-01 09:31:55,4.11,4.96,3.27
2023-06-01 09:32:00,4.11,4.96,3.27
2023-06-01 09:32:05,3.45,3.71,3.20
2023-06-01 09:32:10,3.62,4.05,3.20
2023-06-01 09:32:15,3.62,4.05,3.20
2023-06-01 09:32:20,3.49,3.84,3.15
2023-06-01 09:32:25,3.83,4.31,3.36
2023-06-01 09:32:30,3.83,4.31,3.36
2023-06-01 09:32:35,3.83,4.31,3.36
2023-06-01 09:32:40,3.97,4.39,3.54
2023-06-01 09:32:45,3.97,4.39,3.54
2023-06-01 09:32:50,4.07,4.39,3.74
2023-06-01 09:32:55,3.97,4.71,3.23
2023-06-01 09:33:00,4.05,4.45,3.66
2023-06-01 09:33:05,3.98,4.45,3.51
2023-06-01 09:33:10,3.98,4.45,3.51
2023-06-01 09:33:15,4.01,4.51,3.51
2023-06-01 09:33:20,4.13,4.51,3.74
2023-06-01 09:33:25,3.77,4.18,3.36
2023-06-01 09:33:30,3.82,4.44,3.20
2023-06-01 09:33:35,4.17,4.44,3.91
2023-06-01 09:33:40,4.17,4.44,3.91
2023-06-01 09:33:45,4.62,5.08,4.17
2023-06-01 09:33:50,4.62,5.08,4.17
2023-06-01 09:33:55,5.11,5.93,4.29
2023-06-01 09:34:00,5.11,5.93,4.29
2023-06-01 09:34:05,9.42,5.93,12.9
2023-06-01 09:34:10,9.95,5.72,14.2
2023-06-01 09:34:15,29.4,44.7,14.2
2023-06-01 09:34:20,39.3,44.7,33.9
2023-06-01 09:34:25,44.8,52.0,37.5
2023-06-01 09:34:30,58.9,80.3,37.5
2023-06-01 09:34:35,66.9,80.3,53.4
2023-06-01 09:34:40,76.8,94.3,59.4
2023-06-01 09:34:45,88.2,117,59.4
2023-06-01 09:34:50,92.1,117,67.2
2023-06-01 09:34:55,101,117,84.0
2023-06-01 09:35:00,120,154,85.0
2023-06-01 09:35:05,124,154,94.1
2023-06-01 09:35:10,129,154,104
2023-06-01 09:35:15,145,180,109
2023-06-01 09:35:20,157,195,119
2023-06-01 09:35:25,159,195,122
2023-06-01 09:35:30,172,222,122
2023-06-01 09:35:35,182,225,139
2023-06-01 09:35:40,184,225,142
2023-06-01 09:35:45,203,253,152
2023-06-01 09:35:50,205,253,157
2023-06-01 09:35:55,196,235,157
2023-06-01 09:36:00,207,257,157
2023-06-01 09:36:05,208,257,158
2023-06-01 09:36:10,208,257,158
2023-06-01 09:36:15,209,259,158
2023-06-01 09:36:20,209,259,158
2023-06-01 09:36:25,200,259,141
2023-06-01 09:36:30,209,259,159
2023-06-01 09:36:35,209,259,159
2023-06-01 09:36:40,209,259,159
2023-06-01 09:36:45,210,260,159
2023-06-01 09:36:50,209,260,159
2023-06-01 09:36:55,209,260,159
2023-06-01 09:37:00,198,236,159
2023-06-01 09:37:05,201,241,160
2023-06-01 09:37:10,211,262,161
2023-06-01 09:37:15,211,262,161
2023-06-01 09:37:20,211,262,161
2023-06-01 09:37:25,212,262,161
2023-06-01 09:37:30,212,263,161
2023-06-01 09:37:35,212,263,161
2023-06-01 09:37:40,213,264,161
2023-06-01 09:37:45,213,264,161
2023-06-01 09:37:50,213,264,162
2023-06-01 09:37:55,213,265,162
2023-06-01 09:38:00,213,264,162
2023-06-01 09:38:05,203,264,141
2023-06-01 09:38:10,196,243,149
2023-06-01 09:38:15,215,267,163
2023-06-01 09:38:20,215,267,163
2023-06-01 09:38:25,215,267,163
2023-06-01 09:38:30,216,268,164
2023-06-01 09:38:35,216,268,164
2023-06-01 09:38:40,217,270,164
2023-06-01 09:38:45,218,271,164
2023-06-01 09:38:50,205,246,164
2023-06-01 09:38:55,218,271,164
2023-06-01 09:39:00,217,270,164
2023-06-01 09:39:05,217,270,165
2023-06-01 09:39:10,218,271,165
2023-06-01 09:39:15,218,271,165
2023-06-01 09:39:20,211,271,151
2023-06-01 09:39:25,218,271,165
2023-06-01 09:39:30,207,248,165
2023-06-01 09:39:35,218,271,165
2023-06-01 09:39:40,218,271,165
2023-06-01 09:39:45,218,271,165
2023-06-01 09:39:50,217,271,164
2023-06-01 09:39:55,205,246,164
2023-06-01 09:40:00,216,268,164
2023-06-01 09:40:05,216,268,164
2023-06-01 09:40:10,216,268,163
2023-06-01 09:40:15,215,267,163
2023-06-01 09:40:20,215,267,163
2023-06-01 09:40:25,215,267,163
2023-06-01 09:40:30,214,266,162
2023-06-01 09:40:35,214,266,162
2023-06-01 09:40:40,214,266,162
2023-06-01 09:40:45,213,265,162
2023-06-01 09:40:50,213,265,162
2023-06-01 09:40:55,213,265,162
2023-06-01 09:41:00,213,264,161
2023-06-01 09:41:05,213,264,161
2023-06-01 09:41:10,212,263,161
2023-06-01 09:41:15,200,239,160
2023-06-01 09:41:20,211,261,160
2023-06-01 09:41:25,199,239,160
2023-06-01 09:41:30,210,261,160
2023-06-01 09:41:35,210,260,159
2023-06-01 09:41:40,210,260,159
2023-06-01 09:41:45,209,260,158
2023-06-01 09:41:50,202,258,146
2023-06-01 09:41:55,208,258,158
2023-06-01 09:42:00,208,259,158
2023-06-01 09:42:05,209,259,159
2023-06-01 09:42:10,209,259,159
2023-06-01 09:42:15,209,259,159
2023-06-01 09:42:20,209,259,159
2023-06-01 09:42:25,199,239,159
2023-06-01 09:42:30,209,259,159
2023-06-01 09:42:35,202,259,146
2023-06-01 09:42:40,199,259,139
2023-06-01 09:42:45,195,259,132
2023-06-01 09:42:50,210,260,160
2023-06-01 09:42:55,210,260,160
2023-06-01 09:43:00,210,260,160
2023-06-01 09:43:05,210,260,160
2023-06-01 09:43:10,197,233,160
2023-06-01 09:43:15,211,261,161
2023-06-01 09:43:20,200,240,161
2023-06-01 09:43:25,211,262,161
2023-06-01 09:43:30,202,242,162
2023-06-01 09:43:35,213,263,162
2023-06-01 09:43:40,213,263,162
2023-06-01 09:43:45,213,263,162
2023-06-01 09:43:50,213,263,162
2023-06-01 09:43:55,213,263,162
2023-06-01 09:44:00,212,263,162
2023-06-01 09:44:05,212,263,161
2023-06-01 09:44:10,212,262,162
2023-06-01 09:44:15,212,262,162
2023-06-01 09:44:20,198,262,133
2023-06-01 09:44:25,194,262,125
2023-06-01 09:44:30,190,233,147
2023-06-01 09:44:35,212,263,162
2023-06-01 09:44:40,212,263,161
2023-06-01 09:44:45,212,263,161
2023-06-01 09:44:50,213,264,162
2023-06-01 09:44:55,213,264,162
2023-06-01 09:45:00,211,264,159
2023-06-01 09:45:05,208,257,159
2023-06-01 09:45:10,208,257,159
2023-06-01 09:45:15,208,258,157
2023-06-01 09:45:20,208,258,157
2023-06-01 09:45:25,208,258,157
2023-06-01 09:45:30,201,260,141
2023-06-01 09:45:35,209,259,160
2023-06-01 09:45:40,209,259,159
2023-06-01 09:45:45,210,260,159
2023-06-01 09:45:50,210,260,160
2023-06-01 09:45:55,210,261,159
2023-06-01 09:46:00,211,261,161
2023-06-01 09:46:05,211,262,161
2023-06-01 09:46:10,188,229,147
2023-06-01 09:46:15,201,240,162
2023-06-01 09:46:20,202,241,162
2023-06-01 09:46:25,196,230,162
2023-06-01 09:46:30,192,220,164
2023-06-01 09:46:35,213,263,164
2023-06-01 09:46:40,207,263,151
2023-06-01 09:46:45,212,269,155
2023-06-01 09:46:50,208,248,168
2023-06-01 09:46:55,218,268,168
2023-06-01 09:47:00,219,268,170
2023-06-01 09:47:05,219,269,170
2023-06-01 09:47:10,219,268,170
2023-06-01 09:47:15,212,267,156
2023-06-01 09:47:20,219,267,170
2023-06-01 09:47:25,213,268,158
2023-06-01 09:47:30,219,268,170
2023-06-01 09:47:35,220,268,171

