"Time","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p90-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p90-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p90-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p90-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-rl-agent-e4-1","CPU-rl-agent-e4-1","p90-rl-agent-e4-1","memory-rl-agent-e4-1"
2023-06-06 18:32:15,1.93,5.04,0.475,1,1.35,1.87,6.07,3.75,1,0.936,1.49,5.10,0.479,1,0.702,1.44,5.24,1.40,1,0.608,1.80,5.92,0.477,0.330
2023-06-06 18:32:20,2.04,4.89,0.477,1,1.35,1.51,6.00,3.67,1,0.855,1.60,5.04,0.473,1,0.622,1.44,5.29,1.05,1,0.600,2.11,5.44,0.499,0.307
2023-06-06 18:32:25,1.89,5.14,0.480,1,1.34,1.42,5.89,3.67,1,0.824,2.11,5.04,0.492,1,0.622,1.31,5.09,1.49,1,0.618,1.95,5.25,0.499,0.322
2023-06-06 18:32:30,1.89,4.93,0.478,1,1.16,1.31,6.04,3.70,1,0.908,2.38,5.15,0.487,1,0.559,1.56,5.48,1.40,1,0.822,2.22,5.64,0.496,0.384
2023-06-06 18:32:35,2.04,5.12,0.471,1,1.06,1.22,6.04,3.63,1,0.908,2.38,5.22,0.487,1,0.654,1.44,5.48,1.49,1,0.822,2.20,5.55,0.499,0.347
2023-06-06 18:32:40,1.91,4.92,0.475,1,1.07,1.33,5.99,3.83,1,1.01,1.96,5.17,0.496,1,0.604,1.44,5.39,1.87,1,0.816,1.95,5.50,0.484,0.312
2023-06-06 18:32:45,2.04,5.18,0.475,1,0.882,1.33,6.01,3.83,1,1.09,1.96,5.02,0.496,1,0.606,1.31,5.46,1.80,1,0.816,2.07,5.42,0.484,0.318
2023-06-06 18:32:50,2.04,5.14,0.474,1,1.01,0.945,5.96,3.67,1,1.09,2.11,5.25,2.10,1,0.653,1.45,5.46,2.09,1,0.816,2.45,5.42,0.484,0.318
2023-06-06 18:32:55,2.04,5.04,0.475,1,0.853,1.07,5.67,3.51,1,0.869,2.22,5.15,2.27,1,0.564,1.76,5.01,2.23,1,0.784,2.16,5.25,0.486,0.337
2023-06-06 18:33:00,2.04,4.92,0.485,1,0.846,1.07,5.67,3.61,1,0.869,2.35,5.15,3.02,1,0.564,1.67,5.53,1.40,1,0.871,2.16,5.28,0.491,0.316
2023-06-06 18:33:05,1.71,5.04,0.483,1,0.820,1.09,5.64,3.61,1,0.901,2.33,5.16,3.00,1,0.315,1.40,5.53,1.96,1,0.871,2.13,5.28,1.62,0.316
2023-06-06 18:33:10,1.71,5.04,0.481,1,0.820,0.836,5.69,3.68,1,1.09,2.38,5.22,2.98,1,0.321,1.27,5.23,1.92,1,0.793,2.13,5.31,1.66,0.320
2023-06-06 18:33:15,1.64,5.29,0.480,1,0.926,0.982,5.69,3.77,1,1.09,2.36,5.22,2.89,1,0.321,1.27,5.25,2.20,1,0.828,1.82,5.64,0.495,0.315
2023-06-06 18:33:20,1.51,5.29,0.476,1,0.926,0.982,5.29,3.65,1,0.798,1.73,5.40,3.10,1,0.567,1.40,5.44,2.20,1,0.828,1.87,5.74,0.498,0.321
2023-06-06 18:33:25,1.53,5.19,0.478,1,0.777,0.818,5.51,3.65,1,0.888,1.85,5.42,3.19,1,0.573,1.15,5.44,2.20,1,0.828,1.84,5.86,1.87,0.326
2023-06-06 18:33:30,1.25,5.19,0.496,1,0.777,0.964,5.51,3.77,1,0.888,1.73,5.41,3.10,1,0.588,1.31,5.16,2.48,1,0.583,1.55,5.97,1.92,0.321
2023-06-06 18:33:35,1.36,5.22,0.493,1,0.794,1.25,5.54,3.43,1,0.884,1.84,5.41,2.87,1,0.588,1.18,5.16,2.11,1,0.586,1.95,5.98,2.15,0.325
