"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-rl-agent-e4-1","CPU-rl-agent-e4-1","p95-rl-agent-e4-1","replicas-rl-agent-e4-1","memory-rl-agent-e4-1","RPS-default","CPU-default","p95-default","replicas-default","memory-default"
2023-06-09 15:25:50,1.75,2.10,4.74,1,1.53,2.05,4.63,1,0.509,1.47,2.22,4.56,1,0.594,1.22,2.15,4.26,1,0.794,1.87,2.20,4.52,1,0.790,0.873,2.43,4.62,1,0.764,1.67,1.71,4.16,1,0.553
2023-06-09 15:25:55,1.78,2.09,4.75,1,1.53,2.04,4.63,1,0.566,1.44,2.18,4.54,1,0.761,1.24,2.13,4.21,1,0.915,1.53,2.05,4.50,1,0.794,0.764,2.02,4.65,1,0.842,1.55,1.71,4.19,1,0.553
2023-06-09 15:26:00,1.51,1.97,4.75,1,1.47,2.19,4.64,1,0.728,1.44,2.18,4.55,1,0.761,1.35,2.10,4.20,1,0.889,1.53,1.98,4.51,1,0.718,0.891,1.81,4.65,1,0.790,1.71,1.76,4.21,1,0.609
2023-06-09 15:26:05,1.07,2.14,4.75,1,1.16,2.19,4.63,1,0.728,1.44,2.15,4.56,1,0.569,1.45,2.11,4.18,1,0.889,1.53,1.90,4.44,1,0.782,0.891,1.90,4.66,1,0.741,1.76,1.79,4.19,1,0.619
2023-06-09 15:26:10,1.04,2.15,4.74,1,1.27,2.30,4.62,1,0.808,1.44,2.07,4.58,1,0.574,1.15,2.23,4.11,1,1.06,1.64,2.00,4.46,1,0.998,0.909,1.92,4.66,1,0.820,1.58,1.79,4.03,1,0.619
2023-06-09 15:26:15,1.04,2.14,4.74,1,1.29,2.26,4.61,1,0.810,1.33,2.13,4.57,1,0.578,1.16,2.15,4.00,1,1.06,1.55,1.95,4.47,1,0.995,0.782,1.92,4.67,1,0.820,1.44,1.54,4.12,1,0.601
2023-06-09 15:26:20,1.05,2.13,4.74,1,1.49,2.14,4.62,1,0.576,1.07,2.00,4.58,1,0.779,1.16,2.06,4.09,1,0.898,1.55,1.99,4.48,1,0.992,0.909,1.88,4.66,1,0.683,1.44,1.72,4.25,1,0.607
2023-06-09 15:26:25,0.927,2.14,4.72,1,1.38,2.14,4.60,1,0.576,1.18,2.18,4.61,1,0.851,1.44,2.06,4.12,1,0.898,1.55,2.00,4.48,1,0.984,0.909,1.87,4.64,1,0.520,1.56,1.68,4.21,1,0.583
2023-06-09 15:26:30,0.927,2.14,4.73,1,1.78,2.09,4.60,1,0.770,0.745,2.14,4.59,1,0.784,1.44,2.06,4.17,1,0.898,1.42,2.00,4.52,1,0.987,0.909,1.83,4.64,1,0.694,1.78,1.73,4.38,1,0.579
2023-06-09 15:26:35,0.655,2.11,4.72,1,1.91,2.12,4.62,1,0.778,1.04,2.14,4.50,1,0.784,1.44,2.02,4.01,1,0.976,1.02,1.95,4.53,1,0.820,0.909,1.83,4.58,1,0.694,1.89,1.81,4.38,1,0.793
