"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-24 10:25:00,548,77.7,4.55,4,681,67.1,9.46,4,0.579,424,65.4,4.46,5,0.464,521,76.7,4.55,4,0.634,418,63.4,4.24,5,0.638,548,72.2,3.84,4,0.483,2190,2192,2043,2118,2085,2092
2023-07-24 10:26:00,550,77.3,4.58,4,522,85.0,4.52,3,0.766,418,64.6,4.42,5,0.588,518,74.7,4.53,3,0.696,415,64.3,4.34,5,0.585,549,71.3,3.81,4,0.405,2199,2197,2087,2088,2073,2076
2023-07-24 10:27:00,550,75.6,4.52,4,682,89.5,4.76,3,0.692,418,65.7,4.39,5,0.676,697,83.1,4.63,3,0.549,416,63.4,4.22,5,0.711,549,72.1,3.81,4,0.410,2201,2196,2045,2089,2091,2079
2023-07-24 10:28:00,546,79.0,4.52,4,678,90.4,4.66,3,0.622,415,65.3,4.39,5,0.619,694,86.4,4.57,3,0.484,409,62.6,4.22,5,0.748,552,71.5,3.82,4,0.543,2186,2210,2033,2074,2082,2046
2023-07-24 10:29:00,548,77.5,4.52,4,669,88.0,4.63,3,0.738,418,65.5,4.41,5,0.528,695,89.9,4.59,3,0.572,415,62.6,4.20,5,0.652,555,72.7,3.80,4,0.510,2192,2222,2006,2091,2086,2074
2023-07-24 10:30:00,549,77.6,4.47,4,662,88.4,4.59,3,0.837,409,64.1,4.42,5,0.458,690,88.0,4.63,3,0.659,406,61.1,4.26,5,0.665,552,71.9,3.74,4,0.567,2196,2206,1987,2045,2069,2032
2023-07-24 10:31:00,554,77.6,4.51,4,669,86.0,4.57,3,0.653,410,64.4,4.44,5,0.572,700,90.0,4.64,3,0.551,409,62.2,4.25,5,0.701,552,72.6,3.91,4,0.531,2217,2209,2006,2048,2099,2044
2023-07-24 10:32:00,547,77.5,4.54,4,658,88.4,4.53,3,0.673,412,64.0,4.42,5,0.647,688,89.6,4.65,3,0.451,406,62.6,4.24,5,0.787,560,74.1,4.00,4,0.593,2188,2242,1975,2058,2065,2031
2023-07-24 10:33:00,549,77.8,4.52,4,666,87.7,4.63,3,0.807,409,64.2,4.44,5,0.636,691,89.8,4.74,3,0.642,403,60.6,4.20,5,0.732,557,72.8,3.87,4,0.549,2195,2227,1999,2044,2073,2015
2023-07-24 10:34:00,551,78.3,4.48,4,665,88.1,4.51,3,0.714,408,64.8,4.46,5,0.605,689,89.6,4.56,3,0.683,405,61.1,4.18,5,0.569,564,73.8,3.93,4,0.580,2205,2258,1995,2041,2068,2027
