"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-22 22:38:00,40.1,8.45,4.11,4,774,86.3,4.04,3,0.673,456,66.2,4.10,5,0.652,561,84.0,4.30,3,0.682,553,69.4,3.38,4,0.356,159,21.5,0.493,1,0.901,161,159,2322,2278,2243,2213
2023-07-22 22:40:00,31.6,8.42,4.38,4,581,83.1,4.27,3,0.481,457,66.1,4.13,5,0.477,540,64.4,4.25,4,0.316,545,68.5,3.50,4,0.573,159,22.9,0.495,1,0.438,158,159,2324,2285,2161,2181
2023-07-22 22:42:00,39.0,8.74,4.38,5,591,84.6,4.05,3,0.672,457,67.8,4.25,5,0.532,556,68.2,15.5,3,0.467,550,69.6,3.48,4,0.481,154,22.6,0.495,1,0.648,156,154,2363,2287,2223,2200
2023-07-22 22:44:00,39.7,8.45,4.33,4,595,85.9,4.27,3,0.560,462,68.0,4.21,5,0.586,750,89.9,4.45,3,0.504,555,69.2,3.37,4,0.597,158,22.8,0.494,1,0.375,159,158,2381,2310,2250,2221
2023-07-22 22:46:00,40.8,8.63,4.37,4,577,62.2,4.05,4,0.496,466,66.5,4.02,5,0.423,749,92.5,4.78,2,0.478,556,69.0,3.47,4,0.465,160,23.0,0.497,1,0.431,163,160,2309,2328,2247,2222
2023-07-22 22:48:00,53.0,10.3,4.34,3,591,85.7,4.00,3,0.662,465,66.1,4.04,5,0.589,568,85.2,4.41,3,0.660,568,69.4,3.43,4,0.402,153,22.3,0.497,1,0.549,159,153,2364,2326,2272,2272
2023-07-22 22:50:00,38.6,8.84,4.37,4,606,70.2,9.44,3,0.507,467,67.3,4.07,5,0.522,533,60.8,4.89,4,0.455,563,70.4,3.48,4,0.431,156,22.5,0.495,1,0.623,154,156,2426,2333,2130,2250
2023-07-22 22:52:00,31.6,8.27,4.32,4,801,86.2,4.26,3,0.574,477,68.3,4.14,5,0.615,566,69.2,4.33,4,0.309,566,70.0,3.55,4,0.444,160,21.8,0.498,1,0.393,158,160,2403,2383,2266,2264
2023-07-22 22:54:00,38.4,9.40,4.37,3,607,82.7,4.16,3,0.509,480,66.6,4.07,5,0.590,573,73.3,4.28,4,0.358,566,70.1,3.53,4,0.424,152,22.7,0.494,1,0.378,154,152,2430,2399,2290,2262
2023-07-22 22:56:00,53.2,11.2,4.08,3,608,89.5,4.14,3,0.632,482,69.2,4.14,5,0.434,779,102,17.3,3,0.596,565,70.0,3.49,4,0.420,156,22.5,0.498,1,0.428,160,156,2434,2411,2336,2261
2023-07-22 22:58:00,50.1,10.2,3.71,4,618,72.1,13.5,3,0.461,486,69.1,4.14,5,0.512,766,89.4,4.39,3,0.499,573,70.9,3.52,4,0.592,161,23.0,0.495,1,0.560,150,161,2474,2428,2299,2290
2023-07-22 23:00:00,41.0,8.84,4.29,4,815,88.4,4.42,3,0.447,485,68.0,4.06,5,0.642,768,89.7,4.43,3,0.591,574,71.7,3.58,4,0.560,155,23.2,0.495,1,0.396,164,155,2446,2425,2303,2295
2023-07-22 23:02:00,38.2,8.60,4.40,4,831,89.4,4.42,3,0.547,489,69.7,4.11,5,0.668,577,89.9,4.44,3,0.469,569,71.7,3.61,4,0.656,160,22.2,0.496,1,0.405,153,160,2493,2444,2309,2276
2023-07-22 23:04:00,31.4,8.45,4.46,4,617,80.8,4.20,3,0.591,498,69.5,4.09,5,0.463,595,90.6,4.41,3,0.590,572,71.9,3.56,4,0.557,151,22.4,0.498,1,0.775,157,151,2467,2490,2378,2288
2023-07-22 23:06:00,53.9,10.2,4.00,2,617,74.1,4.22,4,0.582,491,69.6,4.09,5,0.593,580,64.4,4.90,4,0.517,581,72.9,3.70,4,0.586,160,23.3,0.498,1,0.671,162,160,2467,2454,2321,2324
2023-07-22 23:08:00,53.2,11.5,3.74,2,641,71.8,4.35,4,0.500,496,69.7,4.11,5,0.530,782,98.9,4.88,2,0.562,580,70.7,3.61,4,0.470,159,22.8,0.494,1,0.352,159,159,2564,2478,2345,2322
2023-07-22 23:10:00,38.7,10.6,3.94,3,643,73.7,4.41,4,0.455,506,70.4,4.11,5,0.677,599,91.0,4.52,3,0.628,579,71.9,3.56,4,0.553,154,22.4,0.497,1,0.585,155,154,2571,2530,2396,2318
2023-07-22 23:12:00,36.7,8.42,4.05,4,856,91.6,4.63,2,0.764,505,71.0,4.22,5,0.521,735,80.0,13.7,4,0.269,581,73.0,3.62,4,0.555,150,21.5,0.496,1,0.416,147,150,2567,2524,2206,2323
2023-07-22 23:14:00,52.5,10.1,3.76,2,652,89.1,4.49,3,0.721,508,71.2,4.15,5,0.519,789,96.9,4.63,3,0.676,588,73.0,3.56,4,0.442,157,22.4,0.497,1,0.589,157,157,2610,2540,2366,2354
