"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-rl-agent-e4-1","CPU-rl-agent-e4-1","p95-rl-agent-e4-1","replicas-rl-agent-e4-1","memory-rl-agent-e4-1","RPS-default","CPU-default","p95-default","replicas-default","memory-default"
2023-06-14 19:33:45,26.9,3.55,4.88,1,20.9,2.77,5.00,1,0.357,20.8,2.29,4.62,1,0.563,10.3,1.51,83.8,1,0.543,20.7,2.43,26.1,1,0.493,12.0,2.20,4.21,1,0.459,26.3,4.26,4.85,1,0.328
2023-06-14 19:34:00,65.5,7.11,4.83,1,55.8,5.77,4.79,1,0.217,58.0,6.18,4.39,1,0.691,35.6,3.28,52.8,1,0.337,51.4,4.99,4.99,1,0.331,40.9,4.53,4.25,1,0.467,64.8,5.44,4.72,1,0.202
2023-06-14 19:34:15,117,13.2,4.83,1,99.8,8.97,4.60,1,0.252,107,9.72,4.39,1,0.685,71.5,6.56,4.95,1,0.312,101,7.24,4.99,1,0.343,76.6,6.09,4.09,1,0.389,118,9.42,4.72,1,0.229
2023-06-14 19:34:30,167,19.3,4.76,1,148,14.9,4.43,1,0.454,156,14.8,4.21,1,0.707,130,11.7,6.76,1,0.360,145,13.1,4.91,1,0.330,138,11.6,4.18,1,0.187,169,15.7,4.67,1,0.383
2023-06-14 19:34:45,215,26.0,4.75,1,207,19.1,4.47,1,0.436,217,20.6,4.26,1,0.762,179,18.1,4.93,1,0.391,207,22.3,4.90,1,0.183,192,16.5,4.11,1,0.203,219,23.0,4.61,1,0.224
2023-06-14 19:35:00,278,33.0,4.76,1,262,28.4,4.46,1,0.611,261,26.3,4.17,1,0.748,235,24.5,4.80,1,0.543,253,30.8,4.90,1,0.196,244,22.0,4.03,1,0.387,269,32.4,4.64,1,0.254
2023-06-14 19:35:15,322,44.1,4.77,1,311,37.1,4.47,1,0.572,312,35.4,4.23,1,0.799,278,33.0,4.87,1,0.533,306,42.5,4.84,1,0.200,289,27.9,4.00,1,0.423,314,41.4,4.64,1,0.426
2023-06-14 19:35:30,375,53.2,4.72,1,357,45.7,4.35,1,0.574,362,38.4,4.07,1,0.686,339,37.0,4.78,1,0.537,350,50.3,4.86,1,0.162,352,38.1,3.97,1,0.421,364,49.6,4.67,1,0.624
2023-06-14 19:35:45,418,63.0,4.80,1,420,53.4,4.43,1,0.573,426,48.9,4.16,1,0.873,387,49.2,4.79,1,0.605,408,59.9,4.92,1,0.344,406,46.5,4.03,1,0.412,419,55.8,4.67,1,0.781
2023-06-14 19:36:00,479,71.0,4.86,1,474,61.1,4.46,1,0.384,484,56.3,4.33,1,0.580,444,59.5,4.70,1,0.560,462,65.7,4.99,1,0.352,462,50.2,3.98,1,0.524,487,59.8,4.79,1,0.738
2023-06-14 19:36:15,539,76.9,4.98,1,522,67.1,4.57,1,0.492,531,64.4,4.44,1,0.564,486,64.1,4.85,1,0.457,522,73.9,8.82,1,0.364,503,53.5,4.15,1,0.502,543,69.2,4.86,1,0.792
2023-06-14 19:36:30,600,82.9,8.89,1,568,72.8,4.59,1,0.581,579,69.9,4.53,1,0.378,547,74.9,4.99,1,0.244,578,82.0,17.3,1,0.516,564,63.7,4.24,1,0.722,605,76.2,6.25,1,0.770
2023-06-14 19:36:45,656,87.7,20.8,1,633,78.7,4.82,1,0.387,651,76.3,4.71,1,0.530,606,81.4,8.86,1,0.0952,637,87.5,23.8,1,0.515,613,65.6,4.28,1,0.552,658,83.0,12.4,1,0.970
2023-06-14 19:37:00,710,93.6,27.0,1,689,84.8,4.89,1,0.401,705,81.0,4.80,1,0.407,652,82.5,7.49,1,0.0874,688,93.5,31.7,1,0.408,666,73.2,4.36,1,0.676,711,89.1,21.3,1,0.760
