"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-rl-agent-e4-1","CPU-rl-agent-e4-1","p95-rl-agent-e4-1","replicas-rl-agent-e4-1","memory-rl-agent-e4-1","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2","dep_RPS-rl-agent-e4-1"
2023-06-19 17:46:50,46.9,5.58,4.81,1,40.0,4.05,4.20,1,0.329,24.4,2.83,4.50,1,0.576,22.4,3.29,4.94,1,0.493,25.6,3.46,4.74,1,0.386,20.4,2.85,4.92,1,0.478,43.0,3.72,4.25,1,0.0104,46.9,43.0,40.0,24.4,22.4,25.6,20.4
2023-06-19 17:47:00,70.3,7.20,4.64,1,63.2,5.64,4.03,1,0.345,53.4,5.63,4.34,1,0.693,47.0,5.20,4.77,1,0.342,48.1,5.28,4.52,1,0.358,41.8,5.86,4.90,1,0.505,68.0,5.51,3.98,1,0.0141,70.3,68.0,63.2,53.4,47.0,48.1,41.8
2023-06-19 17:47:10,105,9.36,4.62,1,93.5,6.85,3.89,1,0.367,76.5,7.04,4.19,1,0.673,69.6,8.01,4.64,1,0.478,71.9,6.75,4.37,1,0.394,65.1,7.19,4.75,1,0.468,99.7,8.52,4.06,1,0.171,105,99.7,93.5,76.5,69.6,71.9,65.1
2023-06-19 17:47:20,142,13.6,4.52,1,129,10.8,3.80,1,0.379,113,9.71,4.42,1,0.629,102,9.88,4.62,1,0.407,106,9.42,4.41,1,0.556,96.2,10.3,4.75,1,0.332,134,12.9,3.96,1,0.344,142,134,129,113,102,106,96.2
2023-06-19 17:47:30,177,16.5,4.43,1,166,15.3,3.59,1,0.387,151,14.9,4.31,1,0.529,134,14.3,4.58,1,0.588,143,13.5,4.23,1,0.543,131,13.5,4.68,1,0.387,168,16.0,3.97,1,0.397,177,168,166,151,134,143,131
2023-06-19 17:47:40,215,22.3,4.32,1,201,17.0,3.68,1,0.381,193,17.3,4.30,1,0.463,175,18.4,4.54,1,0.540,180,16.1,4.07,1,0.405,174,16.8,4.65,1,0.482,208,18.3,3.89,1,0.503,215,208,201,193,175,180,174
2023-06-19 17:47:50,245,22.3,4.33,1,237,21.8,3.66,1,0.233,218,22.3,4.21,1,0.409,206,24.4,4.52,1,0.559,211,22.9,4.08,1,0.432,212,21.7,4.58,1,0.503,239,21.8,4.04,1,0.540,245,239,237,218,206,211,212
2023-06-19 17:48:00,281,30.5,4.28,1,274,23.5,3.77,1,0.215,266,27.9,4.43,1,0.429,250,25.4,4.52,1,0.567,250,23.7,4.22,1,0.440,246,25.9,4.60,1,0.572,275,29.9,4.03,1,0.567,281,275,274,266,250,250,246
2023-06-19 17:48:10,312,32.7,4.30,1,306,30.7,3.76,1,0.230,296,34.5,4.48,1,0.383,281,33.2,4.50,1,0.429,280,31.7,4.19,1,0.465,284,31.3,4.58,1,0.445,308,31.9,4.01,1,0.522,312,308,306,296,281,280,284
2023-06-19 17:48:20,362,41.5,4.31,1,344,37.3,3.89,1,0.217,341,41.2,4.63,1,0.440,323,37.6,4.56,1,0.538,316,36.4,4.37,1,0.581,315,35.5,4.57,1,0.541,346,39.6,4.02,1,0.545,362,346,344,341,323,316,315
2023-06-19 17:48:30,394,47.2,4.39,1,379,42.2,3.84,1,0.240,369,45.5,4.64,1,0.385,356,43.6,4.54,1,0.595,352,41.1,4.38,1,0.644,356,43.2,4.58,1,0.583,377,43.9,4.06,1,0.628,394,377,379,369,356,352,356
2023-06-19 17:48:40,437,52.0,4.40,1,413,45.3,3.85,1,0.381,407,52.1,4.74,1,0.287,394,50.2,4.59,1,0.588,391,44.7,4.52,1,0.582,388,44.7,4.63,1,0.585,417,48.0,4.04,1,0.690,437,417,413,407,394,391,388
2023-06-19 17:48:50,471,57.3,4.45,1,446,47.5,3.84,1,0.233,430,54.6,4.72,1,0.257,422,53.2,4.64,1,0.608,424,50.4,4.48,1,0.597,427,53.8,4.65,1,0.715,457,54.1,4.12,1,0.833,471,457,446,430,422,424,427
2023-06-19 17:49:00,503,61.6,4.48,1,490,55.4,3.94,1,0.235,469,63.7,4.78,1,0.258,455,58.7,4.68,1,0.423,469,57.7,4.62,1,0.440,460,60.0,4.72,1,0.707,500,57.4,4.21,1,0.747,503,500,490,469,455,469,460
2023-06-19 17:49:10,535,65.2,4.53,1,518,58.3,3.98,1,0.191,489,67.3,4.76,1,0.369,485,63.7,4.68,1,0.276,505,60.4,4.59,1,0.405,502,61.7,4.77,1,0.773,541,63.9,4.34,1,0.545,535,541,518,489,485,505,502
2023-06-19 17:49:20,575,70.1,4.60,1,562,62.9,4.12,1,0.234,532,71.2,4.84,1,0.395,528,67.5,4.79,1,0.404,541,62.4,4.67,1,0.420,528,65.8,4.84,1,0.768,578,68.3,4.40,1,0.460,575,578,562,532,528,541,528
2023-06-19 17:49:30,606,73.5,4.67,1,594,69.1,4.21,1,0.398,562,78.5,4.87,1,0.383,557,71.1,4.87,1,0.417,580,70.9,4.72,1,0.456,570,72.5,4.88,1,0.742,609,72.2,4.52,1,0.433,606,609,594,562,557,580,570
2023-06-19 17:49:40,640,78.7,4.77,1,633,72.9,4.38,1,0.366,607,81.0,5.70,1,0.250,601,76.3,5.41,1,0.565,619,75.1,4.97,1,0.412,607,75.3,4.91,1,0.593,644,76.9,4.60,1,0.444,640,644,633,607,601,619,607
2023-06-19 17:49:50,672,81.5,4.94,1,668,75.3,4.47,1,0.427,637,85.9,7.68,1,0.215,636,79.7,6.34,1,0.634,652,80.3,4.96,1,0.444,648,75.1,4.99,1,0.587,678,78.1,4.72,1,0.431,672,678,668,637,636,652,648
2023-06-19 17:50:00,711,82.3,5.07,1,706,79.6,4.70,1,0.378,683,87.6,12.6,1,0.236,682,82.1,8.25,1,0.545,684,81.9,9.61,1,0.407,674,79.2,4.97,1,0.543,710,81.2,4.82,1,0.400,711,710,706,683,682,684,674
2023-06-19 17:50:10,743,87.9,8.30,1,748,84.0,4.85,1,0.400,712,92.7,16.4,1,0.237,709,86.6,9.65,1,0.437,718,86.3,11.5,1,0.285,717,84.8,9.10,1,0.416,745,87.4,4.93,1,0.395,743,745,748,712,709,718,717
2023-06-19 17:50:20,781,90.9,11.5,1,784,87.8,6.99,1,0.255,751,96.1,22.1,1,0.363,744,85.5,13.2,1,0.411,765,90.4,18.5,1,0.284,755,88.8,11.4,1,0.538,778,91.3,5.78,1,0.422,781,778,784,751,744,765,755
2023-06-19 17:50:30,819,94.1,16.5,1,820,89.3,10.1,1,0.254,788,98.6,23.5,1,0.404,766,90.3,16.4,1,0.423,786,91.5,18.4,1,0.279,786,87.5,14.1,1,0.435,809,91.8,8.58,1,0.431,819,809,820,788,766,786,786
