Wall time,Step,Value
1689942223.125279,38,-785.44189453125
1689942223.354027,96,158.5537109375
1689942223.4690108,126,643.61328125
1689942223.476901,128,675.9505615234375
1689942223.68082,180,1516.720458984375
1689942223.788834,208,1969.442626953125
1689942223.819467,216,2098.7919921875
1689942223.983711,258,2777.875244140625
1689942224.264826,330,3973.087158203125
1689942224.327678,346,4237.99951171875
1689942224.475888,384,4883.4775390625
1689942224.569252,408,5308.80810546875
1689942224.894191,490,6740.85498046875
1689942225.008659,520,7359.24609375
1689942225.188649,566,-8819.7783203125
1689942225.212051,572,-8445.1240234375
1689942225.477663,640,-5971.2431640625
1689942225.8363142,734,-3973.635009765625
1689942225.990408,774,-3169.514892578125
1689942226.1118212,806,-2306.58544921875
1689942226.2105129,832,-1600.251953125
1689942226.3839319,876,-404.9186706542969
1689942226.601983,932,1013.9550170898438
1689942226.6801112,952,1493.2510986328125
1689942226.727009,964,1780.8287353515625
1689942226.9544609,1022,3066.65087890625
1689942227.134507,1068,-5149.677734375
1689942227.17361,1078,-6325.39501953125
1689942227.18928,1082,-6246.55908203125
1689942227.314836,1114,-5009.2021484375
1689942227.3606248,1126,-7808.53857421875
1689942227.61023,1190,-9784.001953125
1689942227.625864,1194,-9753.3349609375
1689942227.968066,1276,-9124.66796875
1689942228.014616,1288,-8965.14453125
1689942228.0223382,1290,-8927.3037109375
1689942228.130934,1318,-8397.525390625
1689942228.262791,1352,-7754.22314453125
1689942228.619751,1444,-5830.92431640625
1689942228.9536169,1530,-43015.45703125
1689942229.040572,1552,-42659.74609375
1689942229.268717,1610,-41721.96484375
1689942229.687875,1716,-40008.08984375
1689942229.758361,1734,-39654.9140625
1689942229.922467,1774,-38943.81640625
1689942230.358711,1886,-35694.5859375
1689942230.805784,2000,-31818.587890625
1689942230.931038,2032,-31381.25390625
1689942231.015976,2054,-31080.587890625
1689942231.102091,2076,-30779.919921875
1689942231.251266,2114,-30260.587890625
1689942231.370332,2144,-29850.587890625
1689942231.417734,2156,-29686.587890625
1689942231.669896,2220,-28811.919921875
1689942231.6854908,2224,-28757.25390625
1689942231.794785,2252,-28374.587890625
1689942231.849071,2266,-28183.25390625
1689942231.9960032,2304,-27663.919921875
1689942232.0036428,2306,-27636.587890625
1689942232.095374,2330,-27308.587890625
1689942232.1719282,2350,-27035.25390625
1689942232.18724,2354,-26980.587890625
1689942232.2495701,2370,-26761.919921875
1689942232.512457,2438,-25832.587890625
1689942232.797645,2506,-24903.25390625
1689942232.813258,2510,-24848.587890625
1689942232.83679,2516,-24766.587890625
1689942232.8681312,2524,-24657.25390625
1689942232.914973,2536,-24493.25390625
1689942232.946229,2544,-24383.919921875
1689942233.3685179,2652,-22907.919921875
1689942233.524222,2692,-22361.25390625
1689942233.7556758,2752,-21541.25390625
1689942233.763392,2754,-21513.919921875
1689942234.08081,2836,-20393.25390625
1689942234.394662,2916,-19299.919921875
1689942234.4025002,2918,-19272.587890625
1689942234.681729,2990,-18288.587890625
1689942234.744384,3006,-17947.919921875
1689942234.805453,3022,-17403.919921875
1689942234.828257,3028,-17199.919921875
1689942235.100388,3098,-14819.9208984375
1689942235.123574,3104,-14615.9208984375
1689942235.232245,3132,-13663.9208984375
1689942235.255379,3138,-13459.9208984375
1689942235.3879838,3172,-12303.9208984375
1689942235.473863,3194,-11555.9208984375
1689942235.716505,3256,-9447.9208984375
1689942235.779027,3272,-8903.9208984375
1689942236.047413,3342,-6523.9208984375
1689942236.1634922,3372,-5503.9208984375
1689942236.296545,3406,-4347.9208984375
1689942236.311929,3410,-4211.9208984375
1689942236.36694,3424,-3735.920654296875
1689942236.8789032,3556,752.0792846679688
1689942237.4206238,3696,5512.0791015625
1689942237.5212102,3722,6396.0791015625
1689942237.574972,3736,6872.0791015625
1689942237.838333,3800,9048.0791015625
1689942237.861491,3806,9252.0791015625
1689942237.915476,3820,9728.0791015625
1689942238.157411,3882,11836.0791015625
1689942238.313932,3922,13196.0791015625
1689942238.321762,3924,13264.0791015625
1689942238.461772,3960,14488.0791015625
1689942239.167868,4142,17788.74609375
1689942239.237358,4160,18034.74609375
1689942239.314199,4180,18308.080078125
1689942239.3985322,4202,18608.74609375
1689942240.242361,4420,21588.080078125
1689942240.475599,4480,22408.080078125
1689942241.0962079,4640,24594.74609375
1689942241.408252,4720,25688.080078125
1689942241.681707,4790,26644.74609375
1689942242.009624,4874,27792.74609375
1689942242.048363,4884,27929.412109375
1689942242.1480808,4910,28284.74609375
1689942242.2106729,4926,28503.412109375
1689942242.2345731,4932,28585.412109375
1689942242.3891299,4972,29132.080078125
1689942242.527391,5008,29706.46484375
1689942242.6347551,5036,30377.478515625
1689942242.734517,5062,31000.564453125
1689942243.094877,5156,33253.25390625
1689942243.102568,5158,33301.18359375
1689942243.264095,5200,34307.70703125
1689942243.479716,5256,35649.734375
1689942243.542372,5272,36033.171875
1689942243.604906,5288,36416.609375
1689942243.924715,5370,38381.72265625
1689942243.9945679,5388,38813.08984375
1689942244.111074,5418,39532.03515625
1689942244.180618,5436,39963.3984375
1689942244.311869,5470,40778.203125
1689942244.357564,5482,41065.78125
1689942244.456352,5508,41688.8671875
1689942244.464162,5510,41736.796875
1689942244.4719229,5512,41784.7265625
1689942244.548357,5532,42264.01953125
1689942244.571218,5538,42407.80859375
1689942244.7019432,5572,43222.61328125
1689942244.911475,5626,44516.71484375
1689942245.081781,5670,45571.1640625
1689942245.1596491,5690,46050.4609375
1689942245.2915342,5724,46865.26171875
1689942245.754796,5844,49741.0390625
1689942245.995193,5906,51226.859375
1689942246.0185862,5912,51370.6484375
1689942246.0732071,5926,51706.15234375
1689942246.159263,5948,52233.37890625
1689942246.6275342,6070,55381.21484375
1689942247.010318,6168,58043.55078125
1689942247.017987,6170,58097.8828125
1689942247.2442272,6208,59130.21484375
1689942247.2521222,6210,59184.55078125
1689942247.259999,6212,59238.8828125
1689942247.376116,6242,60053.8828125
1689942247.5688372,6292,61412.21484375
1689942247.785131,6348,62933.55078125
1689942247.930979,6386,63965.8828125
1689942247.9846342,6400,64346.21484375
1689942248.1225832,6436,65324.21484375
1689942248.145602,6442,65487.21484375
1689942248.3079638,6484,66628.21875
1689942248.492649,6532,67932.21875
1689942248.515723,6538,68095.21875
1689942248.813783,6614,70159.8828125
1689942249.0780108,6682,72007.21875
1689942249.199766,6714,72876.546875
1689942249.571579,6810,75484.546875
1689942250.013369,6924,78581.546875
1689942250.182251,6968,79776.8828125
1689942250.1899068,6970,79831.21875
1689942250.2448719,6984,80211.546875
1689942250.315764,7002,80669.2890625
1689942250.517612,7054,81269.2890625
1689942250.830869,7134,82192.3671875
1689942250.8544471,7140,82261.6015625
1689942251.093694,7202,82976.984375
1689942251.216639,7234,83346.21875
1689942251.51534,7310,84223.140625
1689942251.5385542,7316,84292.3671875
1689942251.5540218,7320,84338.5234375
1689942251.569494,7324,84384.6796875
1689942251.592711,7330,84453.90625
1689942251.6236072,7338,84546.21875
1689942251.646794,7344,84615.4453125
1689942251.795177,7382,85053.90625
1689942251.962803,7426,85561.6015625
1689942252.339224,7524,86793.1953125
1689942252.5014908,7566,81974.65625
1689942253.014154,7698,84244.3046875
1689942253.029597,7702,84308.9765625
1689942253.17584,7740,84943.609375
1689942253.433932,7806,86084.0
1689942253.503677,7824,86393.6796875
1689942253.534682,7832,86523.03125
1689942253.581033,7844,86720.3359375
1689942253.674114,7868,87134.828125
1689942253.6973639,7874,87238.0546875
1689942254.0016692,7952,88575.875
1689942254.291532,8026,90026.9375
1689942254.306954,8030,90104.1953125
1689942254.3761868,8048,90456.5859375
1689942254.460695,8070,90842.0390625
1689942254.508085,8082,91204.3828125
1689942254.5629382,8096,85981.4453125
1689942254.8561668,8170,86930.46875
1689942255.054594,8220,87834.0
1689942255.101742,8232,88018.8828125
1689942255.149015,8244,88239.5
1689942255.1727202,8250,88348.9375
1689942255.3445241,8294,89227.4296875
1689942255.613276,8364,84880.765625
1689942255.698761,8386,85324.640625
1689942255.9693198,8456,86559.5546875
1689942256.200622,8516,87792.671875
1689942256.670124,8638,90439.125
1689942256.748136,8658,90941.796875
1689942257.2653701,8792,94087.953125
1689942257.727594,8888,96214.3671875
1689942257.813229,8910,96942.03125
1689942258.376638,9052,101221.3359375
1689942258.456029,9072,101470.1484375
1689942258.487802,9080,101742.1484375
1689942258.682074,9130,103442.1484375
1689942259.028807,9220,105893.4140625
1689942259.0516322,9226,106014.125
1689942259.3364758,9300,107231.09375
1689942259.618431,9374,108545.9921875
1689942259.648869,9382,108706.4140625
1689942259.664097,9386,108796.25
1689942259.709728,9398,109086.3359375
1689942259.778145,9416,109468.234375
1689942259.953249,9462,110425.4765625
1689942260.007029,9476,110639.9609375
1689942260.3106701,9554,112372.4140625
1689942260.318356,9556,112410.25
1689942260.5482519,9616,108300.0625
1689942260.724852,9662,109349.5546875
1689942260.740048,9666,109451.8203125
1689942260.762879,9672,109605.21875
1689942260.770472,9674,109656.34375
1689942260.83129,9690,110024.953125
1689942261.125173,9766,111877.1796875
1689942261.343196,9822,113321.5546875
1689942261.4902122,9860,114263.515625
1689942261.575336,9882,114785.9765625
1689942261.644917,9900,115258.28125
1689942261.883446,9962,116902.5078125
1689942261.968501,9984,117440.25
1689942262.405271,10096,120197.296875
1689942262.554115,10134,120961.78125
1689942262.656773,10160,121484.84375
1689942262.7270331,10178,121846.96875
1689942262.742742,10182,121927.4453125
1689942263.0723999,10266,123709.8125
1689942263.10396,10274,123870.7578125
1689942263.135272,10282,124031.703125
1689942263.222719,10304,124607.3515625
1689942263.247296,10310,124767.9765625
1689942263.255108,10312,124821.515625
1689942263.50804,10376,126534.8359375
1689942263.60992,10402,127230.8671875
1689942263.753057,10438,128194.609375
1689942263.80888,10452,128569.3984375
1689942263.909207,10478,129265.4375
1689942264.025779,10508,130068.5546875
1689942264.095389,10526,130550.4296875
1689942264.118596,10532,130711.046875
1689942264.351399,10592,132317.28125
1689942264.537824,10640,133602.28125
1689942264.561087,10646,133762.90625
1689942264.5765529,10650,133869.984375
1689942264.607531,10658,134084.15625
1689942264.8915782,10726,135904.546875
1689942264.95571,10742,136332.875
1689942265.210332,10808,138099.734375
1689942265.535857,10892,140348.46875
1689942265.605954,10910,140830.34375
1689942265.6450272,10920,141098.046875
1689942266.02986,11020,143919.703125
