Wall time,Step,Value
1689946920.974169,38,601.8880004882812
1689946921.1962729,96,1553.6810302734375
1689946921.310785,126,2038.7406005859375
1689946921.319179,128,2071.077880859375
1689946921.524854,180,2924.275390625
1689946921.63148,208,3376.997802734375
1689946921.661819,216,3506.346923828125
1689946921.826368,258,4185.43017578125
1689946922.108016,330,5349.5732421875
1689946922.17202,346,5608.271484375
1689946922.326741,384,6222.68017578125
1689946922.42089,408,6610.72802734375
1689946922.748414,490,7948.98486328125
1689946922.8653,520,8446.47265625
1689946923.0420961,566,9278.8076171875
1689946923.0653381,572,9375.8193359375
1689946923.334644,640,10493.9287109375
1689946923.6882691,734,12272.1142578125
1689946923.840661,774,13358.7802734375
1689946923.9780962,806,14228.1142578125
1689946924.1126862,832,14934.447265625
1689946924.2919621,876,15551.537109375
1689946924.524937,932,16197.6904296875
1689946924.6058292,952,16428.4609375
1689946924.653171,964,16566.921875
1689946924.903605,1022,17474.720703125
1689946925.097224,1068,18504.314453125
1689946925.139968,1078,18728.138671875
1689946925.156739,1082,18817.669921875
1689946925.29039,1114,19533.908203125
1689946925.3427389,1126,19802.498046875
1689946925.6140668,1190,21042.34765625
1689946925.631019,1194,21107.0234375
1689946925.975383,1276,22432.8515625
1689946926.020979,1288,22626.875
1689946926.0285819,1290,22659.212890625
1689946926.135927,1318,23111.935546875
1689946926.263621,1352,23661.669921875
1689946926.6263921,1444,25149.185546875
1689946926.962282,1530,26539.689453125
1689946927.046016,1552,26895.400390625
1689946927.276544,1610,27833.181640625
1689946927.678574,1716,29547.05859375
1689946927.746349,1734,29838.09375
1689946927.896694,1774,30484.83984375
1689946928.3432379,1886,32295.728515625
1689946928.867506,2000,34138.95703125
1689946929.0041091,2032,34656.3515625
1689946929.091008,2054,35012.0625
1689946929.1752372,2076,35367.7734375
1689946929.3212821,2114,35982.18359375
1689946929.440407,2144,36467.2421875
1689946929.486183,2156,36661.265625
1689946929.731898,2220,37696.05859375
1689946929.747437,2224,37760.734375
1689946929.854493,2252,38213.45703125
1689946929.908214,2266,38439.81640625
1689946930.051928,2304,39054.2265625
1689946930.059457,2306,39086.5625
1689946930.150026,2330,39474.609375
1689946930.2262888,2350,39797.984375
1689946930.241199,2354,39862.66015625
1689946930.300879,2370,40121.35546875
1689946930.5590441,2438,41220.82421875
1689946930.815873,2506,42320.29296875
1689946930.831529,2510,42384.96875
1689946930.854878,2516,42481.98046875
1689946930.886252,2524,42611.328125
1689946930.933385,2536,42805.3515625
1689946930.963945,2544,42934.703125
1689946931.374752,2652,44680.91796875
1689946931.5261319,2692,45327.6640625
1689946931.753618,2752,46297.78125
1689946931.761203,2754,46330.1171875
1689946932.07467,2836,47655.94921875
1689946932.3749938,2916,48949.44140625
1689946932.382402,2918,48981.77734375
1689946932.651961,2990,50145.921875
1689946932.7130492,3006,50404.6171875
1689946932.773391,3022,50663.31640625
1689946932.795744,3028,50760.328125
1689946933.0618849,3098,51892.13671875
1689946933.084179,3104,51989.1484375
1689946933.190015,3132,52441.8671875
1689946933.212393,3138,52538.8828125
1689946933.34166,3172,53088.61328125
1689946933.425719,3194,53444.32421875
1689946933.662082,3256,54446.78125
1689946933.7232158,3272,54705.48046875
1689946933.986968,3342,55837.28515625
1689946934.09856,3372,56322.34375
1689946934.225043,3406,56872.078125
1689946934.240016,3410,56936.75390625
1689946934.2929091,3424,57163.1171875
1689946934.7915258,3556,59297.37890625
1689946935.32505,3696,61560.98828125
1689946935.422688,3722,61981.375
1689946935.474672,3736,62207.734375
1689946935.717331,3800,63242.52734375
1689946935.739678,3806,63339.5390625
1689946935.792908,3820,63565.90234375
1689946936.0256581,3882,64568.359375
1689946936.174709,3922,65215.10546875
1689946936.182163,3924,65247.44140625
1689946936.319547,3960,65829.515625
1689946937.0045671,4142,69654.5703125
1689946937.073148,4160,70057.453125
1689946937.1496608,4180,70505.1015625
1689946937.232073,4202,70997.515625
1689946938.1910279,4420,75876.8984375
1689946938.436019,4480,77219.84375
1689946939.096289,4640,80801.046875
1689946939.414449,4720,82591.640625
1689946939.688488,4790,84158.4140625
1689946940.027692,4874,86038.5390625
1689946940.0668318,4884,86262.3671875
1689946940.169821,4910,86844.3125
1689946940.23716,4926,87202.4296875
1689946940.2625122,4932,87336.7265625
1689946940.459104,4972,88232.0234375
1689946940.6346729,5008,88951.0390625
1689946940.8031812,5036,89274.1171875
1689946940.915348,5062,89574.1171875
1689946941.295858,5156,90893.53125
1689946941.3040268,5158,90925.8671875
1689946941.4715788,5200,91604.953125
1689946941.691416,5256,92510.3984375
1689946941.7583559,5272,92769.09375
1689946941.8262742,5288,93027.796875
1689946942.154063,5370,94353.625
1689946942.226509,5388,94644.65625
1689946942.3518798,5418,95129.71875
1689946942.441278,5436,95420.7578125
1689946942.5755699,5470,95970.4921875
1689946942.622491,5482,96164.515625
1689946942.7434628,5508,96584.8984375
1689946942.7511659,5510,96617.234375
1689946942.7588239,5512,96649.5703125
1689946942.854094,5532,96972.9453125
1689946942.876815,5538,97069.953125
1689946943.0070138,5572,97619.6875
1689946943.213653,5626,98492.796875
1689946943.3845708,5670,99204.21875
1689946943.461529,5690,99527.59375
1689946943.5927591,5724,100077.328125
1689946944.049081,5844,102017.5625
1689946944.302165,5906,103020.0234375
1689946944.3273878,5912,103117.03125
1689946944.385081,5926,103343.390625
1689946944.47415,5948,103699.1015625
1689946945.0909262,6070,105671.6796875
1689946945.4754071,6168,107256.2109375
1689946945.483092,6170,107288.546875
1689946945.629419,6208,107902.953125
1689946945.6370292,6210,107935.2890625
1689946945.644664,6212,107967.625
1689946945.759308,6242,108452.6875
1689946945.946837,6292,109261.1171875
1689946946.160939,6348,110196.171875
1689946946.306626,6386,110810.578125
1689946946.360435,6400,111036.9375
1689946946.4990988,6436,111619.015625
1689946946.5219042,6442,111716.0234375
1689946946.6814961,6484,112395.109375
1689946946.865456,6532,113171.203125
1689946946.888984,6538,113268.2109375
1689946947.180694,6614,114497.03125
1689946947.443573,6682,115743.6328125
1689946947.5656042,6714,105750.4140625
1689946947.9342341,6810,107680.09375
1689946948.372642,6924,109633.859375
1689946948.539965,6968,110442.3046875
1689946948.547499,6970,110474.6484375
1689946948.5999732,6984,110727.4453125
1689946948.6676018,7002,111045.0390625
1689946948.86579,7054,111943.4375
1689946949.166249,7134,113366.078125
1689946949.1886961,7140,113457.0
1689946949.425762,7202,114588.7265625
1689946949.54565,7234,115174.59375
1689946949.833457,7310,116553.0234375
1689946949.856585,7316,116662.4609375
1689946949.8718772,7320,116739.5703125
1689946949.8871849,7324,116822.8828125
1689946949.9098508,7330,116938.5390625
1689946949.939448,7338,117088.109375
1689946949.961898,7344,117209.9765625
1689946950.106559,7382,117917.8359375
1689946950.2952168,7426,118742.9296875
1689946950.664503,7524,120633.7578125
1689946950.820152,7566,121445.0390625
1689946951.331465,7698,124152.921875
1689946951.346611,7702,124220.7578125
1689946951.494187,7740,125018.5390625
1689946951.748677,7806,126436.8125
1689946951.8208342,7824,126821.0546875
1689946951.853308,7832,127000.109375
1689946951.899884,7844,127268.703125
1689946951.9908721,7868,127805.8828125
1689946952.0137348,7874,127940.1796875
1689946952.309403,7952,129686.0078125
1689946952.592716,8026,131204.390625
1689946952.608951,8030,131293.921875
1689946952.677096,8048,131678.15625
1689946952.760742,8070,132004.75
1689946952.806158,8082,132250.0625
1689946952.859524,8096,132550.984375
1689946953.140843,8170,134207.296875
1689946953.334151,8220,135326.421875
1689946953.380297,8232,135595.015625
1689946953.42702,8244,135863.59375
1689946953.449986,8250,135997.890625
1689946953.616889,8294,136911.328125
1689946953.898649,8364,138478.09375
1689946953.985909,8386,138970.515625
1689946954.264628,8456,140481.484375
1689946954.5023968,8516,141712.828125
1689946954.978614,8638,144407.78125
1689946955.0556748,8658,144855.4375
1689946955.564189,8792,147854.6875
1689946955.92879,8888,149758.625
1689946956.01357,8910,150012.46875
1689946956.549684,9052,153338.171875
1689946956.624026,9072,153817.46875
1689946956.6538198,9080,154009.1875
1689946956.839673,9130,155207.421875
1689946957.179204,9220,157364.25
1689946957.202037,9226,157508.046875
1689946957.483107,9300,159281.4375
1689946957.763041,9374,161054.828125
1689946957.7934778,9382,161246.546875
1689946957.808449,9386,161342.40625
1689946957.853309,9398,161629.984375
1689946957.92085,9416,162061.359375
1689946958.095886,9462,163163.734375
1689946958.1491861,9476,163499.25
1689946958.442276,9554,165368.5
1689946958.449673,9556,165416.421875
1689946958.674655,9616,166854.3125
1689946958.850656,9662,167956.703125
1689946958.865567,9666,168052.5625
1689946958.887889,9672,168196.34375
1689946958.895332,9674,168244.28125
1689946958.9548092,9690,168627.71875
1689946959.2399108,9766,170449.03125
1689946959.4523132,9822,171791.0625
1689946959.617493,9860,172701.734375
1689946959.701323,9882,173228.953125
1689946959.7694972,9900,173660.3125
1689946960.003086,9962,175146.140625
1689946960.085779,9984,175673.359375
1689946960.508516,10096,178664.796875
1689946960.6529138,10134,179697.140625
1689946960.7517,10160,180403.46875
1689946960.8199239,10178,180892.46875
1689946960.835113,10182,181001.140625
1689946961.152701,10266,183283.140625
1689946961.183146,10274,183500.46875
1689946961.213551,10282,183717.796875
1689946961.2972338,10304,184315.46875
1689946961.320863,10310,184478.46875
1689946961.3283541,10312,184532.796875
1689946961.569417,10376,186271.46875
1689946961.6673431,10402,186977.796875
1689946961.803301,10438,187955.796875
1689946961.855936,10452,188336.140625
1689946961.9553971,10478,189042.46875
1689946962.070624,10508,189857.46875
1689946962.1395478,10526,190346.46875
1689946962.16188,10532,190509.46875
1689946962.388976,10592,192139.46875
1689946962.5708108,10640,193443.46875
1689946962.593528,10646,193606.46875
1689946962.608598,10650,193715.140625
1689946962.6385589,10658,193932.46875
1689946962.895159,10726,195779.796875
1689946962.955769,10742,196214.46875
1689946963.203903,10808,198007.46875
1689946963.52272,10892,200289.46875
1689946963.590379,10910,200778.46875
1689946963.628105,10920,201050.140625
1689946964.007146,11020,203768.515625
1689946964.097288,11044,204584.515625
1689946964.4452832,11136,207712.515625
1689946965.275413,11336,214512.515625
1689946965.7564318,11462,218796.515625
1689946965.97376,11518,220700.515625
1689946966.1476438,11564,222264.515625
1689946966.5513558,11666,225732.515625
1689946966.808892,11734,228044.515625
1689946966.908054,11760,228928.515625
1689946967.441229,11898,233620.515625
1689946967.5016801,11914,234164.515625
1689946967.56321,11930,234708.515625
1689946967.694583,11964,235864.515625
1689946967.818314,11996,236952.515625
1689946967.9104729,12020,237727.84375
1689946968.1875358,12092,240175.84375
1689946968.249386,12108,240719.84375
1689946968.444041,12158,242419.84375
