Wall time,Step,Value
1689950234.644095,38,-11302.2412109375
1689950234.8970618,96,-10046.3056640625
1689950235.0286012,126,-9534.806640625
1689950235.0381389,128,-9502.4697265625
1689950235.266321,180,-8495.1181640625
1689950235.3883991,208,-7883.50390625
1689950235.42197,216,-7735.51318359375
1689950235.5893152,258,-6994.1708984375
1689950235.912508,330,-5814.19189453125
1689950235.9764202,346,-5536.8515625
1689950236.150589,384,-4916.22900390625
1689950236.246754,408,-4515.75390625
1689950236.6430058,490,-3074.908447265625
1689950236.783359,520,-2553.720703125
1689950236.996019,566,-1729.0623779296875
1689950237.0254898,572,-1613.4090576171875
1689950237.3439832,640,-430.3786315917969
1689950237.7923489,734,1108.1160888671875
1689950237.9611871,774,1922.6353759765625
1689950238.100179,806,2411.150390625
1689950238.212218,832,2711.150390625
1689950238.401281,876,3218.842529296875
1689950238.635793,932,4005.650390625
1689950238.719986,952,4548.98388671875
1689950238.769886,964,4874.98388671875
1689950239.010527,1022,6001.9521484375
1689950239.202291,1068,6745.7099609375
1689950239.239897,1078,6907.396484375
1689950239.254682,1082,6972.0712890625
1689950239.397706,1114,7489.46826171875
1689950239.443054,1126,7683.49169921875
1689950239.693591,1190,8718.28515625
1689950239.708957,1194,8782.9599609375
1689950240.083128,1276,10108.7900390625
1689950240.137963,1288,10302.8134765625
1689950240.146542,1290,10335.150390625
1689950240.279317,1318,10787.873046875
1689950240.442847,1352,11337.607421875
1689950240.8627279,1444,12825.123046875
1689950241.2499552,1530,14215.626953125
1689950241.343988,1552,14571.337890625
1689950241.595636,1610,15509.119140625
1689950242.061732,1716,17222.99609375
1689950242.14485,1734,17514.03125
1689950242.324927,1774,18160.77734375
1689950242.7799401,1886,20431.490234375
1689950243.3000588,2000,22983.091796875
1689950243.471339,2032,23500.48828125
1689950243.577889,2054,23856.19921875
1689950243.682275,2076,24211.91015625
1689950243.859549,2114,24826.318359375
1689950243.9945111,2144,25311.37890625
1689950244.046742,2156,25505.40234375
1689950244.339961,2220,26540.1953125
1689950244.3567832,2224,26604.87109375
1689950244.4801521,2252,27057.591796875
1689950244.541274,2266,27283.953125
1689950244.7050319,2304,27898.36328125
1689950244.713954,2306,27930.69921875
1689950244.818441,2330,28318.748046875
1689950244.922373,2350,28642.12109375
1689950244.939824,2354,28706.794921875
1689950245.010644,2370,28965.494140625
1689950245.3115342,2438,30064.9609375
1689950245.69161,2506,31164.4296875
1689950245.7080991,2510,31229.103515625
1689950245.730591,2516,31326.1171875
1689950245.760104,2524,31455.46484375
1689950245.803898,2536,31649.490234375
1689950245.833497,2544,31778.837890625
1689950246.253254,2652,33525.0546875
1689950246.402236,2692,34171.80078125
1689950246.6204858,2752,35141.91796875
1689950246.6276312,2754,35174.25390625
1689950246.931903,2836,36500.0859375
1689950247.235355,2916,37793.578125
1689950247.2425652,2918,37825.9140625
1689950247.526392,2990,38990.05859375
1689950247.5886059,3006,39286.0390625
1689950247.648695,3022,39644.15625
1689950247.671749,3028,39778.453125
1689950248.0108402,3098,41345.2265625
1689950248.039888,3104,41479.51953125
1689950248.168978,3132,42106.23046875
1689950248.195096,3138,42240.5234375
1689950248.352062,3172,43001.53125
1689950248.452254,3194,43493.9453125
1689950248.729555,3256,44881.65625
1689950248.800905,3272,45239.77734375
1689950249.1013582,3342,46806.55078125
1689950249.228689,3372,47478.0234375
1689950249.376087,3406,48239.02734375
1689950249.394165,3410,48328.55859375
1689950249.453365,3424,48641.9140625
1689950250.006036,3556,51596.40234375
1689950250.5607731,3696,54729.9453125
1689950250.6568708,3722,55311.890625
1689950250.728608,3736,55625.24609375
1689950250.9639301,3800,57057.7265625
1689950250.986222,3806,57192.01953125
1689950251.040737,3820,57505.375
1689950251.270831,3882,58893.0859375
1689950251.41979,3922,59788.38671875
1689950251.42721,3924,59833.15234375
1689950251.5596092,3960,60638.921875
1689950252.249069,4142,63172.6796875
