Wall time,Step,Value
1689951981.6189508,38,-2038.2264404296875
1689951981.839375,96,-728.8982543945312
1689951981.954261,126,-69.4383773803711
1689951981.96174,128,-18.30690574645996
1689951982.154248,180,1079.8394775390625
1689951982.2586071,208,1497.8331298828125
1689951982.294179,216,-2367.381591796875
1689951982.456699,258,-2961.351806640625
1689951982.7351592,330,-1734.7044677734375
1689951982.797775,346,-1387.0919189453125
1689951982.943187,384,-621.53173828125
1689951983.035646,408,-21.749603271484375
1689951983.348706,490,1347.1678466796875
1689951983.4612968,520,2012.2679443359375
1689951983.630993,566,2837.2041015625
1689951983.653149,572,2908.106689453125
1689951983.904843,640,4437.72412109375
1689951984.2582011,734,6306.8359375
1689951984.4059432,774,7156.7373046875
1689951984.525577,806,7794.10791015625
1689951984.62099,832,8361.6181640625
1689951984.784499,876,9363.2158203125
1689951985.014509,932,10292.75390625
1689951985.088311,952,10804.716796875
1689951985.133027,964,11013.890625
1689951985.348693,1022,12214.9453125
1689951985.522217,1068,12997.5703125
1689951985.5603268,1078,13159.2568359375
1689951985.575526,1082,13223.931640625
1689951985.696713,1114,13747.5419921875
1689951985.741478,1126,13947.779296875
1689951985.988224,1190,15007.4287109375
1689951986.003275,1194,15078.3173828125
1689951986.311828,1276,16410.361328125
1689951986.356704,1288,16610.59765625
1689951986.364427,1290,16642.935546875
1689951986.470568,1318,17101.87109375
1689951986.5980532,1352,17657.8203125
1689951986.9440188,1444,19145.3359375
1689951987.275945,1530,20535.83984375
1689951987.358515,1552,20891.548828125
1689951987.5837598,1610,21829.33203125
1689951987.977464,1716,23543.208984375
1689951988.044149,1734,23834.244140625
1689951988.194942,1774,24480.990234375
1689951988.617175,1886,26291.87890625
1689951989.052664,2000,28135.10546875
1689951989.171913,2032,28658.716796875
1689951989.25331,2054,29014.42578125
1689951989.336403,2076,29370.13671875
1689951989.4798248,2114,29990.759765625
1689951989.592326,2144,30475.818359375
1689951989.637228,2156,30669.841796875
1689951989.876959,2220,31704.63671875
1689951989.891883,2224,31769.310546875
1689951989.997959,2252,32222.033203125
1689951990.0507698,2266,32448.39453125
1689951990.191824,2304,33062.8046875
1689951990.1991959,2306,33095.140625
1689951990.288785,2330,33483.1875
1689951990.36739,2350,33806.5625
1689951990.3823302,2354,33871.234375
1689951990.446951,2370,34129.93359375
1689951990.700992,2438,35229.40234375
1689951990.9531882,2506,36328.87109375
1689951990.968042,2510,36393.546875
1689951990.9903738,2516,36490.55859375
1689951991.020106,2524,36619.90625
1689951991.0650282,2536,36813.9296875
1689951991.095097,2544,36943.28125
1689951991.502711,2652,38689.4921875
1689951991.653127,2692,39336.23828125
