Wall time,Step,Value
1689953245.524095,38,616.1995849609375
1689953245.749253,96,1553.9813232421875
1689953245.866241,126,2039.0408935546875
1689953245.873879,128,2071.378173828125
1689953246.074411,180,2912.14794921875
1689953246.2079418,208,3364.870361328125
1689953246.238258,216,3494.219482421875
1689953246.400645,258,4173.302734375
1689953246.686312,330,5337.44580078125
1689953246.748611,346,5596.14404296875
1689953246.89742,384,6210.552734375
1689953246.990977,408,6598.6005859375
1689953247.313952,490,7924.43017578125
1689953247.43018,520,8409.4892578125
1689953247.607757,566,9153.2470703125
1689953247.631521,572,9250.259765625
1689953247.896032,640,10349.7275390625
1689953248.26025,734,11869.5810546875
1689953248.415185,774,12516.3271484375
1689953248.538486,806,13033.7236328125
1689953248.639529,832,13454.1083984375
1689953248.825591,876,14165.529296875
1689953249.059504,932,15070.9736328125
1689953249.136229,952,15394.3466796875
1689953249.183407,964,15588.37109375
1689953249.4089851,1022,16526.15234375
1689953249.5862179,1068,17269.91015625
1689953249.625175,1078,17431.59765625
1689953249.6411352,1082,17496.271484375
1689953249.7654479,1114,18013.66796875
1689953249.8121579,1126,18207.69140625
1689953250.059409,1190,19242.486328125
1689953250.0745878,1194,19307.16015625
1689953250.3915699,1276,20632.990234375
1689953250.438702,1288,20827.013671875
1689953250.446969,1290,20859.3515625
1689953250.554796,1318,21312.07421875
1689953250.687042,1352,21861.806640625
1689953251.055703,1444,23349.32421875
1689953251.391694,1530,24739.828125
1689953251.47707,1552,25095.537109375
1689953251.69988,1610,26033.3203125
1689953252.1077929,1716,27747.197265625
1689953252.177397,1734,28038.232421875
1689953252.332631,1774,28684.978515625
1689953252.765297,1886,30495.8671875
1689953253.221192,2000,32339.09375
1689953253.3457868,2032,32856.4921875
1689953253.43183,2054,33212.19921875
1689953253.516595,2076,33567.91015625
1689953253.6643882,2114,34182.3203125
1689953253.778646,2144,34667.37890625
1689953253.8250282,2156,34861.40234375
1689953254.074228,2220,35896.1953125
1689953254.0889301,2224,35960.87109375
1689953254.19732,2252,36413.59375
1689953254.252626,2266,36639.953125
1689953254.399782,2304,37254.36328125
1689953254.4308748,2306,37286.69921875
1689953254.526428,2330,37674.75
1689953254.603083,2350,37998.12109375
1689953254.618956,2354,38062.796875
1689953254.683059,2370,38321.49609375
1689953254.948861,2438,39420.9609375
1689953255.210061,2506,40520.4296875
1689953255.225468,2510,40585.10546875
1689953255.248424,2516,40682.1171875
1689953255.27951,2524,40811.46875
1689953255.326123,2536,41005.4921875
1689953255.3567622,2544,41134.83984375
1689953255.772299,2652,42881.0546875
1689953255.927845,2692,43527.80078125
1689953256.16312,2752,44497.91796875
1689953256.1709938,2754,44530.2578125
1689953256.4882681,2836,45856.0859375
1689953256.798856,2916,47149.578125
1689953256.806666,2918,47181.9140625
1689953257.090373,2990,48346.05859375
1689953257.156127,3006,48610.96875
1689953257.220542,3022,48869.66796875
1689953257.2451808,3028,48966.6796875
1689953257.521357,3098,50098.48828125
1689953257.545001,3104,50195.5
1689953257.6541939,3132,50648.22265625
1689953257.6772811,3138,50745.234375
1689953257.811489,3172,51294.96484375
1689953257.897378,3194,51650.67578125
1689953258.1414962,3256,52653.1328125
1689953258.204283,3272,52911.83203125
1689953258.475373,3342,54043.63671875
1689953258.591786,3372,54528.6953125
1689953258.7220109,3406,55078.4296875
1689953258.73775,3410,55143.10546875
1689953258.792236,3424,55369.46875
1689953259.305158,3556,57503.73046875
1689953259.8448691,3696,59767.33984375
1689953259.945523,3722,60187.7265625
1689953260.00002,3736,60414.0859375
1689953260.247551,3800,61448.87890625
1689953260.2713852,3806,61545.890625
1689953260.3260522,3820,61772.25390625
1689953260.565857,3882,62774.7109375
1689953260.719805,3922,63421.45703125
1689953260.727883,3924,63453.79296875
1689953260.865901,3960,64035.86328125
1689953261.57076,4142,66984.7734375
1689953261.640359,4160,67275.8046875
1689953261.717782,4180,67599.1796875
1689953261.802871,4202,67954.890625
1689953262.653692,4420,71479.65625
1689953262.885526,4480,72449.7734375
1689953263.506346,4640,75036.7578125
1689953263.824642,4720,76330.25
1689953264.121384,4790,77462.0546875
1689953264.4454489,4874,78820.2265625
1689953264.4840698,4884,78981.9140625
1689953264.5847309,4910,79402.296875
1689953264.6460092,4926,79660.9921875
1689953264.669056,4932,79758.0078125
1689953264.902262,4972,80404.75
1689953265.042864,5008,80986.828125
1689953265.15074,5036,81439.546875
1689953265.251216,5062,81859.9296875
1689953265.614358,5156,83379.78125
1689953265.622281,5158,83412.125
1689953265.784148,5200,84091.203125
1689953265.99966,5256,84996.6484375
1689953266.062464,5272,85255.3515625
1689953266.1275468,5288,85514.046875
1689953266.445741,5370,86839.875
1689953266.514327,5388,87130.9140625
1689953266.629546,5418,87615.96875
1689953266.698692,5436,87907.0078125
1689953266.8303528,5470,88456.7421875
1689953266.894558,5482,88650.765625
1689953266.9956548,5508,89071.1484375
1689953267.003534,5510,89103.484375
1689953267.0113611,5512,89135.828125
1689953267.088686,5532,89459.1953125
1689953267.111892,5538,89556.2109375
1689953267.2429209,5572,90105.9453125
1689953267.452441,5626,90979.0546875
1689953267.631405,5670,91690.46875
1689953267.7106812,5690,92013.84375
1689953267.844832,5724,92563.578125
1689953268.3238652,5844,94503.8203125
1689953268.5642922,5906,95506.2734375
1689953268.586986,5912,95603.2890625
1689953268.641804,5926,95829.6484375
1689953268.727199,5948,96185.359375
1689953269.205717,6070,98157.9296875
1689953269.586487,6168,99742.4609375
1689953269.5942771,6170,99774.796875
1689953269.7414012,6208,100389.203125
1689953269.749202,6210,100421.546875
1689953269.757188,6212,100453.8828125
1689953269.8734772,6242,100938.9375
1689953270.066165,6292,101801.9921875
1689953270.2817879,6348,102853.421875
1689953270.427319,6386,103582.8671875
1689953270.480721,6400,103827.8671875
1689953270.6185868,6436,104451.9765625
1689953270.642544,6442,104548.984375
1689953270.804471,6484,105292.0703125
1689953270.989345,6532,106117.9921875
1689953271.012376,6538,106227.4375
1689953271.3225338,6614,107518.5078125
1689953271.5842812,6682,108718.984375
1689953271.706141,6714,109262.9375
1689953272.077149,6810,110933.7109375
1689953272.515598,6924,113131.859375
1689953272.6846,6968,113915.65625
1689953272.692207,6970,113947.9921875
1689953272.7464352,6984,114183.734375
1689953272.814552,7002,114609.9921875
1689953273.013806,7054,115637.1171875
1689953273.3301702,7134,117140.3046875
1689953273.3535712,7140,117251.640625
1689953273.590189,7202,118620.7109375
1689953273.713025,7234,119445.3359375
1689953274.003531,7310,121364.3125
1689953274.027157,7316,121499.7578125
1689953274.042656,7320,121595.0859375
1689953274.05792,7324,121716.6328125
1689953274.0811641,7330,121893.0703125
1689953274.11234,7338,122099.90625
1689953274.1352289,7344,122202.2421875
1689953274.3063512,7382,123070.7734375
1689953274.474962,7426,123978.046875
1689953274.852617,7524,126206.3046875
1689953275.0125499,7566,127249.640625
1689953275.5204322,7698,130253.9609375
1689953275.5359712,7702,130353.015625
1689953275.6830232,7740,131295.265625
1689953275.9362502,7806,132798.984375
1689953276.0059981,7824,133184.578125
1689953276.0369349,7832,133363.171875
1689953276.083575,7844,133648.3125
1689953276.175746,7868,134216.4375
1689953276.198329,7874,134360.609375
1689953276.498341,7952,136323.328125
1689953276.7822971,8026,138256.890625
1689953276.797608,8030,138352.21875
1689953276.8674319,8048,138845.96875
1689953276.95215,8070,139409.453125
1689953276.997269,8082,139665.03125
1689953277.051956,8096,140041.546875
1689953277.33526,8170,142144.171875
1689953277.525907,8220,143482.96875
1689953277.5711439,8232,143792.0625
1689953277.617246,8244,144074.828125
1689953277.640652,8250,144243.25
1689953277.807924,8294,145350.859375
1689953278.077385,8364,147025.8125
1689953278.161624,8386,147695.640625
1689953278.435869,8456,149809.5
1689953278.675133,8516,151632.625
1689953279.1461198,8638,155339.625
1689953279.2227452,8658,155947.34375
1689953279.735602,8792,159956.203125
1689953280.104244,8888,162873.203125
1689953280.188116,8910,163541.671875
1689953280.731936,9052,167856.390625
1689953280.8081028,9072,168464.09375
1689953280.838689,9080,168707.171875
1689953281.0315452,9130,170226.4375
1689953281.376365,9220,172961.125
1689953281.399071,9226,173143.4375
1689953281.721985,9300,175391.953125
1689953282.005316,9374,177640.453125
1689953282.0365372,9382,177883.546875
1689953282.051648,9386,178005.078125
1689953282.0971498,9398,178369.703125
1689953282.166345,9416,178916.640625
1689953282.34271,9462,180314.375
1689953282.396132,9476,180739.765625
1689953282.694165,9554,183109.8125
1689953282.701715,9556,183170.59375
1689953282.933474,9616,184993.703125
1689953283.109353,9662,186391.421875
1689953283.124125,9666,186512.96875
1689953283.146832,9672,186695.28125
1689953283.154665,9674,186756.046875
1689953283.215633,9690,187242.21875
1689953283.507581,9766,189551.5
1689953283.7264562,9822,191253.078125
1689953283.877208,9860,192407.71875
1689953283.9607098,9882,193076.203125
1689953284.030046,9900,193623.140625
1689953284.267654,9962,195507.015625
1689953284.352323,9984,196175.5
1689953284.78168,10096,199565.546875
1689953284.9524732,10134,200720.1875
1689953285.0523992,10160,201510.203125
1689953285.1212878,10178,202057.140625
1689953285.136003,10182,202178.6875
1689953285.456655,10266,204731.046875
1689953285.487243,10274,204974.140625
1689953285.518066,10282,205217.21875
1689953285.601805,10304,205885.6875
1689953285.6253068,10310,206068.0
1689953285.632792,10312,206128.78125
1689953285.8777559,10376,208073.4375
1689953285.97735,10402,208863.453125
1689953286.116074,10438,209957.328125
1689953286.1699278,10452,210382.71875
1689953286.269959,10478,211172.734375
1689953286.3841212,10508,212084.296875
1689953286.4527419,10526,212631.234375
1689953286.475869,10532,212813.546875
1689953286.782419,10592,214636.65625
1689953286.97599,10640,216095.15625
1689953287.023842,10646,216277.46875
1689953287.040749,10650,216399.015625
1689953287.072122,10658,216642.09375
1689953287.333436,10726,218708.296875
1689953287.396584,10742,219194.453125
1689953287.683842,10808,221199.890625
1689953288.0096152,10892,223752.25
1689953288.079937,10910,224299.1875
1689953288.1186502,10920,224603.046875
1689953288.5070121,11020,227641.578125
1689953288.603229,11044,228370.828125
1689953288.967225,11136,231166.265625
1689953289.753394,11336,237243.328125
1689953290.240983,11462,240043.9375
1689953290.457788,11518,241163.875
1689953290.6353128,11564,242300.5625
1689953291.030978,11666,244880.453125
1689953291.2949178,11734,246708.953125
1689953291.394667,11760,247415.28125
1689953291.926265,11898,251064.109375
1689953291.98779,11914,251445.484375
1689953292.0511959,11930,251880.15625
1689953292.183622,11964,252762.953125
1689953292.307744,11996,253607.0625
1689953292.399279,12020,254177.71875
1689953292.6789792,12092,256133.71875
1689953292.7403939,12108,256565.1875
1689953292.931626,12158,257867.03125
1689953293.184513,12224,259644.390625
1689953293.199998,12228,259753.0625
1689953293.359225,12268,260739.171875
1689953293.398911,12278,261010.84375
1689953293.414876,12282,261119.515625
1689953293.431505,12286,261228.171875
1689953294.074914,12452,265477.8125
1689953294.2109911,12488,266371.25
1689953294.485612,12560,268101.3125
1689953294.500745,12564,268194.34375
1689953294.6467211,12602,269116.90625
1689953294.905919,12666,270704.90625
1689953294.921233,12670,270800.78125
1689953295.105078,12718,271913.65625
1689953295.1130838,12720,271952.375
1689953295.151371,12730,272189.1875
1689953295.188274,12740,272448.0625
1689953295.984722,12948,277356.90625
1689953296.1239738,12984,278203.09375
1689953296.432194,13058,279882.65625
1689953296.454937,13064,280042.46875
1689953296.569551,13094,280738.125
