Wall time,Step,Value
1689955438.594731,38,-3248.675537109375
1689955438.8510988,96,-2234.428955078125
1689955438.973304,126,-1503.4033203125
1689955438.982526,128,-1476.8160400390625
1689955439.2117429,180,-216.1148223876953
1689955439.3266098,208,330.3907775878906
1689955439.359217,216,460.63330078125
1689955439.535529,258,1060.3963623046875
1689955439.8359418,330,2586.906005859375
1689955439.909267,346,3163.381591796875
1689955440.0623438,384,4176.35888671875
1689955440.1512802,408,5029.6767578125
1689955440.4601028,490,7920.6884765625
1689955440.575357,520,9077.7431640625
1689955440.746089,566,10301.92578125
1689955440.7680378,572,10507.2236328125
1689955441.015147,640,12109.9462890625
1689955441.416917,734,15911.4912109375
1689955441.5732212,774,17738.0703125
1689955441.702606,806,19048.982421875
1689955441.7976608,832,20136.89453125
1689955441.962076,876,21913.193359375
1689955442.1672478,932,24327.517578125
1689955442.242302,952,25282.751953125
1689955442.286182,964,25806.2109375
1689955442.50312,1022,28514.775390625
1689955442.673125,1068,30583.7421875
1689955442.7084842,1078,31166.220703125
1689955442.7226171,1082,31415.990234375
1689955442.839177,1114,33046.3359375
1689955442.882221,1126,33669.8125
1689955443.108149,1190,36878.8671875
1689955443.1222882,1194,37086.69140625
1689955443.420664,1276,42206.97265625
1689955443.470712,1288,42956.28125
1689955443.478139,1290,43081.16796875
1689955443.5929668,1318,44829.55859375
1689955443.7250419,1352,46952.6015625
1689955444.067588,1444,52177.83984375
1689955444.3870459,1530,53940.62109375
1689955444.468074,1552,54386.8359375
1689955444.6770859,1610,55484.23046875
1689955445.0736132,1716,57489.8203125
1689955445.138496,1734,57830.390625
1689955445.312722,1774,58587.21875
1689955445.739712,1886,60706.328125
1689955446.205185,2000,62863.28125
1689955446.3463,2032,63519.19921875
1689955446.439785,2054,63970.14453125
1689955446.528799,2076,64421.08984375
1689955446.702049,2114,65199.9921875
1689955446.822529,2144,65814.9140625
1689955446.868887,2156,66060.8828125
1689955447.188391,2220,67372.71875
1689955447.205993,2224,67454.7109375
1689955447.3257768,2252,68028.640625
1689955447.384528,2266,68315.6015625
1689955447.5352619,2304,69094.5078125
1689955447.543824,2306,69135.5
1689955447.636945,2330,69627.4375
1689955447.716843,2350,70016.890625
1689955447.7335281,2354,70092.5703125
1689955447.799223,2370,70395.3046875
1689955448.073143,2438,71681.90625
1689955448.384384,2506,72968.5078125
1689955448.4009469,2510,73044.1953125
1689955448.4244401,2516,73157.71875
1689955448.455905,2524,73309.0859375
1689955448.502487,2536,73536.1328125
1689955448.532244,2544,73687.4921875
1689955448.957881,2652,75730.921875
1689955449.1097002,2692,76487.75
1689955449.337385,2752,77622.9921875
1689955449.345363,2754,77660.828125
1689955449.6847942,2836,79212.3203125
1689955450.015535,2916,80725.9765625
1689955450.024071,2918,80763.8125
1689955450.3183858,2990,82126.1015625
1689955450.40608,3006,82383.8203125
1689955450.490846,3022,82711.7734375
1689955450.5176268,3028,82834.7578125
1689955450.795082,3098,84269.578125
1689955450.817183,3104,84392.5703125
1689955450.944931,3132,84966.4921875
1689955450.967618,3138,85089.4765625
1689955451.1080031,3172,85786.390625
1689955451.199913,3194,86237.3359375
1689955451.443307,3256,87508.1796875
1689955451.504989,3272,87836.140625
1689955451.7953558,3342,89270.9609375
1689955451.912694,3372,89885.8828125
1689955452.0470028,3406,90582.796875
1689955452.062558,3410,90664.78125
1689955452.136079,3424,90951.75
1689955452.700196,3556,93657.4140625
1689955453.271038,3696,96527.0546875
1689955453.392918,3722,97059.984375
1689955453.448617,3736,97346.953125
1689955453.718583,3800,98658.7890625
1689955453.742539,3806,98781.7734375
1689955453.796897,3820,99068.734375
1689955454.055962,3882,100339.578125
1689955454.2296262,3922,102080.6875
1689955454.236992,3924,102205.578125
1689955454.392777,3960,104453.5
1689955455.1009998,4142,114291.9765625
1689955455.173747,4160,115415.9375
1689955455.249284,4180,116664.7890625
1689955455.3325791,4202,117954.6328125
1689955456.179656,4420,127372.5859375
1689955456.427702,4480,129860.78125
1689955457.089463,4640,139390.1875
1689955457.41631,4720,144385.578125
1689955457.723392,4790,148672.65625
1689955458.095926,4874,153917.828125
1689955458.143276,4884,154542.25
1689955458.266517,4910,156165.75
1689955458.340563,4926,157164.828125
1689955458.3659048,4932,157539.484375
1689955458.5374851,4972,160037.1875
1689955458.7103128,5008,161849.546875
1689955458.8559191,5036,162423.46875
1689955458.9734359,5062,162956.40625
1689955459.40332,5156,164883.15625
1689955459.411742,5158,164924.15625
1689955459.598251,5200,165785.046875
1689955459.822198,5256,166932.90625
1689955459.8836281,5272,167260.859375
1689955459.943847,5288,167588.828125
1689955460.264864,5370,169269.609375
1689955460.337922,5388,169638.5625
1689955460.4683049,5418,170253.484375
1689955460.545718,5436,170622.453125
1689955460.683917,5470,171319.359375
1689955460.729378,5482,171565.328125
1689955460.829493,5508,172098.265625
1689955460.836921,5510,172139.25
1689955460.844,5512,172180.25
1689955460.925719,5532,172590.203125
1689955460.952514,5538,172713.1875
1689955461.10432,5572,173410.09375
1689955461.354646,5626,174516.953125
1689955461.5638552,5670,175418.84375
1689955461.647862,5690,175828.796875
1689955461.8047879,5724,176525.703125
1689955462.346455,5844,178985.40625
1689955462.626938,5906,180256.25
1689955462.654429,5912,180379.234375
1689955462.722215,5926,180666.1875
1689955462.823256,5948,181117.140625
1689955463.3366988,6070,186553.984375
1689955463.765017,6168,192673.34375
1689955463.774245,6170,192798.21875
1689955463.946517,6208,195171.03125
1689955463.95574,6210,195295.921875
1689955463.9658828,6212,195420.8125
1689955464.096616,6242,197294.078125
1689955464.353374,6292,200416.203125
1689955464.5747368,6348,203912.984375
1689955464.728207,6386,206285.796875
1689955464.7914948,6400,207159.984375
1689955464.967885,6436,209407.921875
1689955464.9893272,6442,209782.578125
1689955465.147074,6484,212405.15625
1689955465.35187,6532,215402.390625
1689955465.378207,6538,215777.046875
1689955465.7055519,6614,220522.671875
1689955465.993431,6682,224768.765625
1689955466.1157491,6714,226766.921875
1689955466.5243351,6810,232761.390625
1689955466.9831371,6924,239879.84375
1689955467.1497998,6968,242627.296875
1689955467.158164,6970,242752.1875
1689955467.211626,6984,243626.390625
1689955467.282998,7002,244550.3125
1689955467.502793,7054,247797.328125
1689955467.81477,7134,252792.71875
1689955467.837582,7140,253167.375
1689955468.078474,7202,257038.8125
1689955468.221663,7234,259036.96875
1689955468.558721,7310,263782.59375
