Wall time,Step,Value
1689957230.151448,38,-11465.708984375
1689957230.417448,96,-9249.966796875
1689957230.554355,126,-8145.4462890625
1689957230.563474,128,-8084.048828125
1689957230.796031,180,-6694.34130859375
1689957230.921978,208,-6079.55810546875
1689957230.9579341,216,-5902.8828125
1689957231.148267,258,-4968.08740234375
1689957231.477824,330,-3344.424560546875
1689957231.551539,346,-2978.049072265625
1689957231.724166,384,-2102.127197265625
1689957231.832951,408,-1544.9593505859375
1689957232.2255301,490,379.02899169921875
1689957232.361069,520,1093.47802734375
1689957232.571656,566,2564.30078125
1689957232.599175,572,2850.863037109375
1689957232.911677,640,4809.0390625
1689957233.345056,734,7845.89599609375
1689957233.529061,774,8834.65234375
1689957233.676179,806,9836.208984375
1689957233.795927,832,10531.658203125
1689957233.999588,876,11449.1982421875
1689957234.2579231,932,12637.1318359375
1689957234.34834,952,13067.28515625
1689957234.404706,964,13375.4794921875
1689957234.668043,1022,14789.158203125
1689957234.875514,1068,15890.7431640625
1689957234.920959,1078,16180.013671875
1689957234.9391701,1082,16295.1162109375
1689957235.08737,1114,16881.96484375
1689957235.1429498,1126,17169.00390625
1689957235.438286,1190,17742.185546875
1689957235.456563,1194,17742.884765625
1689957235.8241851,1276,18141.267578125
1689957235.878483,1288,18365.51171875
1689957235.887508,1290,18413.375
1689957236.013556,1318,-13832.9111328125
1689957236.1667771,1352,-74489.0546875
1689957236.5846488,1444,-133674.671875
1689957236.926517,1530,-132056.84375
1689957237.0127292,1552,-131706.25
1689957237.24176,1610,-130787.484375
1689957237.66172,1716,-129144.7890625
1689957237.732142,1734,-128861.4609375
1689957237.888895,1774,-128193.265625
1689957238.324197,1886,-126115.359375
1689957238.769313,2000,-124064.6875
1689957238.8962219,2032,-123540.078125
1689957238.982272,2054,-123215.5546875
1689957239.0695791,2076,-122898.296875
1689957239.2206159,2114,-122358.953125
1689957239.338855,2144,-121930.0546875
1689957239.387132,2156,-121771.296875
1689957239.6377752,2220,-120914.1171875
1689957239.653769,2224,-120860.015625
1689957239.7653031,2252,-120476.1484375
1689957239.8201752,2266,-120279.609375
1689957239.967579,2304,-119664.1015625
1689957239.975287,2306,-119626.2890625
1689957240.071349,2330,-119205.953125
1689957240.151018,2350,-118832.09375
1689957240.166982,2354,-118756.3359375
1689957240.230237,2370,-118463.1015625
1689957240.4995992,2438,-117168.015625
1689957240.7709491,2506,-115829.4453125
1689957240.786803,2510,-115756.5078125
1689957240.810443,2516,-115649.65625
1689957240.841589,2524,-115510.1875
1689957240.8883479,2536,-115307.4140625
1689957240.9195,2544,-115174.078125
1689957241.344535,2652,-113195.4921875
1689957241.501338,2692,-112585.7109375
1689957241.737479,2752,-111648.0625
1689957241.745567,2754,-111614.8203125
1689957242.07147,2836,-110163.796875
1689957242.414204,2916,-108661.046875
1689957242.4233332,2918,-108621.640625
1689957242.752982,2990,-107159.9765625
1689957242.825482,3006,-106839.8125
1689957242.898047,3022,-106499.7421875
1689957242.925271,3028,-106371.1796875
1689957243.249114,3098,-104728.2109375
1689957243.277109,3104,-104551.2734375
1689957243.4080482,3132,-103908.4609375
1689957243.435349,3138,-103770.171875
1689957243.589685,3172,-102944.375
1689957243.689409,3194,-102423.1953125
1689957243.970054,3256,-100922.328125
1689957244.043544,3272,-100527.8203125
1689957244.370153,3342,-98750.9375
1689957244.510923,3372,-97976.53125
1689957244.671465,3406,-97099.359375
1689957244.6902149,3410,-96995.625
1689957244.755359,3424,-96631.75
1689957245.370377,3556,-93154.703125
1689957246.01953,3696,-89310.125
1689957246.1398451,3722,-88624.40625
1689957246.204928,3736,-88256.3359375
1689957246.503917,3800,-86586.9453125
1689957246.531447,3806,-86431.75
1689957246.596023,3820,-86070.625
1689957246.8856819,3882,-84509.5390625
1689957247.072304,3922,-83454.5234375
1689957247.081606,3924,-83404.90625
1689957247.2474308,3960,-82519.2109375
1689957248.162308,4142,-78315.71875
1689957248.2439082,4160,-77923.09375
1689957248.334055,4180,-77492.671875
1689957248.43775,4202,-77026.3828125
1689957249.38082,4420,-72763.125
1689957249.6176372,4480,-71780.078125
1689957250.265002,4640,-69150.5
1689957250.582297,4720,-67794.5078125
1689957250.8529558,4790,-66423.3359375
1689957251.1779819,4874,-64878.546875
1689957251.2187352,4884,-64694.2734375
1689957251.3193269,4910,-64258.94921875
1689957251.38288,4926,-64019.49609375
1689957251.406454,4932,-63932.4921875
1689957251.560834,4972,-63326.62890625
1689957251.7034628,5008,-62818.453125
1689957251.814858,5036,-62447.3671875
1689957251.918266,5062,-62103.390625
1689957252.291979,5156,-60816.68359375
1689957252.299922,5158,-60787.296875
1689957252.466021,5200,-60105.41796875
1689957252.688712,5256,-59143.29296875
1689957252.750656,5272,-58869.6328125
1689957252.8123362,5288,-58561.86328125
1689957253.1339579,5370,-56941.9921875
1689957253.205411,5388,-56606.66796875
1689957253.3232582,5418,-56087.30078125
1689957253.395471,5436,-55787.2421875
1689957253.5308428,5470,-55224.15234375
1689957253.578611,5482,-55036.6171875
1689957253.681778,5508,-54634.04296875
1689957253.6897202,5510,-54606.04296875
1689957253.6976728,5512,-54578.04296875
1689957253.7771,5532,-54294.62890625
1689957253.8009548,5538,-54205.55078125
1689957253.93631,5572,-53684.8984375
1689957254.147771,5626,-52801.421875
1689957254.318521,5670,-52102.91015625
1689957254.397909,5690,-51721.75390625
1689957254.531261,5724,-51087.01953125
1689957255.07323,5844,-48729.3828125
1689957255.4086459,5906,-47380.2890625
1689957255.4364889,5912,-47251.3671875
1689957255.501419,5926,-46948.3984375
1689957255.604527,5948,-46466.28125
1689957256.172148,6070,-43602.7890625
1689957256.6283252,6168,-41218.8203125
1689957256.637581,6170,-41168.98046875
1689957256.814313,6208,-40191.0625
1689957256.823657,6210,-40140.4453125
1689957256.833154,6212,-40089.79296875
1689957256.973278,6242,-39325.80078125
1689957257.203439,6292,-37953.671875
1689957257.466309,6348,-36640.29296875
1689957257.664618,6386,-35638.91015625
1689957257.729344,6400,-35268.6640625
1689957257.8925061,6436,-34314.26171875
1689957257.9196732,6442,-34154.953125
1689957258.1117802,6484,-33041.40625
1689957258.334357,6532,-31807.59375
1689957258.3627431,6538,-31648.412109375
1689957258.716735,6614,-29631.58203125
1689957259.0307682,6682,-27835.90234375
1689957259.1774988,6714,-27010.11328125
1689957259.619946,6810,-24580.26171875
1689957260.1471748,6924,-21883.205078125
1689957260.348755,6968,-20868.998046875
1689957260.358464,6970,-20823.54296875
1689957260.424447,6984,-20506.953125
1689957260.508288,7002,-20104.095703125
1689957260.750426,7054,-18967.498046875
1689957261.121663,7134,-17300.982421875
1689957261.149481,7140,-17180.11328125
1689957261.433275,7202,-15955.4033203125
1689957261.566302,7234,-15312.1015625
1689957261.870959,7310,-13932.7548828125
1689957261.894976,7316,-13839.6669921875
1689957261.910687,7320,-13776.1533203125
1689957261.926369,7324,-13711.478515625
1689957261.9499068,7330,-13612.390625
1689957261.9812732,7338,-13482.4462890625
1689957262.004812,7344,-13388.4541015625
1689957262.1543748,7382,-19114.458984375
1689957262.328188,7426,-38953.28125
1689957262.720672,7524,-37197.24609375
1689957262.8860018,7566,-49253.2890625
1689957263.401658,7698,-57638.765625
1689957263.417747,7702,-57565.69140625
1689957263.568853,7740,-56879.578125
1689957263.828192,7806,-55405.92578125
1689957263.898933,7824,-57374.921875
1689957263.929995,7832,-57218.11328125
1689957263.9766002,7844,-56064.70703125
1689957264.0698318,7868,-55863.61328125
1689957264.093087,7874,-55677.8515625
1689957264.400348,7952,-53809.0546875
1689957264.687456,8026,-54283.69921875
1689957264.70308,8030,-55958.08984375
1689957264.773555,8048,-56827.21875
1689957264.860258,8070,-56257.51171875
1689957264.907122,8082,-56339.56640625
1689957264.961486,8096,-57365.7421875
1689957265.273904,8170,-62193.90625
1689957265.472364,8220,-60928.875
1689957265.519986,8232,-67767.6953125
1689957265.5673301,8244,-67733.5078125
1689957265.591189,8250,-67614.3828125
1689957265.763388,8294,-66594.421875
1689957266.058466,8364,-65178.859375
1689957266.1455722,8386,-64634.22265625
1689957266.422791,8456,-63281.953125
1689957266.6534731,8516,-62063.60546875
1689957267.1342778,8638,-59476.0
1689957267.2251232,8658,-59022.89453125
1689957267.833601,8792,-56321.79296875
1689957268.2572842,8888,-54220.60546875
1689957268.356508,8910,-53685.11328125
1689957269.0051851,9052,-50086.30078125
1689957269.0958788,9072,-49875.80078125
1689957269.132769,9080,-49633.671875
1689957269.3593569,9130,-49106.7421875
1689957269.7700841,9220,-46345.63671875
1689957269.797324,9226,-46151.97265625
1689957270.13953,9300,-43726.74609375
1689957270.478879,9374,-41299.86328125
1689957270.514933,9382,-41036.6484375
1689957270.532989,9386,-40905.07421875
1689957270.5870788,9398,-40654.92578125
1689957270.668124,9416,-40087.890625
1689957270.8797162,9462,-38583.671875
1689957270.942466,9476,-38128.4140625
1689957271.2948449,9554,-35625.34765625
