Wall time,Step,Value
1689959337.870058,38,-16700.70703125
1689959338.145283,96,-15668.029296875
1689959338.324255,126,-15117.0703125
1689959338.336103,128,-15074.7783203125
1689959338.606464,180,-13953.4111328125
1689959338.732697,208,-13371.5869140625
1689959338.768964,216,-13192.0908203125
1689959338.994088,258,-12257.390625
1689959339.3231611,330,-10647.216796875
1689959339.3950238,346,-10261.1669921875
1689959339.563819,384,-9387.4482421875
1689959339.669515,408,-8792.576171875
1689959340.032396,490,-6717.86083984375
1689959340.1652648,520,-5936.900390625
1689959340.368267,566,-4808.3837890625
1689959340.396001,572,-4672.025390625
1689959340.693165,640,-2901.33642578125
1689959341.145886,734,-370.8655700683594
1689959341.322749,774,691.5526123046875
1689959341.465804,806,1539.4105224609375
1689959341.579247,832,2241.477294921875
1689959341.770875,876,3454.334228515625
1689959342.016994,932,4968.15087890625
1689959342.105115,952,5482.68603515625
1689959342.158092,964,5789.90869140625
1689959342.4115698,1022,7226.20458984375
1689959342.6124039,1068,8333.716796875
1689959342.657096,1078,8578.5166015625
1689959342.674829,1082,8676.1171875
1689959342.8169549,1114,9424.6103515625
1689959342.870305,1126,9711.6494140625
1689959343.1531892,1190,11248.35546875
1689959343.170936,1194,11340.2197265625
1689959343.5232,1276,13128.736328125
1689959343.576451,1288,13388.4560546875
1689959343.585304,1290,13431.5283203125
1689959343.70902,1318,14028.009765625
1689959343.856305,1352,14735.72265625
1689959344.2682822,1444,16557.45703125
1689959344.610376,1530,18213.544921875
1689959344.695182,1552,18559.171875
1689959344.9182348,1610,19471.431640625
1689959345.322001,1716,21084.625
1689959345.3915179,1734,21367.95703125
1689959345.5447419,1774,22032.708984375
1689959345.9754188,1886,24124.001953125
1689959346.471395,2000,26261.57421875
1689959346.6132329,2032,26776.291015625
1689959346.696553,2054,27100.81640625
1689959346.7793322,2076,27408.6015625
1689959346.9232461,2114,27938.01953125
1689959347.040915,2144,28358.484375
1689959347.086137,2156,28517.240234375
1689959347.326633,2220,29368.966796875
1689959347.3416488,2224,29423.06640625
1689959347.449712,2252,29806.931640625
1689959347.502723,2266,30003.474609375
1689959347.647367,2304,30606.458984375
1689959347.654996,2306,30644.275390625
1689959347.746839,2330,31064.609375
1689959347.823583,2350,31438.46875
1689959347.839156,2354,31514.224609375
1689959347.901441,2370,31807.4609375
1689959348.1649458,2438,33103.6796875
1689959348.427937,2506,34442.25
1689959348.442958,2510,34514.5859375
1689959348.465508,2516,34621.4375
1689959348.495594,2524,34760.90625
1689959348.540669,2536,34963.68359375
1689959348.57182,2544,35097.01953125
1689959348.993633,2652,37064.37890625
1689959349.147576,2692,37674.16015625
1689959349.3795688,2752,38604.42578125
1689959349.387551,2754,38637.66796875
1689959349.6995468,2836,40088.6875
1689959350.018413,2916,41591.4375
1689959350.026966,2918,41630.84375
1689959350.3379579,2990,43092.51171875
1689959350.4090219,3006,43428.56640625
1689959350.478357,3022,43768.640625
1689959350.5043688,3028,43897.1953125
1689959350.810633,3098,45540.171875
1689959350.837236,3104,45717.10546875
1689959350.961211,3132,46359.921875
1689959350.987775,3138,46498.2109375
