Wall time,Step,Value
1689961159.954417,38,-3439.641357421875
1689961160.186322,96,-2261.5009765625
1689961160.3068721,126,-1925.28173828125
1689961160.315032,128,-1904.3330078125
1689961160.525711,180,-491.8356628417969
1689961160.637184,208,-332.5169677734375
1689961160.669368,216,-295.2690124511719
1689961160.841046,258,898.1187744140625
1689961161.1352372,330,3161.446533203125
1689961161.200695,346,3677.0673828125
1689961161.356637,384,4914.82275390625
1689961161.4553118,408,5705.5625
1689961161.790387,490,8453.53515625
1689961161.911343,520,9482.90625
1689961162.098151,566,10985.7216796875
1689961162.1232278,572,11169.865234375
1689961162.397886,640,13503.6669921875
1689961162.77498,734,16859.224609375
1689961162.938747,774,18254.87890625
1689961163.069605,806,19369.12890625
1689961163.175839,832,20288.8984375
1689961163.3557692,876,21872.544921875
1689961163.604695,932,23855.421875
1689961163.684864,952,24534.978515625
1689961163.7327402,964,24941.072265625
1689961163.9664671,1022,27465.25390625
1689961164.148404,1068,29916.4375
1689961164.189384,1078,30481.287109375
1689961164.2058282,1082,30705.638671875
1689961164.3364549,1114,32339.6875
1689961164.385338,1126,32984.06640625
1689961164.6448781,1190,36449.77734375
1689961164.661243,1194,36645.59375
1689961164.986542,1276,40180.3828125
1689961165.054878,1288,40688.84765625
1689961165.062863,1290,40772.5234375
1689961165.174981,1318,41911.51953125
1689961165.3109992,1352,43212.06640625
1689961165.6839108,1444,46267.2421875
1689961165.9977741,1530,48608.90625
1689961166.077019,1552,48985.34765625
1689961166.2911942,1610,49706.31640625
1689961166.683831,1716,51063.13671875
1689961166.748513,1734,51201.13671875
1689961166.895948,1774,51507.8046875
1689961167.311438,1886,52525.68359375
1689961167.7321348,2000,54008.41015625
1689961167.84743,2032,54736.79296875
1689961167.927854,2054,55237.5546875
1689961168.0084732,2076,55738.31640625
1689961168.14704,2114,56620.35546875
1689961168.2550101,2144,57322.1796875
1689961168.2981791,2156,57585.58984375
1689961168.532425,2220,59000.8671875
1689961168.54685,2224,59091.1171875
1689961168.647939,2252,59727.88671875
1689961168.698688,2266,60046.5546875
1689961168.839529,2304,60911.50390625
1689961168.8469162,2306,60957.03125
1689961168.934886,2330,61502.9609375
1689961169.008969,2350,61958.19921875
1689961169.023714,2354,62049.24609375
1689961169.0812402,2370,62413.4375
1689961169.328017,2438,63916.96484375
1689961169.579843,2506,65183.375
1689961169.59445,2510,65259.4765625
1689961169.6163871,2516,65383.96484375
1689961169.645637,2524,65569.515625
1689961169.689489,2536,65808.9609375
1689961169.71903,2544,65953.03125
1689961170.116265,2652,68566.328125
1689961170.264815,2692,69530.140625
1689961170.488344,2752,71027.4609375
1689961170.495739,2754,71078.9453125
1689961170.802856,2836,73142.84375
1689961171.1097019,2916,75212.3515625
1689961171.1178722,2918,75267.1015625
1689961171.414335,2990,77285.4765625
1689961171.479411,3006,77810.4765625
1689961171.5443468,3022,78457.484375
1689961171.5692868,3028,78705.2265625
1689961171.84831,3098,82326.5234375
1689961171.872731,3104,82814.9609375
1689961171.987454,3132,84184.4765625
1689961172.012033,3138,84480.6484375
1689961172.151482,3172,86368.6640625
1689961172.241638,3194,87524.8671875
1689961172.4971259,3256,90942.8984375
1689961172.5616372,3272,91860.734375
1689961172.840217,3342,96129.4921875
1689961172.959381,3372,98023.1015625
1689961173.0961652,3406,100166.7265625
1689961173.112044,3410,100421.578125
