Wall time,Step,Value
1689965346.308198,38,-5115.48046875
1689965346.5672572,96,-3944.473876953125
1689965346.6894479,126,-3317.65771484375
1689965346.6975842,128,-3275.364990234375
1689965346.909914,180,-2153.998046875
1689965347.034764,208,-1533.2008056640625
1689965347.069624,216,-1353.7047119140625
1689965347.278763,258,-396.2906799316406
1689965347.600014,330,1288.9410400390625
1689965347.667985,346,1674.9906005859375
1689965347.820341,384,2603.865478515625
1689965347.918475,408,3198.737060546875
1689965348.255258,490,5273.45263671875
1689965348.3784692,520,6054.4130859375
1689965348.5664032,566,7182.9296875
1689965348.590917,572,7319.28759765625
1689965348.871934,640,9089.9765625
1689965349.256567,734,11655.8125
1689965349.418412,774,12718.23046875
1689965349.548846,806,13566.0888671875
1689965349.6588318,832,14268.1552734375
1689965349.8381922,876,15481.01171875
1689965350.0897028,932,16994.828125
1689965350.17137,952,17509.36328125
1689965350.220116,964,17816.5859375
1689965350.4604301,1022,19283.798828125
1689965350.6493492,1068,20391.310546875
1689965350.690778,1078,20636.111328125
1689965350.7073689,1082,20733.7109375
1689965350.839988,1114,21482.205078125
1689965350.889675,1126,21769.2421875
1689965351.15395,1190,23305.94921875
1689965351.171013,1194,23397.814453125
1689965351.5015838,1276,25186.330078125
1689965351.550414,1288,25446.05078125
1689965351.558891,1290,25489.12109375
1689965351.675222,1318,26085.603515625
1689965351.8162172,1352,26793.31640625
1689965352.220665,1444,28615.05078125
1689965352.600899,1530,30271.138671875
1689965352.682285,1552,30616.765625
1689965352.896841,1610,31529.025390625
1689965353.291679,1716,33142.21875
1689965353.358779,1734,33425.55078125
1689965353.509074,1774,34090.30078125
1689965353.925044,1886,36181.59375
1689965354.353528,2000,38319.16796875
1689965354.471921,2032,38832.1171875
1689965354.552973,2054,39156.64453125
1689965354.634897,2076,39464.4296875
1689965354.775121,2114,39993.84765625
1689965354.885447,2144,40414.3125
1689965354.929684,2156,40573.06640625
1689965355.166678,2220,41424.79296875
1689965355.181597,2224,41478.89453125
1689965355.285769,2252,41862.7578125
1689965355.337861,2266,42059.30078125
1689965355.4793248,2304,42662.2890625
1689965355.486686,2306,42700.10546875
1689965355.5766678,2330,43120.4375
1689965355.672318,2350,43494.296875
1689965355.687068,2354,43570.05078125
1689965355.746736,2370,43863.2890625
1689965356.00177,2438,45159.5078125
1689965356.257909,2506,46498.078125
1689965356.272941,2510,46570.4140625
1689965356.295549,2516,46677.265625
1689965356.3256588,2524,46816.734375
1689965356.3707771,2536,47019.51171875
1689965356.400914,2544,47152.84765625
1689965356.8047621,2652,49120.20703125
1689965356.951616,2692,49729.98828125
1689965357.250595,2752,50660.25390625
1689965357.258101,2754,50693.49609375
1689965357.564251,2836,52144.515625
1689965357.912724,2916,53647.265625
1689965357.920834,2918,53686.671875
1689965358.2096372,2990,55148.3359375
1689965358.275671,3006,55484.39453125
1689965358.341221,3022,55824.46875
1689965358.3655648,3028,55953.0234375
1689965358.651847,3098,57595.99609375
1689965358.675732,3104,57772.93359375
1689965358.7878559,3132,58415.75
1689965358.812289,3138,58554.0390625
1689965358.9489322,3172,59379.83203125
1689965359.037985,3194,59901.01171875
1689965359.287533,3256,61401.8828125
1689965359.351966,3272,61796.390625
1689965359.635165,3342,63573.265625
1689965359.756135,3372,64347.6796875
1689965359.894277,3406,65224.84765625
1689965359.910521,3410,65328.58203125
1689965359.9674811,3424,65692.453125
1689965360.5029278,3556,69169.5
1689965361.06781,3696,73014.078125
1689965361.172224,3722,73699.796875
1689965361.228456,3736,74067.875
1689965361.4860952,3800,75737.265625
1689965361.510577,3806,75892.4609375
1689965361.567992,3820,76253.578125
1689965361.817707,3882,77814.671875
1689965361.9790301,3922,78869.6796875
1689965361.987318,3924,78919.296875
1689965362.137665,3960,79804.9921875
1689965362.877486,4142,83982.296875
1689965362.9516869,4160,84374.921875
1689965363.03308,4180,84805.34375
1689965363.121578,4202,85271.6328125
1689965363.985607,4420,89534.890625
1689965364.207219,4480,90517.9375
1689965364.809741,4640,93147.515625
1689965365.108499,4720,94503.5078125
1689965365.3704169,4790,95874.6796875
1689965365.6835442,4874,97419.46875
1689965365.721505,4884,97603.7421875
1689965365.8171241,4910,98039.0625
1689965365.876775,4926,98278.515625
1689965365.899436,4932,98365.5234375
1689965366.047072,4972,98971.3828125
1689965366.180062,5008,99474.1953125
1689965366.282588,5036,99845.28125
1689965366.377686,5062,100189.2578125
1689965366.7269409,5156,101475.96875
1689965366.734347,5158,101505.3515625
1689965366.890961,5200,102187.234375
1689965367.0977159,5256,103149.359375
1689965367.156802,5272,103423.015625
1689965367.217163,5288,103730.7890625
1689965367.5229151,5370,105350.65625
1689965367.591317,5388,105685.984375
1689965367.7032478,5418,106205.3515625
1689965367.77112,5436,106505.40625
1689965367.899192,5470,107068.5
1689965367.944354,5482,107256.03125
1689965368.040289,5508,107658.609375
1689965368.047526,5510,107686.609375
1689965368.0549812,5512,107714.609375
1689965368.1285279,5532,107998.0234375
1689965368.150338,5538,108087.1015625
1689965368.273677,5572,108607.75
1689965368.471613,5626,109491.2265625
1689965368.6355178,5670,110189.7421875
1689965368.7088902,5690,110570.8984375
1689965368.8350809,5724,111205.6328125
1689965369.312169,5844,113563.265625
1689965369.566473,5906,114896.078125
1689965369.5905879,5912,115025.0
1689965369.646409,5926,115327.96875
1689965369.734174,5948,115810.0859375
1689965370.2359838,6070,118695.9296875
1689965370.64017,6168,121079.8984375
1689965370.648233,6170,121129.7421875
1689965370.800856,6208,122107.65625
1689965370.808896,6210,122158.2734375
1689965370.816949,6212,122208.9296875
1689965370.940196,6242,122972.921875
1689965371.143908,6292,124345.046875
1689965371.371605,6348,125658.4296875
1689965371.5260391,6386,126659.8125
1689965371.583977,6400,127030.0546875
1689965371.731023,6436,127984.4609375
1689965371.755884,6442,128143.765625
1689965371.929437,6484,129257.3125
1689965372.1243362,6532,130491.125
1689965372.149149,6538,130650.3125
1689965372.459795,6614,132667.140625
