Wall time,Step,Value
1689967446.605503,38,-8593.0810546875
1689967446.837641,96,-22352.869140625
1689967446.958115,126,-21742.234375
1689967446.966435,128,-21699.94140625
1689967447.179281,180,-20648.3046875
1689967447.294633,208,-20027.505859375
1689967447.327441,216,-19848.009765625
1689967447.5005271,258,-18912.03515625
1689967447.809108,330,-17250.654296875
1689967447.8776991,346,-16891.5859375
1689967448.039659,384,-15962.7109375
1689967448.138507,408,-15367.83984375
1689967448.481371,490,-13293.1240234375
1689967448.604788,520,-12512.1640625
1689967448.7945302,566,-11383.6474609375
1689967448.819082,572,-11247.2890625
1689967449.0987132,640,-9511.923828125
1689967449.4847748,734,-6946.087890625
1689967449.6507268,774,-5883.669921875
1689967449.781806,806,-5035.81201171875
1689967449.8886,832,-4333.7451171875
1689967450.0912828,876,-3120.88818359375
1689967450.321882,932,-1607.0714111328125
1689967450.404534,952,-1092.536376953125
1689967450.453907,964,-785.3135375976562
1689967450.691283,1022,681.898193359375
1689967450.875901,1068,1789.41015625
1689967450.9164789,1078,2034.21044921875
1689967450.932686,1082,2131.81103515625
1689967451.065761,1114,2880.303955078125
1689967451.114354,1126,3167.3427734375
1689967451.377873,1190,4704.04833984375
1689967451.394497,1194,4795.91357421875
1689967451.727308,1276,6584.42919921875
1689967451.77707,1288,6844.14990234375
1689967451.785337,1290,6887.2216796875
1689967451.901429,1318,7483.703125
1689967452.0421739,1352,8191.41650390625
1689967452.4168189,1444,10013.150390625
1689967452.741993,1530,11669.2392578125
1689967452.824832,1552,12014.865234375
1689967453.0431628,1610,12927.1259765625
1689967453.4410722,1716,14540.3173828125
1689967453.5079198,1734,14823.6494140625
1689967453.657957,1774,15488.4013671875
1689967454.077398,1886,17579.6953125
1689967454.5039842,2000,19717.267578125
1689967454.624141,2032,20230.21875
1689967454.705297,2054,20554.7421875
1689967454.78618,2076,20862.529296875
1689967454.925963,2114,21391.947265625
1689967455.039327,2144,21812.41015625
1689967455.0836842,2156,21971.166015625
1689967455.323067,2220,22822.892578125
1689967455.338034,2224,22876.994140625
1689967455.4431071,2252,23260.857421875
1689967455.496074,2266,23457.40234375
1689967455.6416059,2304,24060.38671875
1689967455.649132,2306,24098.203125
1689967455.7395031,2330,24518.537109375
1689967455.814503,2350,24892.396484375
1689967455.829488,2354,24968.15234375
1689967455.889628,2370,25261.388671875
1689967456.146168,2438,26557.607421875
1689967456.400764,2506,27896.177734375
1689967456.415448,2510,27968.513671875
1689967456.437494,2516,28075.36328125
1689967456.4669068,2524,28214.8359375
1689967456.511528,2536,28417.611328125
1689967456.541941,2544,28550.9453125
1689967456.945229,2652,30518.306640625
1689967457.175402,2692,31128.0859375
1689967457.4019141,2752,32058.353515625
1689967457.409457,2754,32091.59375
1689967457.717003,2836,33542.6171875
1689967458.0284102,2916,35045.3671875
1689967458.036473,2918,35084.7734375
1689967458.327106,2990,36546.4375
1689967458.3927438,3006,36866.6015625
1689967458.459129,3022,37206.67578125
1689967458.483988,3028,37335.23046875
1689967458.7678301,3098,38978.203125
1689967458.792091,3104,39155.140625
1689967458.905787,3132,39797.953125
1689967458.930089,3138,39936.2421875
1689967459.0692701,3172,40762.0390625
1689967459.159671,3194,41283.21875
1689967459.413546,3256,42784.08984375
1689967459.48079,3272,43178.59765625
1689967459.770874,3342,44955.47265625
1689967459.895134,3372,45729.88671875
1689967460.0360231,3406,46607.0546875
1689967460.0525901,3410,46710.78515625
1689967460.1110358,3424,47074.66015625
1689967460.648863,3556,50551.7109375
1689967461.222093,3696,54396.28515625
1689967461.327301,3722,55082.00390625
1689967461.383859,3736,55450.08203125
1689967461.643302,3800,57119.46875
1689967461.667617,3806,57274.6640625
1689967461.724292,3820,57635.7890625
1689967461.978508,3882,59196.875
1689967462.14362,3922,60251.88671875
1689967462.1519208,3924,60301.50390625
1689967462.300822,3960,61187.19921875
1689967463.043173,4142,65364.50390625
1689967463.116856,4160,65757.125
1689967463.1983302,4180,66187.546875
1689967463.288866,4202,66653.8359375
1689967464.1485481,4420,70917.1015625
1689967464.375211,4480,71900.140625
1689967464.980853,4640,74529.71875
1689967465.279018,4720,75885.7109375
1689967465.540822,4790,77256.8828125
1689967465.850373,4874,78801.671875
1689967465.888264,4884,78985.953125
1689967465.984386,4910,79421.2734375
1689967466.043262,4926,79660.7265625
1689967466.065747,4932,79747.734375
1689967466.2169,4972,80353.59375
1689967466.3502579,5008,80861.765625
1689967466.454613,5036,81232.8515625
1689967466.553727,5062,81576.828125
1689967466.910193,5156,82863.5390625
1689967466.917755,5158,82892.921875
1689967467.076662,5200,83574.8046875
1689967467.2878652,5256,84536.9296875
1689967467.347716,5272,84810.5859375
1689967467.407552,5288,85118.359375
1689967467.718049,5370,86738.2265625
1689967467.7861671,5388,87073.5546875
1689967467.899143,5418,87592.921875
1689967467.9673212,5436,87892.9765625
1689967468.0953941,5470,88456.0703125
1689967468.139511,5482,88643.6015625
1689967468.235865,5508,89046.1796875
1689967468.243229,5510,89074.1796875
1689967468.250605,5512,89102.1796875
1689967468.324214,5532,89385.59375
1689967468.346323,5538,89474.671875
1689967468.472045,5572,89995.3203125
1689967468.6736798,5626,90878.796875
1689967468.839527,5670,91577.3125
1689967468.915092,5690,91958.46875
1689967469.044362,5724,92593.203125
1689967469.5231922,5844,94950.8359375
1689967469.7745888,5906,96299.9296875
1689967469.798795,5912,96428.8515625
1689967469.855194,5926,96731.8203125
1689967469.944726,5948,97213.9375
1689967470.44298,6070,100099.7890625
1689967470.8387048,6168,102483.7578125
1689967470.846761,6170,102533.59375
1689967471.0006888,6208,103511.515625
1689967471.008988,6210,103562.1328125
1689967471.0173051,6212,103612.78125
1689967471.141907,6242,104376.7734375
1689967471.343642,6292,105748.90625
1689967471.570185,6348,107062.28125
1689967471.728288,6386,108063.6640625
1689967471.785944,6400,108433.9140625
1689967471.934866,6436,109388.3125
1689967471.960366,6442,109547.625
1689967472.210716,6484,110661.171875
1689967472.4105659,6532,111894.984375
1689967472.435421,6538,112054.1640625
1689967472.746548,6614,114070.9921875
1689967473.026966,6682,115866.671875
1689967473.158688,6714,116692.4609375
1689967473.5567858,6810,119122.3125
1689967474.026335,6924,121819.3671875
1689967474.204399,6968,122833.578125
1689967474.212702,6970,122879.03125
1689967474.270816,6984,123195.625
1689967474.3453739,7002,123578.1796875
1689967474.560828,7054,124714.78125
1689967474.884383,7134,126381.296875
1689967474.908536,7140,126502.1640625
1689967475.1568372,7202,127726.875
1689967475.280024,7234,128370.1796875
1689967475.5685692,7310,129749.5234375
1689967475.591637,7316,129842.609375
1689967475.606718,7320,129906.125
1689967475.621773,7324,129970.796875
1689967475.644396,7330,130069.890625
1689967475.6745138,7338,130199.828125
1689967475.69712,7344,130293.8203125
1689967475.839149,7382,130876.53125
1689967476.001167,7426,131549.5
1689967476.367611,7524,126955.078125
1689967476.525076,7566,109432.578125
1689967477.016117,7698,105983.2890625
1689967477.0311759,7702,106057.53125
1689967477.173423,7740,106733.3125
1689967477.420668,7806,108255.203125
1689967477.488209,7824,108762.6015625
1689967477.518204,7832,108018.8125
1689967477.563193,7844,107997.34375
1689967477.651465,7868,108537.8828125
1689967477.6733062,7874,108714.7578125
1689967477.960565,7952,110357.5703125
1689967478.238909,8026,112020.125
1689967478.253952,8030,112137.7890625
1689967478.321624,8048,112682.984375
1689967478.403917,8070,113268.0
1689967478.448981,8082,113601.515625
1689967478.501566,8096,113985.3828125
1689967478.773376,8170,115537.7734375
1689967478.958355,8220,109881.4453125
1689967479.003504,8232,106230.4765625
1689967479.048506,8244,107028.3046875
1689967479.0710468,8250,106564.265625
1689967479.2355819,8294,107710.6171875
1689967479.493024,8364,109151.8984375
1689967479.5755231,8386,105234.65625
1689967479.841333,8456,37852.39453125
1689967480.0896268,8516,26432.841796875
1689967480.55539,8638,-1761.9910888671875
1689967480.639412,8658,-1377.412109375
1689967481.190161,8792,1292.4625244140625
1689967481.5821571,8888,3372.064453125
1689967481.671424,8910,3880.289306640625
1689967482.254238,9052,7310.4873046875
1689967482.33509,9072,7811.50146484375
1689967482.367321,9080,8012.99560546875
1689967482.569518,9130,9285.3212890625
1689967482.938829,9220,11444.3544921875
1689967482.96283,9226,11601.8427734375
1689967483.261229,9300,13563.5458984375
1689967483.5632482,9374,15526.1220703125
1689967483.596461,9382,15738.7412109375
1689967483.612512,9386,15845.033203125
1689967483.660526,9398,16087.6240234375
1689967483.732585,9416,16552.72265625
1689967483.9163551,9462,17770.38671875
1689967483.973512,9476,18139.63671875
1689967484.2944,9554,19675.43359375
1689967484.302547,9556,19660.494140625
1689967484.547673,9616,20441.306640625
1689967484.732748,9662,21571.919921875
1689967484.748727,9666,21669.900390625
1689967484.77273,9672,21847.373046875
1689967484.780745,9674,21906.44921875
1689967484.8461928,9690,22303.5859375
1689967485.157912,9766,24213.626953125
1689967485.384952,9822,25503.48828125
1689967485.538782,9860,26403.859375
