Wall time,Step,Value
1689969861.694627,38,-7560.5615234375
1689969861.916203,96,-6403.169921875
1689969862.029572,126,-5776.35400390625
1689969862.0372071,128,-5734.0615234375
1689969862.233814,180,-4612.6943359375
1689969862.339234,208,-4011.70556640625
1689969862.369175,216,-3832.20947265625
1689969862.526834,258,-2874.79541015625
1689969862.8016388,330,-1213.6563720703125
1689969862.863749,346,-827.6068115234375
1689969863.007696,384,101.26799774169922
1689969863.098002,408,696.1395874023438
1689969863.410996,490,2770.855224609375
1689969863.524447,520,3551.815673828125
1689969863.699199,566,4680.33203125
1689969863.7221298,572,4816.6904296875
1689969863.982294,640,6587.37939453125
1689969864.3392909,734,9153.21484375
1689969864.4901729,774,10215.6328125
1689969864.611841,806,11063.4912109375
1689969864.710322,832,11765.5576171875
1689969864.875856,876,12978.4150390625
1689969865.086449,932,14492.2314453125
1689969865.161484,952,15006.7666015625
1689969865.206614,964,15313.9892578125
1689969865.427232,1022,16781.201171875
1689969865.600257,1068,17888.712890625
1689969865.637892,1078,18133.513671875
1689969865.652788,1082,18231.11328125
1689969865.771754,1114,18979.607421875
1689969865.817014,1126,19266.646484375
1689969866.056876,1190,20803.3515625
1689969866.071938,1194,20895.216796875
1689969866.378458,1276,22683.732421875
1689969866.424387,1288,22943.453125
1689969866.432109,1290,22986.525390625
1689969866.537663,1318,23583.005859375
1689969866.6660302,1352,24290.71875
1689969867.0125031,1444,26112.453125
1689969867.319834,1530,27768.541015625
1689969867.3982909,1552,28114.16796875
1689969867.604616,1610,29026.427734375
1689969867.982684,1716,30639.62109375
1689969868.046793,1734,30922.953125
1689969868.190262,1774,31587.705078125
1689969868.590165,1886,33678.99609375
1689969868.999188,2000,35816.5703125
1689969869.111732,2032,36331.2890625
1689969869.189357,2054,36655.8125
1689969869.268397,2076,36963.59765625
1689969869.405199,2114,37493.015625
1689969869.513012,2144,37913.48046875
1689969869.556041,2156,38072.234375
1689969869.7824361,2220,38923.9609375
1689969869.796386,2224,38978.0625
1689969869.894081,2252,39361.92578125
1689969869.942934,2266,39558.46875
1689969870.0780668,2304,40161.45703125
1689969870.0852349,2306,40199.2734375
1689969870.171181,2330,40619.60546875
1689969870.242296,2350,40993.46484375
1689969870.256511,2354,41069.22265625
1689969870.3140538,2370,41362.45703125
1689969870.558219,2438,42658.67578125
1689969870.8029451,2506,43997.24609375
1689969870.817337,2510,44069.58203125
1689969870.838899,2516,44176.43359375
1689969870.86765,2524,44315.90625
1689969870.910757,2536,44518.6796875
1689969870.939444,2544,44652.015625
1689969871.324127,2652,46619.375
1689969871.464876,2692,47229.15625
1689969871.679017,2752,48159.421875
1689969871.686218,2754,48192.6640625
1689969871.979349,2836,49643.68359375
1689969872.270153,2916,51146.43359375
1689969872.277715,2918,51185.83984375
1689969872.547481,2990,52647.5078125
1689969872.6067278,3006,52967.66796875
1689969872.667698,3022,53307.74609375
1689969872.690608,3028,53436.30078125
1689969872.953003,3098,55079.2734375
1689969872.97528,3104,55256.20703125
1689969873.0792,3132,55899.0234375
1689969873.1014569,3138,56037.3125
1689969873.228632,3172,56863.10546875
1689969873.311362,3194,57384.2890625
1689969873.544835,3256,58885.15625
1689969873.605616,3272,59279.6640625
1689969873.868832,3342,61056.54296875
1689969873.9815838,3372,61830.953125
1689969874.1118531,3406,62708.125
1689969874.126884,3410,62811.85546875
1689969874.1794748,3424,63175.73046875
1689969874.6781518,3556,66652.78125
1689969875.203409,3696,70497.359375
1689969875.302349,3722,71183.0703125
1689969875.354975,3736,71551.1484375
1689969875.595401,3800,73220.5390625
1689969875.618381,3806,73375.734375
1689969875.6712651,3820,73736.859375
1689969875.9011042,3882,75297.9453125
1689969876.0510972,3922,76352.953125
1689969876.058623,3924,76402.578125
1689969876.194245,3960,77288.2734375
1689969876.882228,4142,81465.5703125
1689969876.950557,4160,81858.1953125
1689969877.026619,4180,82288.6171875
1689969877.109905,4202,82754.90625
1689969877.912677,4420,87018.1640625
1689969878.126969,4480,88001.2109375
1689969878.7001479,4640,90630.7890625
1689969878.98573,4720,91986.78125
1689969879.234677,4790,93357.953125
1689969879.53205,4874,94902.7421875
1689969879.567889,4884,95087.015625
1689969879.661966,4910,95522.3359375
1689969879.719059,4926,95761.796875
1689969879.740424,4932,95848.796875
1689969879.911704,4972,96454.6640625
1689969880.042454,5008,96962.8359375
1689969880.144222,5036,97333.921875
1689969880.238643,5062,97677.8984375
1689969880.577912,5156,98964.6015625
1689969880.585171,5158,98993.9921875
1689969880.7375019,5200,99675.875
1689969880.940585,5256,100638.0
1689969880.998252,5272,100911.65625
1689969881.056952,5288,101219.4296875
1689969881.354441,5370,102839.296875
1689969881.419362,5388,103174.625
1689969881.527634,5418,103693.9921875
1689969881.592515,5436,103994.046875
1689969881.714274,5470,104557.1328125
1689969881.756943,5482,104744.671875
1689969881.8494542,5508,105147.25
1689969881.8565729,5510,105175.25
1689969881.863678,5512,105203.25
1689969881.936235,5532,105486.6640625
1689969881.9581099,5538,105575.7421875
1689969882.0817652,5572,106096.390625
1689969882.2770061,5626,106979.8671875
