Wall time,Step,Value
1689981469.737008,38,-7663.13818359375
1689981470.008785,96,-6429.5166015625
1689981470.14925,126,-5749.18994140625
1689981470.158626,128,-5702.8251953125
1689981470.400609,180,-4453.8212890625
1689981470.5318248,208,-3747.31201171875
1689981470.569731,216,-3541.201416015625
1689981470.769262,258,-2429.001220703125
1689981471.127135,330,-410.8568115234375
1689981471.201695,346,55.47921371459961
1689981471.381852,384,1187.04150390625
1689981471.493852,408,1918.14013671875
1689981471.8824708,490,4500.53564453125
1689981472.0237288,520,5473.47216796875
1689981472.240831,566,6988.83544921875
1689981472.268702,572,7188.3125
1689981472.585734,640,9471.619140625
1689981473.023941,734,12666.609375
1689981473.207792,774,14027.0380859375
1689981473.356204,806,15111.2275390625
1689981473.4775429,832,15987.6806640625
1689981473.683153,876,17458.1875
1689981473.9427469,932,19298.64453125
1689981474.0371819,952,19945.51171875
1689981474.0931041,964,20330.634765625
1689981474.566271,1022,22156.666015625
1689981474.777673,1068,23557.814453125
1689981474.825074,1078,23856.3125
1689981474.844372,1082,23975.07421875
1689981474.990759,1114,24911.5703125
1689981475.0462599,1126,25256.32421875
1689981475.344036,1190,27031.861328125
1689981475.362724,1194,27139.150390625
1689981475.760067,1276,29236.759765625
1689981475.815348,1288,29526.876953125
1689981475.824476,1290,29574.80078125
1689981475.952843,1318,30232.677734375
1689981476.10832,1352,30998.359375
1689981476.5277371,1444,32883.69140625
1689981476.86913,1530,34378.73828125
1689981476.954756,1552,34713.8984375
1689981477.183126,1610,35648.4296875
1689981477.601654,1716,37388.24609375
1689981477.6736372,1734,37662.171875
1689981477.8332238,1774,38434.3984375
1689981478.2706199,1886,41273.91015625
1689981478.72193,2000,45170.26171875
1689981478.849039,2032,46575.84375
1689981478.934667,2054,47597.04296875
1689981479.020719,2076,48513.453125
1689981479.16831,2114,50110.3046875
1689981479.284986,2144,51542.30078125
1689981479.332132,2156,52117.1328125
1689981479.583602,2220,55170.85546875
1689981479.5995772,2224,55351.70703125
1689981479.709426,2252,56418.7265625
1689981479.763597,2266,57021.61328125
1689981479.914409,2304,58761.30078125
1689981479.922354,2306,58849.20703125
1689981480.018093,2330,59872.640625
1689981480.095832,2350,60673.43359375
1689981480.1112761,2354,60826.19140625
1689981480.173032,2370,61407.25390625
1689981480.4387178,2438,63479.46875
1689981480.710753,2506,65289.046875
1689981480.726712,2510,65386.00390625
1689981480.750442,2516,65528.18359375
1689981480.782239,2524,65714.8515625
1689981480.830015,2536,65991.078125
1689981480.861799,2544,66167.8828125
1689981481.291457,2652,67902.7890625
1689981481.449496,2692,68650.4296875
1689981481.684594,2752,69701.34375
1689981481.692373,2754,69736.109375
1689981482.014084,2836,70994.5859375
1689981482.3575912,2916,72549.9140625
1689981482.366858,2918,72590.5078125
1689981482.701376,2990,74137.90625
1689981482.775427,3006,74365.609375
1689981482.8502579,3022,74350.4921875
1689981482.877821,3028,74339.5078125
1689981483.196125,3098,74002.234375
1689981483.223267,3104,73955.84375
1689981483.350602,3132,73704.1875
1689981483.3777978,3138,73642.8515625
1689981483.534034,3172,73247.3828125
1689981483.635582,3194,72949.4375
1689981483.9213738,3256,73396.1015625
1689981483.996751,3272,73879.3515625
1689981484.322416,3342,76055.0625
1689981484.46251,3372,77014.8203125
1689981484.622128,3406,78119.4140625
1689981484.640474,3410,78250.4375
1689981484.7048,3424,78710.640625
1689981485.338005,3556,83142.1953125
1689981486.0100951,3696,87898.609375
1689981486.135859,3722,88773.1796875
1689981486.201966,3736,89241.7890625
1689981486.507763,3800,91357.515625
1689981486.536591,3806,91553.25
1689981486.6022022,3820,92007.9453125
1689981486.894101,3882,93983.90625
1689981487.112156,3922,95221.3203125
1689981487.1222951,3924,95282.3359375
1689981487.316383,3960,96365.765625
1689981488.1670332,4142,101299.6796875
1689981488.250425,4160,101740.9453125
1689981488.344289,4180,102219.59375
1689981488.446722,4202,102731.7421875
1689981489.412365,4420,106939.9921875
1689981489.652609,4480,107883.875
1689981490.294912,4640,110543.3046875
1689981490.614089,4720,112407.7734375
1689981490.894036,4790,114334.7734375
1689981491.228828,4874,117324.2890625
1689981491.2685282,4884,117746.5078125
1689981491.3729641,4910,118890.9921875
1689981491.436673,4926,119626.71875
1689981491.460702,4932,119908.2734375
1689981491.6200802,4972,121507.7421875
1689981491.765163,5008,123179.890625
1689981491.877697,5036,124519.71875
1689981491.982785,5062,125765.171875
1689981492.355972,5156,129894.1640625
1689981492.363827,5158,129987.234375
1689981492.5312982,5200,131856.5625
1689981492.759307,5256,134017.6875
1689981492.824436,5272,134545.03125
1689981492.8895009,5288,135050.828125
1689981493.215928,5370,137298.6875
1689981493.2871199,5388,137741.96875
1689981493.407163,5418,138440.078125
1689981493.480499,5436,138833.5625
1689981493.615938,5470,139460.0625
1689981493.6633332,5482,139642.859375
1689981493.766206,5508,139985.5625
1689981493.774076,5510,140010.90625
1689981493.782229,5512,140036.234375
1689981493.8636951,5532,140307.640625
1689981493.887722,5538,140406.546875
1689981494.025291,5572,141054.90625
1689981494.241324,5626,142009.75
1689981494.417155,5670,142679.625
1689981494.497813,5690,142986.3125
1689981494.6359239,5724,143551.390625
1689981495.179589,5844,145963.96875
1689981495.5621471,5906,147377.40625
1689981495.590064,5912,147520.59375
1689981495.655328,5926,147858.984375
1689981495.760166,5948,148402.796875
1689981496.3327491,6070,151671.734375
1689981496.795923,6168,154574.484375
1689981496.80521,6170,154635.9375
1689981497.0011451,6208,155818.78125
1689981497.010476,6210,155881.78125
1689981497.019779,6212,155944.875
1689981497.158047,6242,156899.546875
1689981497.391627,6292,158522.265625
1689981497.654173,6348,160377.984375
1689981497.833678,6386,161654.5625
1689981497.898499,6400,162127.515625
1689981498.0658839,6436,163348.34375
1689981498.0963762,6442,163552.3125
1689981498.294508,6484,164981.953125
1689981498.5163908,6532,166615.0
1689981498.544327,6538,166818.703125
1689981498.900417,6614,169381.15625
1689981499.220799,6682,171629.0625
1689981499.372651,6714,172665.984375
1689981499.818346,6810,175671.296875
1689981500.348683,6924,178980.515625
1689981500.549564,6968,180168.078125
1689981500.558676,6970,180220.765625
1689981500.6226392,6984,180586.40625
1689981500.704712,7002,181016.5
1689981500.9464881,7054,182295.96875
1689981501.314035,7134,184100.1875
1689981501.34227,7140,184227.265625
1689981501.633931,7202,185472.0
