Wall time,Step,Value
1689984733.375138,38,-20193.416015625
1689984733.6375759,96,-19084.99609375
1689984733.775064,126,-18404.669921875
1689984733.783691,128,-18358.3046875
1689984734.017974,180,-17189.8515625
1689984734.143276,208,-16513.568359375
1689984734.180043,216,-16307.4580078125
1689984734.3698711,258,-15265.8232421875
1689984734.699525,330,-13247.6796875
1689984734.7729049,346,-12781.3427734375
1689984734.946069,384,-11695.72265625
1689984735.0561101,408,-10964.6240234375
1689984735.43309,490,-8382.228515625
1689984735.5689669,520,-7409.29248046875
1689984735.871341,566,-5893.9287109375
1689984735.897732,572,-5694.4521484375
1689984736.2064252,640,-3411.145751953125
1689984736.631737,734,-216.1553497314453
1689984736.812052,774,1144.2734375
1689984736.9580328,806,2228.463134765625
1689984737.0770078,832,3104.916259765625
1689984737.276407,876,4575.42236328125
1689984737.52849,932,6415.88037109375
1689984737.618434,952,7062.74658203125
1689984737.6725929,964,7447.8701171875
1689984737.9342709,1022,9221.0322265625
1689984738.1440058,1068,10622.1796875
1689984738.190152,1078,10920.677734375
1689984738.2096589,1082,11039.4384765625
1689984738.354051,1114,11975.9345703125
1689984738.409678,1126,12320.689453125
1689984738.723041,1190,14096.2255859375
1689984738.740858,1194,14203.5146484375
1689984739.118537,1276,16301.1240234375
1689984739.173315,1288,16591.2421875
1689984739.182163,1290,16639.166015625
1689984739.312253,1318,17297.04296875
1689984739.46879,1352,18062.72265625
1689984739.8931782,1444,19948.0546875
1689984740.241672,1530,21443.103515625
1689984740.330276,1552,21778.263671875
1689984740.563245,1610,22712.79296875
1689984740.989003,1716,24452.609375
1689984741.062291,1734,24726.53515625
1689984741.223899,1774,25498.76171875
1689984741.6739159,1886,28338.27734375
1689984742.132899,2000,32234.626953125
1689984742.261371,2032,33640.90625
1689984742.3493319,2054,34662.10546875
1689984742.438153,2076,35578.515625
1689984742.5905,2114,37175.3671875
1689984742.712,2144,38607.36328125
1689984742.760211,2156,39182.1953125
1689984743.016491,2220,42235.91796875
1689984743.032377,2224,42416.76953125
1689984743.144,2252,43483.7890625
1689984743.199758,2266,44086.67578125
1689984743.351239,2304,45826.36328125
1689984743.360199,2306,45914.26953125
1689984743.455742,2330,46937.703125
1689984743.5354161,2350,47738.49609375
1689984743.550626,2354,47891.25390625
1689984743.6153548,2370,48472.31640625
1689984743.888405,2438,50544.53125
1689984744.161213,2506,52354.109375
1689984744.177696,2510,52451.06640625
1689984744.201189,2516,52593.24609375
1689984744.234506,2524,52779.91015625
1689984744.283446,2536,53056.140625
1689984744.31567,2544,53232.94140625
1689984744.746801,2652,54967.8515625
1689984744.906961,2692,55715.4921875
1689984745.145924,2752,56766.40625
1689984745.153536,2754,56801.16796875
1689984745.4818392,2836,58059.6484375
1689984745.8255959,2916,59614.9765625
1689984745.834496,2918,59655.5703125
1689984746.163156,2990,61202.96484375
1689984746.236817,3006,61546.4921875
1689984746.309839,3022,61920.87890625
1689984746.337323,3028,62063.328125
1689984746.657589,3098,63806.1015625
1689984746.685296,3104,63962.23828125
1689984746.813148,3132,64704.484375
1689984746.840118,3138,64866.3984375
1689984746.993144,3172,65802.4453125
1689984747.0927732,3194,66424.3828125
1689984747.375925,3256,68241.2890625
1689984747.447142,3272,68724.546875
1689984747.765486,3342,70900.25
1689984747.901267,3372,71860.0078125
1689984748.0553138,3406,72964.6015625
1689984748.074836,3410,73095.625
1689984748.139035,3424,73555.8359375
1689984748.737056,3556,77987.3828125
1689984749.3808,3696,82743.8046875
1689984749.497946,3722,83618.3671875
1689984749.563113,3736,84086.984375
1689984749.852896,3800,86202.7109375
1689984749.881702,3806,86398.4375
1689984749.9454331,3820,86853.140625
1689984750.2291782,3882,88829.1015625
1689984750.413125,3922,90066.515625
1689984750.422488,3924,90127.53125
1689984750.585207,3960,91210.953125
1689984751.4201448,4142,96144.875
1689984751.500875,4160,96586.1328125
1689984751.592656,4180,97064.78125
1689984751.69153,4202,97576.9296875
1689984752.6345139,4420,101785.1875
1689984752.876456,4480,102729.0625
1689984753.5165608,4640,105388.4921875
1689984753.83776,4720,107252.96875
1689984754.119175,4790,109179.9609375
1689984754.4538329,4874,112169.4765625
1689984754.49402,4884,112591.6953125
1689984754.598754,4910,113736.1875
1689984754.663979,4926,114471.9140625
1689984754.6880069,4932,114753.4609375
1689984754.848736,4972,116352.9375
1689984754.993077,5008,118028.1953125
1689984755.1055841,5036,119368.0234375
1689984755.211513,5062,120613.4765625
1689984755.590611,5156,124742.46875
1689984755.598297,5158,124835.5390625
1689984755.768418,5200,126704.875
1689984755.991512,5256,128866.0
1689984756.0554738,5272,129393.34375
1689984756.1208708,5288,129899.140625
1689984756.451873,5370,132147.0
1689984756.525792,5388,132590.28125
1689984756.645264,5418,133288.390625
1689984756.719931,5436,133681.875
1689984756.8569002,5470,134308.375
1689984756.903904,5482,134491.15625
1689984757.007334,5508,134833.875
1689984757.01634,5510,134859.203125
1689984757.024605,5512,134884.53125
1689984757.1045,5532,135155.9375
1689984757.130264,5538,135254.859375
1689984757.2672782,5572,135903.21875
1689984757.4836118,5626,136858.0625
1689984757.660724,5670,137527.9375
1689984757.741675,5690,137834.625
1689984757.878667,5724,138399.703125
1689984758.4071958,5844,140812.28125
1689984758.6901171,5906,142225.71875
1689984758.7175722,5912,142368.90625
1689984758.780396,5926,142707.296875
1689984758.879315,5948,143251.109375
1689984759.435835,6070,146520.046875
1689984759.884081,6168,149422.78125
1689984759.8928509,6170,149484.25
1689984760.067693,6208,150667.078125
1689984760.0768352,6210,150730.09375
1689984760.0855181,6212,150793.1875
1689984760.221323,6242,151747.859375
1689984760.4462342,6292,153370.5625
1689984760.699072,6348,155226.296875
1689984760.8747032,6386,156502.859375
1689984760.939541,6400,156975.8125
1689984761.103693,6436,158196.65625
1689984761.1318882,6442,158400.609375
1689984761.324942,6484,159830.25
1689984761.540982,6532,161463.296875
1689984761.5683992,6538,161667.0
1689984761.9124281,6614,164229.453125
1689984762.2201421,6682,166477.375
1689984762.363967,6714,167514.296875
1689984762.798836,6810,170519.59375
1689984763.316378,6924,173828.8125
1689984763.515483,6968,175016.375
1689984763.524719,6970,175069.078125
1689984763.587942,6984,175434.703125
1689984763.670096,7002,175896.4375
1689984763.907329,7054,177175.90625
1689984764.271403,7134,178980.125
1689984764.297599,7140,179107.203125
1689984764.582295,7202,180351.9375
1689984764.7131178,7234,180969.28125
1689984765.0200891,7310,182192.03125
1689984765.043516,7316,182278.609375
1689984765.059774,7320,182334.609375
1689984765.0762382,7324,182390.609375
1689984765.098918,7330,182491.703125
1689984765.153588,7338,182618.546875
1689984765.178763,7344,182716.671875
1689984765.330092,7382,183382.40625
1689984765.503406,7426,184225.390625
1689984765.899783,7524,185725.125
1689984766.0693262,7566,186669.671875
1689984766.592223,7698,190323.625
1689984766.608138,7702,190456.59375
1689984766.760075,7740,191850.84375
1689984767.025602,7806,194724.03125
1689984767.097108,7824,195547.484375
1689984767.130128,7832,195868.71875
1689984767.178494,7844,196298.640625
1689984767.274677,7868,197328.421875
1689984767.297463,7874,197613.328125
1689984767.607019,7952,201343.546875
1689984767.902483,8026,204535.828125
1689984767.91957,8030,204724.46875
1689984767.991158,8048,205558.921875
1689984768.0797498,8070,206538.546875
1689984768.127573,8082,207053.125
1689984768.184011,8096,207633.453125
1689984768.481506,8170,210225.3125
1689984768.7075908,8220,211622.671875
1689984768.75554,8232,211949.28125
1689984768.80493,8244,212261.03125
1689984768.8307571,8250,212411.703125
1689984769.0088441,8294,213463.53125
1689984769.2938628,8364,214785.390625
1689984769.384117,8386,215074.109375
1689984769.669548,8456,216250.265625
1689984769.911804,8516,217376.28125
1689984770.4070778,8638,219816.609375
1689984770.4990458,8658,220163.96875
1689984771.131099,8792,222931.140625
1689984771.571095,8888,225368.90625
1689984771.67076,8910,225964.9375
1689984772.31648,9052,229978.96875
1689984772.407678,9072,230598.796875
1689984772.444313,9080,230848.90625
