Wall time,Step,Value
1689986201.1855628,38,-14314.2275390625
1689986201.432024,96,-13106.462890625
1689986201.557657,126,-12426.13671875
1689986201.566236,128,-12379.771484375
1689986201.786636,180,-11130.767578125
1689986201.906058,208,-10424.2587890625
1689986201.940545,216,-10218.1484375
1689986202.117653,258,-9105.9482421875
1689986202.4260302,330,-7087.8037109375
1689986202.49507,346,-6621.46728515625
1689986202.657606,384,-5489.9052734375
1689986202.760472,408,-4908.19189453125
1689986203.108452,490,-2826.823486328125
1689986203.235401,520,-2755.768798828125
1689986203.43085,566,-1240.4051513671875
1689986203.455669,572,-1040.9283447265625
1689986203.744274,640,1242.3780517578125
1689986204.1398988,734,4437.3681640625
1689986204.307316,774,5797.79736328125
1689986204.443179,806,6881.98681640625
1689986204.552277,832,7758.43994140625
1689986204.7380328,876,9228.9462890625
1689986204.9732249,932,11069.404296875
1689986205.057868,952,11716.2705078125
1689986205.107829,964,12101.3935546875
1689986205.374905,1022,13927.42578125
1689986205.56782,1068,15328.57421875
1689986205.610673,1078,15627.072265625
1689986205.6275551,1082,15745.8330078125
1689986205.76278,1114,16682.328125
1689986205.8138611,1126,17027.083984375
1689986206.162432,1190,18802.619140625
1689986206.1795058,1194,18909.908203125
1689986206.5254421,1276,21007.517578125
1689986206.576509,1288,21297.63671875
1689986206.5847008,1290,21345.560546875
1689986206.701112,1318,22003.4375
1689986206.8432739,1352,22769.1171875
1689986207.233998,1444,24654.44921875
1689986207.565963,1530,26149.498046875
1689986207.648928,1552,26484.658203125
1689986207.872303,1610,27419.1875
1689986208.278508,1716,29159.00390625
1689986208.3462322,1734,29432.9296875
1689986208.504101,1774,30205.15625
1689986208.936075,1886,33044.671875
1689986209.375869,2000,36941.01953125
1689986209.4989262,2032,38357.54296875
1689986209.584755,2054,39354.7109375
1689986209.6705868,2076,40353.09375
1689986209.816729,2114,42062.86328125
1689986209.9328508,2144,43395.7734375
1689986209.9793532,2156,43927.0078125
1689986210.229268,2220,46770.80078125
1689986210.2443311,2224,46950.35546875
1689986210.352798,2252,48216.71875
1689986210.407833,2266,48852.0546875
1689986210.555108,2304,50565.8203125
1689986210.563381,2306,50654.546875
1689986210.654798,2330,51694.30859375
1689986210.732131,2350,52517.30859375
1689986210.746798,2354,52678.65234375
1689986210.809141,2370,53152.671875
1689986211.072623,2438,55534.23046875
1689986211.336467,2506,57633.64453125
1689986211.351304,2510,57743.41796875
1689986211.3753018,2516,57858.265625
1689986211.406278,2524,58013.21875
1689986211.45235,2536,58322.53515625
1689986211.483892,2544,58519.484375
1689986211.895776,2652,60739.984375
1689986212.047949,2692,61475.1171875
1689986212.279604,2752,62615.71484375
1689986212.286891,2754,62663.80859375
1689986212.6015449,2836,64377.07421875
1689986212.923284,2916,65110.59375
1689986212.931422,2918,65124.75390625
1689986213.2378502,2990,66382.2109375
1689986213.3270059,3006,66748.5625
1689986213.393763,3022,67122.9453125
1689986213.419768,3028,67265.3984375
1689986213.7156942,3098,69008.171875
1689986213.740917,3104,69164.3046875
1689986213.8605282,3132,69906.5546875
1689986213.8861592,3138,70068.46875
1689986214.031383,3172,71004.515625
1689986214.125685,3194,71626.453125
1689986214.409837,3256,73443.359375
1689986214.47793,3272,73926.609375
1689986214.7729468,3342,76102.3203125
1689986214.899157,3372,77062.078125
1689986215.043478,3406,78166.671875
1689986215.061131,3410,78297.6953125
1689986215.1215029,3424,78757.8984375
1689986215.681777,3556,83189.453125
1689986216.291761,3696,87945.8671875
1689986216.4024892,3722,88820.4375
1689986216.4621508,3736,89289.046875
1689986216.732733,3800,91404.7734375
1689986216.758115,3806,91600.5078125
1689986216.8173702,3820,92055.2109375
1689986217.079024,3882,94031.171875
1689986217.2496698,3922,95268.578125
1689986217.258709,3924,95329.6015625
1689986217.409843,3960,96413.0234375
1689986218.183321,4142,101346.9453125
1689986218.259284,4160,101788.203125
1689986218.342036,4180,102266.8515625
1689986218.436251,4202,102779.0
1689986219.328495,4420,106987.25
1689986219.559974,4480,107931.1328125
1689986220.177251,4640,110590.5625
1689986220.484643,4720,112455.03125
1689986220.756298,4790,114382.03125
1689986221.079108,4874,117371.546875
1689986221.116982,4884,117793.765625
1689986221.218304,4910,118938.2578125
1689986221.279457,4926,119673.984375
1689986221.3012,4932,119955.53125
1689986221.453921,4972,121555.0
1689986221.593786,5008,123230.265625
1689986221.70209,5036,124570.09375
1689986221.802721,5062,125815.546875
1689986222.1669571,5156,129944.5390625
1689986222.1745868,5158,130037.609375
1689986222.3364549,5200,131906.9375
1689986222.551167,5256,134068.0625
1689986222.6129658,5272,134595.40625
1689986222.67485,5288,135101.203125
1689986222.993119,5370,137349.0625
1689986223.063636,5388,137792.34375
1689986223.180247,5418,138490.453125
1689986223.250048,5436,138883.9375
1689986223.3835158,5470,139510.4375
1689986223.430639,5482,139693.234375
1689986223.530087,5508,140035.9375
1689986223.537353,5510,140061.28125
1689986223.54461,5512,140086.609375
1689986223.621988,5532,140358.015625
1689986223.644542,5538,140456.921875
1689986223.777279,5572,141105.28125
1689986223.986367,5626,142060.125
1689986224.155738,5670,142730.0
1689986224.2333272,5690,143036.6875
1689986224.365291,5724,143601.765625
1689986224.8592262,5844,146014.34375
1689986225.125149,5906,147427.78125
1689986225.149633,5912,147570.96875
1689986225.20976,5926,147909.359375
1689986225.3019352,5948,148453.171875
1689986225.815546,6070,151686.375
1689986226.230928,6168,154589.109375
1689986226.23892,6170,154650.5625
1689986226.3992739,6208,155833.40625
1689986226.408283,6210,155896.421875
1689986226.4169111,6212,155959.5
1689986226.5428731,6242,156914.171875
1689986226.75616,6292,158536.890625
1689986226.993501,6348,160392.609375
1689986227.151732,6386,161669.1875
1689986227.212425,6400,162142.140625
1689986227.364275,6436,163362.96875
1689986227.389243,6442,163566.9375
1689986227.5680141,6484,164996.578125
1689986227.7681909,6532,166629.625
1689986227.792446,6538,166833.328125
1689986228.1141078,6614,169395.78125
1689986228.403293,6682,171643.6875
1689986228.5420349,6714,172680.625
1689986228.950185,6810,175685.921875
1689986229.437344,6924,178995.140625
1689986229.626097,6968,180182.703125
1689986229.63421,6970,180235.390625
1689986229.692678,6984,180601.03125
1689986229.768672,7002,181031.125
1689986229.9884999,7054,182310.59375
1689986230.330991,7134,184114.8125
1689986230.356517,7140,184241.890625
1689986230.62286,7202,185486.625
1689986230.7469099,7234,186103.96875
1689986231.040896,7310,187326.71875
1689986231.0643919,7316,187413.296875
1689986231.0797381,7320,187469.296875
1689986231.094448,7324,187525.296875
1689986231.1182568,7330,187626.390625
1689986231.148549,7338,187753.234375
1689986231.1730938,7344,187851.359375
1689986231.321119,7382,188517.09375
1689986231.5263638,7426,189360.078125
1689986231.9870331,7524,191200.234375
1689986232.1483,7566,191827.34375
1689986232.658048,7698,196475.796875
1689986232.674228,7702,196626.609375
1689986232.819426,7740,198174.046875
1689986233.073052,7806,200719.734375
1689986233.1427689,7824,201414.609375
1689986233.1750169,7832,201701.890625
1689986233.222137,7844,202105.65625
1689986233.313958,7868,202942.671875
1689986233.336653,7874,203177.671875
1689986233.6377652,7952,206492.125
1689986233.926371,8026,209859.109375
1689986233.9410088,8030,210042.21875
1689986234.010994,8048,210858.390625
1689986234.0950952,8070,211670.609375
1689986234.141695,8082,212159.15625
1689986234.195636,8096,212748.0
1689986234.480494,8170,215448.09375
1689986234.671121,8220,217101.34375
1689986234.7169862,8232,217455.078125
1689986234.762879,8244,217799.4375
1689986234.785714,8250,218008.671875
1689986234.954536,8294,219203.46875
1689986235.224892,8364,220816.28125
1689986235.308944,8386,221242.578125
1689986235.5786529,8456,195738.234375
1689986235.808047,8516,128652.2421875
1689986236.2847738,8638,-44672.9375
1689986236.368761,8658,-61177.1484375
1689986236.934356,8792,-322616.65625
1689986237.3810291,8888,-413903.1875
1689986237.474338,8910,-412937.90625
1689986238.071164,9052,-446411.09375
1689986238.154869,9072,-455999.8125
1689986238.188871,9080,-455680.84375
1689986238.399657,9130,-462249.78125
1689986238.8113961,9220,-460396.90625
1689986238.8367329,9226,-460196.59375
1689986239.152627,9300,-457764.5
1689986239.47381,9374,-455496.59375
1689986239.507013,9382,-455224.21875
1689986239.525151,9386,-455088.09375
1689986239.576777,9398,-454679.84375
1689986239.652948,9416,-454068.25
1689986239.851135,9462,-452511.96875
1689986239.912236,9476,-452041.03125
1689986240.247686,9554,-449451.4375
1689986240.256269,9556,-449385.96875
1689986240.5128782,9616,-447449.34375
1689986240.709746,9662,-446005.875
1689986240.726859,9666,-445882.25
1689986240.751264,9672,-445697.4375
1689986240.760774,9674,-445636.0
1689986240.8279529,9690,-445147.5
1689986241.147958,9766,-442905.6875
1689986241.391957,9822,-441345.75
1689986241.550967,9860,-440335.96875
1689986241.646301,9882,-439770.3125
1689986241.723805,9900,-439318.125
1689986241.991081,9962,-437836.15625
1689986242.084436,9984,-437359.625
