Wall time,Step,Value
1689987654.669337,38,-4145.57275390625
1689987654.926689,96,-2573.136474609375
1689987655.0615392,126,-3220.546875
1689987655.0697348,128,-3174.181884765625
1689987655.29501,180,-1976.9998779296875
1689987655.4139829,208,-1270.49072265625
1689987655.4484942,216,-1064.380126953125
1689987655.628931,258,11.95746898651123
1689987655.958905,330,2030.1019287109375
1689987656.032784,346,2496.43798828125
1689987656.1997309,384,3628.000244140625
1689987656.3037922,408,4359.0986328125
1689987656.655514,490,6941.494140625
1689987656.7860851,520,7914.4306640625
1689987656.986094,566,9429.7939453125
1689987657.012268,572,9629.271484375
1689987657.308182,640,11912.5771484375
1689987657.7103071,734,15045.7021484375
1689987657.88157,774,16406.130859375
1689987658.017958,806,17490.3203125
1689987658.127458,832,18366.7734375
1689987658.31727,876,19837.279296875
1689987658.5558379,932,21677.73828125
1689987658.642059,952,22324.60546875
1689987658.692829,964,22709.728515625
1689987658.942225,1022,24535.759765625
1689987659.140451,1068,25936.908203125
1689987659.182146,1078,26235.40625
1689987659.200018,1082,26354.166015625
1689987659.337517,1114,27290.662109375
1689987659.388841,1126,27635.41796875
1689987659.663435,1190,29410.953125
1689987659.680233,1194,29518.2421875
1689987660.0349178,1276,31615.8515625
1689987660.086946,1288,31905.970703125
1689987660.095645,1290,31953.89453125
1689987660.214516,1318,32611.771484375
1689987660.361572,1352,33377.453125
1689987660.759896,1444,35262.78125
1689987661.097162,1530,36757.83203125
1689987661.1838698,1552,37092.9921875
1689987661.4101381,1610,38027.5234375
1689987661.822804,1716,39767.33984375
1689987661.893574,1734,40041.265625
1689987662.050411,1774,40813.4921875
1689987662.487607,1886,43653.00390625
1689987662.927948,2000,47549.35546875
1689987663.0547671,2032,48955.63671875
1689987663.1408372,2054,49976.8359375
1689987663.2261949,2076,50893.24609375
1689987663.3729,2114,52490.09765625
1689987663.4889312,2144,53922.09375
1689987663.535145,2156,54496.921875
1689987663.78442,2220,57550.64453125
1689987663.800443,2224,57731.49609375
1689987663.908101,2252,58798.51953125
1689987663.962232,2266,59401.40625
1689987664.1109738,2304,61141.09375
