Wall time,Step,Value
1689990027.910354,38,-22149.19921875
1689990028.157847,96,-20935.453125
1689990028.284838,126,-20275.8046875
1689990028.292971,128,-20229.439453125
1689990028.511652,180,-18980.435546875
1689990028.630996,208,-18273.92578125
1689990028.665559,216,-18067.814453125
1689990028.844026,258,-16992.880859375
1689990029.153999,330,-14974.736328125
1689990029.221329,346,-14508.400390625
1689990029.382506,384,-13376.837890625
1689990029.485049,408,-12645.7392578125
1689990029.841063,490,-10063.34375
1689990029.969812,520,-9090.408203125
1689990030.164198,566,-7575.0439453125
1689990030.188971,572,-7375.5673828125
1689990030.481181,640,-5092.26123046875
1689990030.881227,734,-1897.270751953125
1689990031.0524092,774,-536.8419189453125
1689990031.189143,806,547.3477783203125
1689990031.3003771,832,1423.8009033203125
1689990031.48871,876,2894.306884765625
1689990031.729898,932,4734.76513671875
1689990031.8164191,952,5381.63134765625
1689990031.868195,964,5766.7548828125
1689990032.118038,1022,7539.91650390625
1689990032.3166132,1068,8941.064453125
1689990032.359921,1078,9239.5625
1689990032.3768141,1082,9358.3232421875
1689990032.5158038,1114,10294.8193359375
1689990032.5676448,1126,10639.57421875
1689990032.842421,1190,12415.1103515625
1689990032.8607922,1194,12522.3994140625
1689990033.212419,1276,14620.0087890625
1689990033.264459,1288,14910.126953125
1689990033.273012,1290,14958.0498046875
1689990033.391667,1318,15615.927734375
1689990033.537819,1352,16381.6083984375
1689990033.933281,1444,18266.939453125
1689990034.271279,1530,19761.98828125
1689990034.3579571,1552,20097.1484375
1689990034.583371,1610,21031.677734375
1689990034.996842,1716,22771.494140625
1689990035.068352,1734,23045.419921875
1689990035.224181,1774,23817.646484375
1689990035.662657,1886,26657.162109375
1689990036.130367,2000,30553.51171875
1689990036.2571661,2032,31959.09375
1689990036.342552,2054,32980.29296875
1689990036.428482,2076,33896.703125
1689990036.576412,2114,35493.5546875
1689990036.693082,2144,36925.55078125
1689990036.7406101,2156,37500.3828125
1689990036.989665,2220,40554.10546875
