Wall time,Step,Value
1689990738.813972,38,-12.386348724365234
1689990739.042206,96,1207.7193603515625
1689990739.158375,126,1867.8260498046875
1689990739.166356,128,1914.19091796875
1689990739.3717499,180,3163.195068359375
1689990739.479341,208,3869.7041015625
1689990739.510348,216,4075.814697265625
1689990739.674551,258,5188.0146484375
1689990739.965451,330,7206.1591796875
1689990740.028964,346,7672.4951171875
1689990740.18033,384,8804.0576171875
1689990740.2752619,408,9535.15625
1689990740.599743,490,12117.5517578125
1689990740.721344,520,13090.48828125
1689990740.901761,566,14605.8515625
1689990740.926101,572,14805.328125
1689990741.193493,640,17088.634765625
1689990741.5646038,734,20283.625
1689990741.7229729,774,21644.0546875
1689990741.847321,806,22728.244140625
1689990741.94998,832,23604.697265625
1689990742.123776,876,25075.203125
1689990742.34149,932,26915.66015625
1689990742.419138,952,27562.52734375
1689990742.46578,964,27947.650390625
1689990742.69221,1022,29720.8125
1689990742.873493,1068,31121.9609375
1689990742.912565,1078,31420.458984375
1689990742.9282482,1082,31539.21875
1689990743.053233,1114,32475.71484375
1689990743.0999308,1126,32820.46875
1689990743.350933,1190,34596.0078125
1689990743.367677,1194,34703.296875
1689990743.686432,1276,36800.90234375
1689990743.733875,1288,37091.0234375
1689990743.7413151,1290,37138.9453125
1689990743.849777,1318,37796.82421875
1689990743.9835541,1352,38562.50390625
1689990744.3463402,1444,40447.8359375
1689990744.6674051,1530,41942.8828125
1689990744.748055,1552,42278.04296875
1689990744.965941,1610,43212.57421875
1689990745.3617349,1716,44952.390625
1689990745.427423,1734,45226.31640625
1689990745.576939,1774,45998.54296875
1689990745.993141,1886,48838.05859375
1689990746.4234529,2000,52734.40625
1689990746.5414221,2032,54139.9921875
1689990746.623818,2054,55161.1875
1689990746.706204,2076,56077.59765625
1689990746.848576,2114,57674.44921875
1689990746.961248,2144,59106.4453125
1689990747.005431,2156,59681.27734375
1689990747.240444,2220,62735.0
1689990747.255765,2224,62915.8515625
1689990747.3620322,2252,63982.87109375
1689990747.4142,2266,64585.7578125
1689990747.555286,2304,66325.4453125
1689990747.563041,2306,66413.3515625
1689990747.651338,2330,67436.7890625
1689990747.727479,2350,68237.578125
1689990747.741874,2354,68390.3359375
1689990747.801435,2370,68971.3984375
1689990748.0571241,2438,71043.6171875
1689990748.314429,2506,72853.1953125
1689990748.3289979,2510,72950.1484375
1689990748.350066,2516,73092.328125
