Wall time,Step,Value
1690010730.102725,38,1277.8431396484375
1690010730.332528,96,3911.8662109375
1690010730.449366,126,5306.70263671875
1690010730.457047,128,5402.55224609375
1690010730.65721,180,7846.845703125
1690010730.7653482,208,9188.7353515625
1690010730.795795,216,9550.0771484375
1690010730.955555,258,11457.765625
1690010731.238518,330,14908.3388671875
1690010731.302048,346,15675.1328125
1690010731.4589388,384,17496.267578125
1690010731.552514,408,18624.404296875
1690010731.8727832,490,22554.22265625
1690010731.987372,520,23991.9609375
1690010732.163195,566,26196.494140625
1690010732.187457,572,26484.04296875
1690010732.4533172,640,29742.916015625
1690010732.8206,734,34247.83203125
1690010732.975838,774,36106.0
1690010733.102072,806,37591.8046875
1690010733.203161,832,38837.84375
1690010733.373485,876,40946.52734375
1690010733.588206,932,43630.3046875
1690010733.664913,952,44588.796875
1690010733.7122471,964,45163.89453125
1690010733.93847,1022,47870.00390625
1690010734.116937,1068,50074.53515625
1690010734.155787,1078,50553.78125
1690010734.17132,1082,50745.48046875
1690010734.295399,1114,52279.0703125
1690010734.341582,1126,52854.1640625
1690010734.589142,1190,55921.33984375
1690010734.604545,1194,56113.0390625
1690010734.942245,1276,60042.859375
1690010734.988034,1288,60617.953125
1690010734.995657,1290,60713.8046875
1690010735.102176,1318,62055.69140625
1690010735.233946,1352,63685.12890625
1690010735.591306,1444,68094.1953125
1690010735.926754,1530,72215.7109375
1690010736.012444,1552,73270.0546875
1690010736.237084,1610,76049.6796875
1690010736.649033,1716,81129.6953125
1690010736.71955,1734,81992.3359375
1690010736.8737159,1774,83909.3203125
1690010737.302478,1886,89276.8828125
1690010737.7442508,2000,94740.2890625
1690010737.869139,2032,96273.875
1690010737.954914,2054,97328.21875
1690010738.04147,2076,98382.5546875
1690010738.1871219,2114,100203.6953125
1690010738.303288,2144,101641.4296875
1690010738.349566,2156,102216.53125
1690010738.598752,2220,105283.703125
1690010738.6142972,2224,105475.3984375
1690010738.724271,2252,106817.2890625
1690010738.778669,2266,107488.234375
1690010738.9264798,2304,109309.375
1690010738.934152,2306,109405.21875
1690010739.025513,2330,110555.4140625
1690010739.101504,2350,111513.90625
1690010739.116711,2354,111705.6015625
1690010739.177876,2370,112472.3984375
1690010739.441195,2438,115731.2734375
1690010739.705153,2506,118990.1484375
1690010739.720607,2510,119181.84375
1690010739.7435021,2516,119469.390625
1690010739.774391,2524,119852.7890625
1690010739.821179,2536,120427.8828125
1690010739.852294,2544,120811.28125
1690010740.2713878,2652,125987.140625
1690010740.4277189,2692,127904.125
1690010740.660664,2752,130779.6015625
1690010740.668391,2754,130875.453125
1690010740.9872808,2836,134805.265625
1690010741.299457,2916,138639.234375
1690010741.307168,2918,138735.09375
1690010741.5870972,2990,142185.671875
1690010741.649164,3006,142930.40625
1690010741.712239,3022,143638.375
1690010741.735399,3028,143903.875
1690010742.009731,3098,147001.28125
1690010742.033589,3104,147266.78125
1690010742.145382,3132,148505.75
1690010742.169003,3138,148771.234375
1690010742.302947,3172,150275.6875
1690010742.387904,3194,151249.171875
1690010742.631522,3256,153992.578125
1690010742.694531,3272,154700.5625
1690010742.967083,3342,157797.96875
1690010743.084382,3372,159125.4375
1690010743.21781,3406,160629.890625
1690010743.233521,3410,160806.890625
1690010743.28798,3424,161426.375
1690010743.804416,3556,167267.203125
1690010744.3485692,3696,173462.03125
1690010744.450708,3722,174612.5
1690010744.505978,3736,175231.96875
1690010744.758827,3800,178063.890625
1690010744.7824929,3806,178329.390625
1690010744.837404,3820,178948.875
1690010745.0773382,3882,181692.296875
1690010745.234237,3922,183462.234375
