Wall time,Step,Value
1690014514.698941,38,1361.3984375
1690014514.9219751,96,4084.728515625
1690014515.03716,126,5431.08251953125
1690014515.044811,128,5513.21923828125
1690014515.2424572,180,7772.828125
1690014515.3499992,208,9090.4892578125
1690014515.3820329,216,9436.3310546875
1690014515.54003,258,10417.7734375
1690014515.812515,330,13663.8056640625
1690014515.87487,346,14385.69921875
1690014516.0265138,384,16197.84765625
1690014516.1389382,408,17288.173828125
1690014516.457649,490,20946.228515625
1690014516.569391,520,22294.224609375
1690014516.745873,566,24464.705078125
1690014516.768613,572,24771.408203125
1690014517.0995378,640,27813.78515625
1690014517.471445,734,29534.1875
1690014517.656694,774,31222.521484375
1690014517.801118,806,32705.775390625
1690014517.9120672,832,34027.67578125
1690014518.111426,876,34914.24609375
1690014518.3254678,932,37309.515625
1690014518.403428,952,38429.74609375
1690014518.4529989,964,39101.88671875
1690014518.729773,1022,42080.671875
1690014518.924344,1068,44657.20703125
1690014518.963903,1078,45217.32421875
1690014518.979378,1082,45441.37109375
1690014519.107064,1114,47233.74609375
1690014519.168807,1126,47905.88671875
1690014519.483755,1190,51490.6328125
1690014519.523781,1194,51714.6796875
1690014519.8764522,1276,56307.63671875
1690014519.92363,1288,56979.7734375
1690014519.931508,1290,57091.796875
1690014520.044631,1318,57091.6328125
1690014520.185963,1352,57076.36328125
1690014520.564834,1444,60158.39453125
1690014520.993332,1530,64975.3984375
1690014521.095216,1552,66207.65625
1690014521.3889248,1610,69456.328125
1690014521.8978372,1716,75393.5703125
1690014521.976789,1734,76401.7734375
1690014522.152406,1774,78642.2421875
1690014522.598936,1886,84105.875
1690014523.0745652,2000,90491.203125
1690014523.1975522,2032,91853.4921875
1690014523.2809029,2054,92790.0703125
1690014523.3740108,2076,93726.6484375
1690014523.535281,2114,95344.3671875
1690014523.657836,2144,96621.5234375
1690014523.704014,2156,97132.3828125
1690014523.951149,2220,99856.96875
1690014523.967377,2224,100027.25
1690014524.0741582,2252,101219.2578125
1690014524.128336,2266,101815.265625
1690014524.280548,2304,103432.984375
1690014524.288383,2306,103518.125
1690014524.384043,2330,104539.8515625
1690014524.479212,2350,105391.28125
1690014524.494347,2354,105561.5703125
1690014524.553705,2370,106242.7109375
1690014524.812263,2438,109392.9453125
1690014525.08195,2506,113201.7421875
1690014525.099019,2510,113425.7890625
1690014525.123958,2516,113761.859375
1690014525.153934,2524,114209.953125
1690014525.2034051,2536,114882.09375
1690014525.235955,2544,115330.1875
1690014525.6796951,2652,121379.4453125
1690014525.840848,2692,123619.9140625
1690014526.085074,2752,126980.609375
1690014526.0928519,2754,127092.6328125
1690014526.4112792,2836,131685.59375
1690014526.71564,2916,136166.53125
1690014526.723356,2918,136278.546875
1690014526.996896,2990,140311.390625
1690014527.0586162,3006,141126.9375
1690014527.1230102,3022,141808.078125
1690014527.145707,3028,142063.515625
1690014527.41747,3098,145043.53125
1690014527.440634,3104,145298.953125
1690014527.549806,3132,146490.96875
1690014527.573667,3138,146746.390625
1690014527.7194118,3172,148193.828125
1690014527.803572,3194,149130.40625
1690014528.049099,3256,151769.84375
1690014528.116391,3272,152451.0
1690014528.398627,3342,155431.015625
