Wall time,Step,Value
1690015258.500965,38,950.9264526367188
1690015258.7144651,96,3715.85107421875
1690015258.823406,126,5146.23779296875
1690015258.830755,128,5242.08740234375
1690015259.0258691,180,7685.2216796875
1690015259.1297998,208,9016.0830078125
1690015259.161502,216,9399.48046875
1690015259.323933,258,11404.962890625
1690015259.600327,330,14840.83203125
1690015259.659382,346,15603.9501953125
1690015259.801714,384,17417.734375
1690015259.891905,408,18564.25
1690015260.204879,490,22473.271484375
1690015260.314285,520,23896.306640625
1690015260.485247,566,26007.68359375
1690015260.507671,572,26274.28515625
1690015260.75827,640,29462.009765625
1690015261.1078012,734,33935.1015625
1690015261.255019,774,35844.734375
1690015261.3735418,806,37378.3203125
1690015261.470486,832,38624.36328125
1690015261.632912,876,40733.04296875
1690015261.844408,932,43413.1484375
1690015261.920629,952,44371.640625
1690015261.965376,964,44946.734375
1690015262.1805062,1022,47722.6875
1690015262.355762,1068,49927.22265625
1690015262.3936691,1078,50406.46875
1690015262.408587,1082,50598.1640625
1690015262.5250611,1114,52131.75390625
1690015262.570388,1126,52706.84765625
1690015262.808943,1190,55774.0234375
1690015262.82374,1194,55965.72265625
1690015263.1275141,1276,59891.8671875
1690015263.172291,1288,60466.9609375
1690015263.179765,1290,60562.8125
1690015263.285192,1318,61901.0234375
1690015263.4128058,1352,63530.4609375
1690015263.753718,1444,67939.53125
1690015264.077825,1530,72061.046875
1690015264.160738,1552,73115.390625
1690015264.378325,1610,75895.015625
1690015264.774198,1716,80975.0234375
1690015264.852471,1734,81837.671875
1690015265.032307,1774,83754.65625
1690015265.5578089,1886,89122.2109375
1690015266.009332,2000,94581.9453125
1690015266.1303282,2032,96115.53125
1690015266.210953,2054,97169.875
1690015266.2907991,2076,98224.2109375
1690015266.432928,2114,100045.3515625
1690015266.5440571,2144,101483.0859375
1690015266.587491,2156,102058.1875
1690015266.837821,2220,105125.359375
1690015266.8541272,2224,105317.0625
1690015266.961233,2252,106658.9453125
1690015267.012908,2266,107329.890625
1690015267.151516,2304,109151.03125
1690015267.159032,2306,109246.875
1690015267.248437,2330,110397.0703125
1690015267.323151,2350,111355.5625
1690015267.3383381,2354,111547.2578125
1690015267.398338,2370,112314.0546875
1690015267.6578088,2438,115572.9296875
1690015267.9210649,2506,118831.8046875
1690015267.935682,2510,119023.5
1690015267.9576058,2516,119311.046875
1690015267.986519,2524,119694.4453125
1690015268.029985,2536,120269.5390625
1690015268.058986,2544,120652.9375
1690015268.473227,2652,125828.796875
1690015268.627813,2692,127745.78125
1690015268.851692,2752,130621.2578125
1690015268.859243,2754,130717.109375
1690015269.1751308,2836,134646.921875
1690015269.4848268,2916,138480.90625
1690015269.492437,2918,138576.75
1690015269.769223,2990,142027.328125
1690015269.830053,3006,142794.109375
1690015269.890656,3022,143560.90625
1690015269.913732,3028,143848.453125
1690015270.1987898,3098,147203.1875
1690015270.222848,3104,147490.734375
1690015270.338652,3132,148832.625
1690015270.3636549,3138,149120.171875
1690015270.507575,3172,150749.609375
1690015270.595806,3194,151803.9375
1690015270.838752,3256,154775.265625
1690015270.927917,3272,155542.0625
1690015271.200227,3342,158896.78125
