Wall time,Step,Value
1690017829.920985,38,-2039.4937744140625
1690017830.150165,96,-2684.61181640625
1690017830.267122,126,-3766.2744140625
1690017830.274522,128,-3767.172607421875
1690017830.474752,180,-3289.3193359375
1690017830.585862,208,-2177.884765625
1690017830.617283,216,-1762.5396728515625
1690017830.777639,258,409.10321044921875
1690017831.0590239,330,4096.43115234375
1690017831.122657,346,4893.9521484375
1690017831.27408,384,6788.06396484375
1690017831.367562,408,7984.34521484375
1690017831.686471,490,11982.1201171875
1690017831.803106,520,13378.0048828125
1690017831.980545,566,15409.8662109375
1690017832.0044649,572,15644.8662109375
1690017832.3522198,640,18308.19921875
1690017832.734889,734,22178.962890625
1690017832.8885329,774,23997.978515625
1690017833.0116858,806,25454.19921875
1690017833.115951,832,26637.376953125
1690017833.286867,876,28615.283203125
1690017833.514957,932,31299.060546875
1690017833.599402,952,32257.5546875
1690017833.648685,964,32832.6484375
1690017833.883968,1022,35612.27734375
1690017834.064225,1068,37816.80859375
1690017834.1016169,1078,38296.0546875
1690017834.1172721,1082,38487.75390625
1690017834.241024,1114,40021.34375
1690017834.28717,1126,40596.4375
1690017834.534603,1190,43663.61328125
1690017834.550324,1194,43855.3125
1690017834.864332,1276,47785.1328125
1690017834.910332,1288,48360.2265625
1690017834.9180439,1290,48456.078125
1690017835.0269608,1318,49797.96484375
1690017835.1603541,1352,51427.40234375
1690017835.518888,1444,55836.46875
1690017835.85303,1530,59957.98828125
1690017835.937309,1552,61012.328125
1690017836.182147,1610,63791.95703125
1690017836.614411,1716,68871.96875
1690017836.684343,1734,69734.609375
1690017836.837132,1774,71651.59375
1690017837.283682,1886,76692.0
1690017837.74189,2000,81787.8125
1690017837.863692,2032,83236.859375
1690017837.949259,2054,84291.203125
1690017838.039333,2076,85345.5390625
1690017838.206285,2114,87166.6796875
1690017838.330716,2144,88604.4140625
1690017838.380775,2156,89179.515625
1690017838.6734872,2220,92246.6875
1690017838.695394,2224,92438.3828125
1690017838.843959,2252,93780.2734375
1690017838.906445,2266,94451.21875
1690017839.0744991,2304,96272.359375
1690017839.082211,2306,96368.203125
1690017839.178294,2330,97518.3984375
1690017839.282104,2350,98476.890625
