Wall time,Step,Value
1690018566.608911,38,-1399.077880859375
1690018566.826477,96,1358.0760498046875
1690018566.939399,126,2795.814697265625
1690018566.947065,128,2891.6640625
1690018567.144199,180,5372.716796875
1690018567.247474,208,6710.93017578125
1690018567.27667,216,7094.3271484375
1690018567.436533,258,9107.1611328125
1690018567.707934,330,12546.70703125
1690018567.770506,346,13313.5009765625
1690018567.915998,384,15130.9609375
1690018568.0273972,408,16281.1513671875
1690018568.357374,490,20210.970703125
1690018568.470486,520,21645.033203125
1690018568.644716,566,23849.56640625
1690018568.667418,572,24137.11328125
1690018568.92475,640,27381.28515625
1690018569.277462,734,31886.19921875
1690018569.42855,774,33803.18359375
1690018569.5504289,806,35333.09765625
1690018569.6474938,832,36579.13671875
1690018569.812181,876,38687.8203125
1690018570.02416,932,41371.59765625
1690018570.099126,952,42330.08984375
1690018570.144228,964,42905.1875
1690018570.364662,1022,45684.81640625
1690018570.539598,1068,47889.34765625
1690018570.576563,1078,48368.59375
1690018570.591329,1082,48560.29296875
1690018570.711553,1114,50093.87890625
1690018570.757174,1126,50668.9765625
1690018571.0000288,1190,53736.15234375
1690018571.015677,1194,53927.8515625
1690018571.3271759,1276,57857.66796875
1690018571.3727858,1288,58432.765625
1690018571.3804102,1290,58528.61328125
1690018571.48579,1318,59870.50390625
1690018571.612858,1352,61499.94140625
1690018571.96073,1444,65909.0078125
1690018572.286253,1530,70030.5234375
1690018572.370095,1552,71084.8671875
1690018572.5914838,1610,73864.4921875
1690018572.990037,1716,78944.5078125
1690018573.058181,1734,79807.1484375
1690018573.209645,1774,81724.1328125
1690018573.630668,1886,87091.6875
1690018574.063731,2000,92555.1015625
1690018574.203177,2032,94088.6875
1690018574.2859352,2054,95143.03125
1690018574.3694232,2076,96197.3671875
1690018574.514008,2114,98018.5078125
1690018574.625953,2144,99456.2421875
1690018574.670698,2156,100031.3359375
1690018574.922511,2220,103098.515625
1690018574.937803,2224,103290.2109375
1690018575.046417,2252,104632.1015625
1690018575.099817,2266,105303.046875
1690018575.242612,2304,107124.1796875
1690018575.250277,2306,107220.03125
1690018575.339606,2330,108370.2265625
1690018575.417571,2350,109328.71875
1690018575.432725,2354,109520.4140625
1690018575.4918559,2370,110287.2109375
1690018575.756642,2438,113546.0859375
1690018576.093865,2506,116804.9609375
1690018576.109043,2510,116996.65625
1690018576.131913,2516,117284.203125
1690018576.162559,2524,117667.6015625
1690018576.208523,2536,118242.6953125
1690018576.2392042,2544,118626.09375
1690018576.650898,2652,123801.953125
1690018576.802486,2692,125718.9375
1690018577.031484,2752,128594.4140625
1690018577.039189,2754,128690.265625
1690018577.3733099,2836,132620.078125
1690018577.680299,2916,136454.046875
1690018577.6878788,2918,136549.90625
1690018577.962333,2990,140000.46875
1690018578.0244749,3006,140763.59375
1690018578.0867982,3022,141530.390625
1690018578.10971,3028,141817.9375
1690018578.385661,3098,145172.65625
1690018578.409923,3104,145460.203125
1690018578.518383,3132,146802.09375
1690018578.541145,3138,147089.640625
1690018578.698224,3172,148719.078125
1690018578.785263,3194,149773.421875
1690018579.026089,3256,152744.75
1690018579.0882518,3272,153511.546875
1690018579.355139,3342,156866.265625
1690018579.47027,3372,158304.0
1690018579.6002188,3406,159933.4375
1690018579.615585,3410,160125.140625
1690018579.672894,3424,160796.09375
1690018580.190094,3556,167122.140625
1690018580.728054,3696,173831.578125
1690018580.8265111,3722,175077.625
1690018580.880167,3736,175748.5625
1690018581.122992,3800,178815.75
1690018581.145416,3806,179103.296875
1690018581.197239,3820,179774.234375
1690018581.43121,3882,182745.5625
1690018581.580203,3922,184662.546875
1690018581.587581,3924,184758.40625
1690018581.722249,3960,186483.6875
1690018582.4952152,4142,195205.96875
1690018582.565304,4160,196068.609375
1690018582.645422,4180,197027.109375
1690018582.753676,4202,198081.4375
1690018583.670867,4420,208529.015625
1690018583.900809,4480,211404.484375
1690018584.5097442,4640,219072.421875
1690018584.875596,4720,222906.40625
1690018585.231883,4790,226261.125
1690018585.552546,4874,230286.796875
1690018585.59064,4884,230766.03125
1690018585.689603,4910,232012.078125
1690018585.75378,4926,232778.875
1690018585.7762182,4932,233066.421875
1690018585.9251258,4972,234983.40625
1690018586.0600462,5008,236708.6875
1690018586.1674938,5036,238050.578125
1690018586.288243,5062,238808.203125
1690018586.696425,5156,241126.875
1690018586.705846,5158,241176.203125
1690018586.8935418,5200,242212.203125
1690018587.107019,5256,243593.53125
1690018587.167369,5272,243988.203125
1690018587.2348459,5288,244382.875
1690018587.6487958,5370,246405.53125
1690018587.721802,5388,246849.53125
1690018587.865252,5418,247589.53125
1690018587.939091,5436,248033.53125
1690018588.119346,5470,248872.203125
1690018588.167605,5482,249168.203125
1690018588.271351,5508,249809.53125
1690018588.279265,5510,249858.875
1690018588.287606,5512,249908.203125
1690018588.366765,5532,250401.53125
1690018588.391134,5538,250549.53125
1690018588.534976,5572,251388.203125
1690018588.769126,5626,252720.203125
1690018588.96403,5670,253805.53125
1690018589.062222,5690,254298.875
1690018589.207843,5724,255137.53125
