Wall time,Step,Value
1690020908.2559822,38,-222.32659912109375
1690020908.460445,96,2531.10546875
1690020908.56963,126,3957.81640625
1690020908.57671,128,4047.572021484375
1690020908.762378,180,6363.8193359375
1690020908.860744,208,7582.30517578125
1690020908.889638,216,7915.92529296875
1690020909.0400891,258,9882.181640625
1690020909.301586,330,13303.34765625
1690020909.357538,346,14060.3720703125
1690020909.494925,384,15858.2919921875
1690020909.581547,408,16997.455078125
1690020909.8788311,490,20927.275390625
1690020909.989867,520,22361.337890625
1690020910.15838,566,24554.841796875
1690020910.180116,572,24842.390625
1690020910.424237,640,28093.9140625
1690020910.761112,734,32587.80078125
1690020910.9063418,774,34504.78515625
1690020911.023571,806,36034.6953125
1690020911.117292,832,37280.73828125
1690020911.275479,876,39385.74609375
1690020911.478822,932,42069.5234375
1690020911.552387,952,43028.015625
1690020911.595677,964,43603.11328125
1690020911.8029299,1022,46382.73828125
1690020911.971085,1068,48587.2734375
1690020912.007854,1078,49066.51953125
1690020912.022903,1082,49258.21875
1690020912.135411,1114,50791.8046875
1690020912.177554,1126,51366.90234375
1690020912.406105,1190,54434.078125
1690020912.420319,1194,54625.77734375
1690020912.717458,1276,58555.59375
1690020912.761324,1288,59130.69140625
1690020912.7684858,1290,59226.5390625
1690020912.868483,1318,60568.4296875
1690020912.9898372,1352,62197.8671875
1690020913.323839,1444,66606.9296875
1690020913.638061,1530,70728.4453125
1690020913.717844,1552,71782.7890625
1690020913.925618,1610,74562.421875
1690020914.304472,1716,79642.4296875
1690020914.3685389,1734,80505.0703125
1690020914.51284,1774,82422.0546875
1690020914.9171782,1886,87789.6171875
1690020915.3276958,2000,93253.0234375
1690020915.444403,2032,94786.609375
1690020915.5261362,2054,95840.953125
1690020915.606548,2076,96895.296875
1690020915.745137,2114,98716.4296875
1690020915.854391,2144,100154.171875
1690020915.9945579,2156,100729.265625
1690020916.226341,2220,103796.4375
1690020916.240452,2224,103988.140625
1690020916.3400729,2252,105330.03125
1690020916.3911738,2266,106000.96875
1690020916.5303931,2304,107822.109375
1690020916.537497,2306,107917.9609375
1690020916.622735,2330,109068.1484375
1690020916.694113,2350,110026.640625
1690020916.708648,2354,110218.3359375
