Wall time,Step,Value
1687786827.464772,10,4.0
1687786827.55081,30,6.0
1687786827.559351,32,7.0
1687786827.584071,38,6.0
1687786827.592173,40,4.0
1687786827.6530728,54,6.0
1687786827.661681,56,7.0
1687786827.773188,82,11.0
1687786827.834552,96,11.0
1687786827.843241,98,12.0
1687786827.85216,100,10.0
1687786827.8975081,110,12.0
1687786827.970722,126,13.0
1687786827.979496,128,14.0
1687786828.006261,134,14.0
1687786828.014754,136,14.0
1687786828.04031,142,13.0
1687786828.048814,144,11.0
1687786828.1003578,156,15.0
1687786828.1456242,166,14.0
1687786828.205929,180,15.0
1687786828.289783,200,14.0
1687786828.3237572,208,11.0
1687786828.3582342,216,9.0
1687786828.4820302,244,12.0
1687786828.5183392,252,7.0
1687786828.527196,254,8.0
1687786828.545179,258,10.0
1687786828.562992,262,10.0
1687786828.61741,274,10.0
1687786828.689932,290,6.0
1687786828.7079098,294,6.0
1687786828.7173839,296,6.0
1687786828.743732,302,8.0
1687786828.8046222,316,14.0
1687786828.829428,322,14.0
1687786828.8468852,326,15.0
1687786828.8635461,330,15.0
1687786828.9239948,344,14.0
1687786828.9324632,346,15.0
1687786828.9759948,356,14.0
1687786829.039505,370,11.0
1687786829.0487292,372,9.0
1687786829.10076,384,9.0
1687786829.109921,386,9.0
1687786829.206381,408,3.0
1687786829.223413,412,4.0
1687786829.291104,428,2.0
1687786829.308597,432,1.0
1687786829.38351,450,2.0
1687786829.4259672,460,5.0
1687786829.818063,490,7.0
1687786829.919137,492,8.0
1687786830.2111008,518,3.0
1687786830.2202728,520,2.0
1687786830.229472,522,3.0
1687786830.324181,544,3.0
1687786830.35024,550,4.0
1687786830.384237,558,2.0
1687786830.418103,566,3.0
1687786830.444839,572,2.0
1687786830.471036,578,3.0
1687786830.488086,582,2.0
1687786830.5306098,592,1.0
1687786830.547214,596,1.0
1687786830.555328,598,1.0
1687786830.6403341,618,3.0
1687786830.674593,626,1.0
1687786830.709879,634,1.0
1687786830.7268748,638,1.0
1687786830.7353358,640,1.0
1687786830.7619689,646,1.0
1687786830.8967838,676,4.0
1687786830.967188,692,1.0
1687786830.97567,694,2.0
1687786831.079125,718,1.0
1687786831.132073,730,1.0
1687786831.1418319,732,2.0
1687786831.1506078,734,1.0
1687786831.25424,758,3.0
1687786831.323144,774,6.0
1687786831.357468,782,2.0
1687786831.3749802,786,3.0
1687786831.418692,796,4.0
1687786831.459792,806,3.0
1687786831.47616,810,4.0
1687786831.570601,832,8.0
1687786831.6204789,844,5.0
1687786831.628501,846,5.0
1687786831.7455418,874,3.0
1687786831.753684,876,1.0
1687786831.7706041,880,1.0
1687786831.813958,890,2.0
1687786831.830613,894,2.0
1687786831.8907578,906,3.0
1687786831.928139,914,2.0
1687786831.970686,924,2.0
1687786832.0058591,932,1.0
1687786832.030657,938,3.0
1687786832.047188,942,4.0
1687786832.08109,950,2.0
1687786832.089451,952,2.0
1687786832.1314108,962,1.0
1687786832.139772,964,2.0
1687786832.190306,976,3.0
1687786832.249009,990,4.0
1687786832.3830101,1022,8.0
1687786832.399412,1026,6.0
1687786832.407821,1028,6.0
1687786832.416367,1030,7.0
1687786832.441333,1036,9.0
1687786832.457986,1040,9.0
1687786832.575114,1068,6.0
1687786832.5838661,1070,5.0
1687786832.600618,1074,6.0
1687786832.619489,1078,5.0
1687786832.636568,1082,4.0
1687786832.6700108,1090,2.0
1687786832.686364,1094,2.0
1687786832.719253,1102,1.0
1687786832.735369,1106,1.0
1687786832.767503,1114,1.0
1687786832.819659,1126,3.0
1687786832.836907,1130,4.0
1687786832.8706381,1138,4.0
1687786833.004936,1170,9.0
1687786833.013344,1172,8.0
1687786833.038412,1178,8.0
1687786833.055202,1182,7.0
1687786833.088684,1190,9.0
1687786833.105506,1194,11.0
1687786833.204989,1218,11.0
1687786833.247016,1228,10.0
1687786833.2552068,1230,10.0
1687786833.319502,1246,13.0
1687786833.3275259,1248,13.0
1687786833.3684962,1258,10.0
1687786833.376893,1260,10.0
1687786833.410444,1268,9.0
1687786833.4440389,1276,9.0
1687786833.492397,1288,9.0
1687786833.5004108,1290,9.0
1687786833.541142,1300,7.0
1687786833.578538,1304,6.0
1687786833.639489,1318,4.0
1687786833.6561868,1322,5.0
1687786833.715041,1336,9.0
1687786833.7821262,1352,9.0
1687786833.790522,1354,11.0
1687786833.858664,1370,10.0
1687786833.924628,1386,9.0
1687786833.941408,1390,9.0
1687786834.075538,1422,6.0
1687786834.1865652,1444,3.0
1687786834.203294,1448,4.0
1687786834.220496,1452,4.0
1687786834.22894,1454,5.0
1687786834.245763,1458,5.0
1687786834.254102,1460,4.0
1687786834.270872,1464,6.0
1687786834.279163,1466,5.0
1687786834.2875268,1468,6.0
1687786834.329552,1478,6.0
1687786834.379702,1490,3.0
1687786834.545846,1530,3.0
1687786834.61335,1546,2.0
1687786834.63778,1552,5.0
1687786834.646157,1554,6.0
1687786834.6624389,1558,3.0
1687786834.678533,1562,4.0
1687786834.6950452,1566,3.0
1687786834.7446709,1578,3.0
1687786834.876338,1610,1.0
1687786834.8846579,1612,1.0
1687786834.9013991,1616,1.0
1687786834.9264882,1622,1.0
