Wall time,Step,Value
1688476241.6740139,2,-1349.39013671875
1688476241.682434,4,-3973.023681640625
1688476241.691286,6,-5322.41357421875
1688476241.700114,8,-6671.80419921875
1688476241.7088718,10,-9295.4375
1688476241.7176802,12,-11919.0712890625
1688476241.726447,14,-11994.2177734375
1688476241.735331,16,-13343.6083984375
1688476241.744075,18,-13418.7548828125
1688476241.752803,20,-13493.9013671875
1688476241.7615092,22,-13569.048828125
1688476241.770209,24,-13556.560546875
1688476241.778908,26,-13552.4609375
1688476241.787626,28,-13548.361328125
1688476241.7964532,30,-13544.26171875
1688476241.805079,32,-13540.4775390625
1688476241.813698,34,-13536.693359375
1688476241.822728,36,-13532.9091796875
1688476241.8315442,38,-13530.2509765625
1688476241.8403971,40,-13528.7177734375
1688476241.849151,42,-13526.05859375
1688476241.8579159,44,-13522.2744140625
1688476241.866692,46,-13518.490234375
1688476241.875478,48,-13516.95703125
1688476241.884459,50,-13512.93359375
1688476241.893301,52,-13508.91015625
1688476241.902048,54,-13507.376953125
1688476241.9113338,56,-13503.5927734375
1688476241.9202712,58,-13499.80859375
1688476241.9292622,60,-13495.708984375
1688476241.938116,62,-13491.609375
1688476241.94704,64,-13487.509765625
1688476241.957186,66,-13483.568359375
1688476241.966402,68,-13480.9091796875
1688476241.975383,70,-13479.3759765625
1688476241.984687,72,-13477.8427734375
1688476241.99497,74,-13473.8193359375
1688476242.004545,76,-13469.1298828125
1688476242.014571,78,-13463.7763671875
1688476242.0249522,80,-13458.421875
1688476242.034414,82,-13452.3447265625
1688476242.0436969,84,-13446.990234375
1688476242.0530381,86,-13442.2236328125
1688476242.062659,88,-13435.423828125
1688476242.0725162,90,-13428.6240234375
1688476242.0819478,92,-13421.82421875
1688476242.091011,94,-13416.4697265625
1688476242.10001,96,-13411.1162109375
1688476242.109023,98,-13406.4267578125
1688476242.1184819,100,-13404.8935546875
1688476242.1273139,102,-13400.8701171875
1688476242.136142,104,-13396.8466796875
1688476242.145083,106,-13392.8232421875
1688476242.1540859,108,-13387.46875
1688476242.162786,110,-13382.1142578125
1688476242.1715488,112,-13377.42578125
1688476242.1803389,114,-13372.0712890625
1688476242.189793,116,-13366.7177734375
1688476242.201008,118,-13362.0283203125
1688476242.228727,120,-13358.0048828125
1688476242.249156,122,-13356.4716796875
1688476242.285459,124,-13354.9384765625
1688476242.325273,126,-13353.4052734375
1688476242.3431349,128,-13350.626953125
1688476242.355856,130,-13346.8427734375
1688476242.377279,132,-13344.18359375
1688476242.3914082,134,-13342.650390625
1688476242.402784,136,-13339.9912109375
1688476242.416439,138,-13338.4580078125
1688476242.4273322,140,-13336.9248046875
1688476242.437047,142,-13335.3916015625
1688476242.449271,144,-13333.8583984375
1688476242.4605498,146,-13332.3251953125
1688476242.470308,148,-13328.541015625
1688476242.4845881,150,-13324.44140625
1688476242.4970748,152,-13320.4990234375
1688476242.5078778,154,-13318.9658203125
1688476242.524482,156,-13315.181640625
1688476242.537672,158,-13311.0830078125
1688476242.553774,160,-13342.412109375
1688476242.5644422,162,-13329.9228515625
1688476242.5775402,164,-13317.4345703125
1688476242.588455,166,-13304.9462890625
1688476242.599972,168,-13300.8466796875
1688476242.611584,170,-13296.9052734375
1688476242.623064,172,-13293.12109375
1688476242.6327732,174,-13289.021484375
1688476242.6434839,176,-13285.2373046875
1688476242.656944,178,-13281.453125
1688476242.666464,180,-13277.6689453125
1688476242.6771688,182,-13273.884765625
1688476242.687278,184,-13270.1005859375
1688476242.698008,186,-13266.31640625
1688476242.708202,188,-13263.658203125
1688476242.718495,190,-13262.125
1688476242.728906,192,-13259.4658203125
1688476242.7395442,194,-13255.681640625
1688476242.749411,196,-13251.8974609375
1688476242.760061,198,-13248.11328125
1688476242.769969,200,-13244.3291015625
1688476242.7802172,202,-13242.7958984375
1688476242.790805,204,-13241.2626953125
1688476242.801197,206,-13238.484375
1688476242.8110552,208,-13233.794921875
1688476242.821182,210,-13227.7177734375
1688476242.831009,212,-13222.3642578125
1688476242.840802,214,-13217.009765625
