Wall time,Step,Value
1689763813.353027,2,-0.8982698917388916
1689763813.361393,4,-1.7965397834777832
1689763813.3703449,6,-2.694809675216675
1689763813.379443,8,-3.5930795669555664
1689763813.388442,10,-4.491349697113037
1689763813.396936,12,-5.38961935043335
1689763813.406125,14,-6.28788948059082
1689763813.414976,16,-7.186159133911133
1689763813.423935,18,-8.084428787231445
1689763813.432968,20,-8.982699394226074
1689763813.441975,22,-9.880969047546387
1689763813.451377,24,-10.7792387008667
1689763813.4597938,26,-11.677508354187012
1689763813.4686432,28,-12.57577896118164
1689763813.477036,30,-13.474048614501953
1689763813.4861162,32,-14.372318267822266
1689763813.494427,34,-15.270587921142578
1689763813.502955,36,-16.16885757446289
1689763813.5107431,38,-17.067127227783203
1689763813.519733,40,-17.96539878845215
1689763813.5280352,42,-18.86366844177246
1689763813.53657,44,-19.761938095092773
1689763813.544621,46,-20.660207748413086
1689763813.553309,48,-21.5584774017334
1689763813.561175,50,-22.45674705505371
1689763813.570477,52,-23.355016708374023
1689763813.5787032,54,-24.253286361694336
1689763813.5876632,56,-25.15155792236328
1689763813.5959191,58,-26.049827575683594
1689763813.6048949,60,-26.948097229003906
1689763813.613145,62,-8.507145881652832
1689763813.621862,64,29.273025512695312
1689763813.629896,66,67.0531997680664
1689763813.6384482,68,104.83336639404297
1689763813.64661,70,142.61354064941406
1689763813.6552918,72,180.39370727539062
1689763813.663579,74,203.53173828125
1689763813.672277,76,212.02760314941406
1689763813.6804311,78,220.52345275878906
1689763813.688962,80,229.01931762695312
1689763813.697472,82,237.5151824951172
1689763813.7057788,84,246.01104736328125
1689763813.7142882,86,254.5069122314453
1689763813.7225962,88,263.0027770996094
1689763813.730847,90,271.4986572265625
1689763813.739372,92,279.9945068359375
1689763813.748064,94,288.4903869628906
1689763813.756651,96,294.4506530761719
1689763813.7641861,98,300.41094970703125
1689763813.772117,100,306.3712158203125
1689763813.7807481,102,312.3315124511719
1689763813.789492,104,318.2917785644531
1689763813.798916,106,324.2520751953125
1689763813.807463,108,330.21234130859375
1689763813.817708,110,336.1726379394531
1689763813.827001,112,342.1329040527344
1689763813.8365,114,348.09320068359375
1689763813.845268,116,354.053466796875
1689763813.854523,118,360.0137634277344
1689763813.863463,120,365.9740295410156
1689763813.872227,122,376.4423828125
1689763813.881441,124,380.20904541015625
1689763813.889954,126,383.9757080078125
1689763813.8987331,128,387.74237060546875
1689763813.907129,130,391.509033203125
1689763813.915832,132,395.27569580078125
1689763813.924173,134,399.0423583984375
1689763813.93285,136,402.8090515136719
1689763813.94114,138,406.5757141113281
1689763813.950342,140,410.3423767089844
1689763813.9586718,142,414.1090393066406
1689763813.967629,144,417.8757019042969
1689763813.9759371,146,421.6423645019531
1689763813.983519,148,425.4090270996094
1689763813.9908202,150,429.17572021484375
1689763813.99844,152,432.9423828125
1689763814.00629,154,436.70904541015625
1689763814.015178,156,440.4757080078125
1689763814.024004,158,444.24237060546875
1689763814.033474,160,448.009033203125
1689763814.042048,162,451.77569580078125
1689763814.0510368,164,455.5423583984375
1689763814.0596092,166,459.3090515136719
1689763814.0682912,168,463.0757141113281
1689763814.076585,170,466.8423767089844
1689763814.085481,172,470.6090393066406
1689763814.093898,174,474.3757019042969
1689763814.1025019,176,478.1423645019531
1689763814.110822,178,481.9090270996094
1689763814.1195579,180,485.67572021484375
1689763814.128145,182,489.6355895996094
1689763814.1369228,184,493.7886962890625
1689763814.145855,186,497.9418029785156
1689763814.154597,188,502.09490966796875
1689763814.1629922,190,506.2480163574219
1689763814.171743,192,510.401123046875
1689763814.1800928,194,514.5542602539062
1689763814.1887581,196,518.7073364257812
1689763814.197359,198,522.8604736328125
1689763814.206006,200,527.0135498046875
1689763814.2144551,202,531.1666870117188
1689763814.2228322,204,535.3197631835938
1689763814.231062,206,539.472900390625
1689763814.239532,208,543.6259765625
1689763814.247922,210,547.7791137695312
1689763814.256371,212,551.9321899414062
1689763814.264833,214,556.0853271484375
1689763814.273518,216,560.2384033203125
1689763814.2820091,218,564.3915405273438
1689763814.2904088,220,568.5446166992188
1689763814.298931,222,572.69775390625
1689763814.307362,224,576.850830078125
1689763814.315947,226,581.0039672851562
1689763814.324708,228,585.1570434570312
1689763814.3333702,230,589.3101806640625
1689763814.341515,232,593.4632568359375
1689763814.3502212,234,597.6163940429688
1689763814.3582132,236,601.7694702148438
1689763814.367075,238,605.922607421875
1689763814.37519,240,610.07568359375
1689763814.384154,242,614.55615234375
1689763814.3923159,244,619.3639526367188
1689763814.401043,246,624.1717529296875
1689763814.408949,248,628.9795532226562
1689763814.417574,250,633.7872924804688
1689763814.425675,252,638.5950927734375
1689763814.4345589,254,643.4028930664062
1689763814.4427872,256,666.0131225585938
1689763814.451775,258,688.6234130859375
1689763814.4599302,260,711.233642578125
1689763814.4689221,262,733.8438720703125
1689763814.476993,264,756.4541015625
1689763814.485874,266,779.0643310546875
1689763814.4940329,268,801.674560546875
1689763814.502757,270,824.2848510742188
1689763814.5108721,272,846.8950805664062
1689763814.519655,274,869.5053100585938
1689763814.5277991,276,892.1155395507812
1689763814.5366201,278,914.7257690429688
1689763814.5448241,280,937.3360595703125
1689763814.5534642,282,959.9462890625
1689763814.5614772,284,982.5565185546875
1689763814.570869,286,1005.166748046875
1689763814.579524,288,1027.7769775390625
1689763814.588182,290,1050.38720703125
1689763814.596363,292,1072.9974365234375
1689763814.60489,294,1095.607666015625
1689763814.6132412,296,1118.2178955078125
1689763814.621808,298,1140.8282470703125
1689763814.630218,300,1163.4384765625
